st_012030_0005#0,"""【폭주한 이유】<br>仮テキスト"""
st_012030_0010#0,"""쿠나 씨, 한 가지 묻고 싶은 게 있습니다."""
st_012030_0020#0,"""<%me> 씨와<br>함께 움직이고 있다는 건<br>대강의 사정은 설명했다는 뜻인가요?"""
st_012030_0030#0,"""…문제가 된다면<br>언젠가 처리하겠습니다."""
st_012030_0040#0,"""아뇨 아뇨, 문제라니 그럴 리가요.<br>게다가 당신이 말하는 처리는<br>없애 버리겠다는 뜻이겠죠? 안 됩니다."""
st_012030_0050#0,"""그럼, 대략적인 얘기는 들었다고 가정하고<br>저도 이야기를 좀 해 보겠습니다."""
st_012030_0060#0,"""당사자인 당신들에게도<br>알 권리는 있으니까요."""
st_012030_0070#0,"""…무슨 이야기죠."""
st_012030_0080#0,"""제가 독자적으로 내사를 진행하던<br>연구실의 어두운 이야기입니다."""
st_012030_0090#0,"""피검체… 실례, 조룡의<br>폭주 원인에 대한 이야기라고 하면<br>좀 더 이해하기 쉬울까요?"""
st_012030_0100#0,"""큭!?"""
st_012030_0110#0,"""결론부터 말씀드리죠.<br>연구실에는 아주 비인도적인 실험이<br>행해졌던 흔적이 있었습니다."""
st_012030_0120#0,"""처음에는 조룡을 대상으로 했던 모양이지만<br>제대로 통제하지 못해<br>폭주하기 일쑤였고…"""
st_012030_0125#0,"""점차 실험 대상은 통제가 쉬운<br>인체로 옮겨 간 듯합니다.<br>이것만으로도 매우 중대한 일이지만…"""
st_012030_0127#0,"""…그 뒤로도 실험은 계속됐고<br>사람이나 조룡 같은 피검체에게 가해지는<br>실험은 점점 더 가혹해졌습니다."""
st_012030_0130#0,"""그 실험의 자세한 내용은<br>역시 사라져 있었지만<br>…대략적인 정보만으로도 충분하겠지요."""
st_012030_0135#0,"""하지만 연구는 진전되지 않았습니다.<br>조룡은 쉽게 폭주했고, 인간은 한계를<br>좀처럼 넘지 못했죠."""
st_012030_0137#0,"""그리고 하나의 사고가 일어납니다."""
st_012030_0140#0,"""인간에게 할 예정이었던 새로운 실험이<br>그 용… 하드레드를 대상으로<br>진행된 겁니다."""
st_012030_0150#0,"""결과는 뻔했죠.<br>하드레드는 원래 지니고 있던<br>힘을 폭주시켜 연구실을…"""
st_012030_0160#0,"""…사람에게 할 예정이었다."""
st_012030_0170#0,"""…어째서 그런 사고가<br>일어났는지까지는<br>저도 판단할 수 없습니다."""
st_012030_0180#0,"""연구자가 앞질러 간 결과였는지<br>그 용이 스스로 몸을 던진 결과였는지…<br>저로서는 알 수 없어요."""
st_012030_0190#0,"""…육망균형 카스라.<br>어째서 당신은 거기까지<br>알고 있죠."""
st_012030_0200#0,"""물론, 제가 육망균형이기 때문입니다."""
st_012030_0210#0,"""다스리는 힘을 지닌 자는, 그 책무로서<br>만사의 연유를 파악해 두어야<br>하거든요."""
st_012030_0220#0,"""…갑시다.<br>하드레드를… 처리해야 합니다."""
st_012030_0230#0,"""A.P.238/4/15/11:00"""
