name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""このスイッチは……なるほど<br>踏むと一定時間だけ<br>フェンスが開くようだな。"""
skit02#0,"""……このスイッチ、もしかして<br>踏むと一定時間の間だけ<br>フェンスが開くの、かも。"""
skit03#0,"""このスイッチ、踏むと一定時間だけ<br>フェンスが開くようですねえ。<br>まだるっこいですねえ。"""
skit04#0,"""なんだこのスイッチ……<br>ああ、踏むと一定時間の間だけ<br>フェンスが開くんだな。"""
skit05#0,"""なんだかヘンなスイッチがあるよ！<br>よーし押しちゃおう！"""
skit06#0,"""パティちゃん少しは躊躇おうよ！<br>……ああ、踏むと一定時間だけ<br>フェンスが開くスイッチみたい。"""
skit07#0,"""これ、踏んだ後の一定時間だけ<br>フェンスが開くスイッチみたいね。<br>子供だまし、というかなんというか。"""
skit01#1,"""/ci2 2 このスイッチは……なるほど<br>踏むと一定時間だけ<br>フェンスが開くようだな。"""
skit02#1,"""/ci2 2 ……このスイッチ、もしかして<br>踏むと一定時間の間だけ<br>フェンスが開くの、かも。"""
skit03#1,"""/ci2 2 このスイッチ、踏むと一定時間だけ<br>フェンスが開くようですねえ。<br>まだるっこいですねえ。"""
skit04#1,"""/ci2 2 なんだこのスイッチ……<br>ああ、踏むと一定時間の間だけ<br>フェンスが開くんだな。"""
skit05#1,"""/ci2 2 なんだかヘンなスイッチがあるよ！<br>よーし押しちゃおう！"""
skit06#1,"""/ci2 2 パティちゃん少しは躊躇おうよ！<br>……ああ、踏むと一定時間だけ<br>フェンスが開くスイッチみたい。"""
skit07#1,"""/ci2 2 これ、踏んだ後の一定時間だけ<br>フェンスが開くスイッチみたいね。<br>子供だまし、というかなんというか。"""
