name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""ちっ、今度は閉じ込めの仕掛けか！<br>フェンスが開く前に倒せば問題ない！"""
skit02#0,"""……閉じ込められちゃった。<br>でも、フェンスが開く前に倒せば<br>なにも問題ない、はず。"""
skit03#0,"""あら？\u3000閉じ込められましたかあ？<br>いいですねえ、この状況……<br>楽しく楽しくやれそうですよお。"""
skit04#0,"""あっちゃあ、閉じ込められたか？<br>せまいところで戦うの<br>あんまり好きじゃないんだけどな。"""
skit05#0,"""よーっし、敵さんを閉じ込めることに<br>成功したよー！<br>これで一網打尽！"""
skit06#0,"""私達も閉じ込められてるけど……<br>一網打尽にされないように<br>気をつけないと。"""
skit07#0,"""……閉じ込める、ってことは<br>とことんやれ、ってことかしら？<br>ふん、望むところよ。"""
skit01#1,"""/ci2 2 ちっ、今度は閉じ込めの仕掛けか！<br>フェンスが開く前に倒せば問題ない！"""
skit02#1,"""/ci2 2 ……閉じ込められちゃった。<br>でも、フェンスが開く前に倒せば<br>なにも問題ない、はず。"""
skit03#1,"""/ci2 2 あら？\u3000閉じ込められましたかあ？<br>いいですねえ、この状況……<br>楽しく楽しくやれそうですよお。"""
skit04#1,"""/ci2 2 あっちゃあ、閉じ込められたか？<br>せまいところで戦うの<br>あんまり好きじゃないんだけどな。"""
skit05#1,"""/ci2 2 よーっし、敵さんを閉じ込めることに<br>成功したよー！<br>これで一網打尽！"""
skit06#1,"""/ci2 2 私達も閉じ込められてるけど……<br>一網打尽にされないように<br>気をつけないと。"""
skit07#1,"""/ci2 2 ……閉じ込める、ってことは<br>とことんやれ、ってことかしら？<br>ふん、望むところよ。"""
