un_012650_0005#0,"""【적재적소에서 힘내자!】<br>仮テキスト"""
un_012650_0010#0,"""야호~!<br>여러분이 기다리던<br>파티예요~!"""
un_012650_0020#0,"""기다렸다고 하면서<br>방금 우리가 먼저 말을 걸었잖아.<br>아, 안녕하세요. 티아입니다."""
un_012650_0030#0,"""이야, 부활해 버렸네<br>다크 펄스!<br>【거구】라고 했던가?"""
un_012650_0040#0,"""그것 때문에 다들 대혼란!<br>아무도 우리의 이야기를<br>안 들어 준다니까! 흥흥!"""
un_012650_0050#0,"""묘하게 귀엽게 화내고 있긴 하지만<br>뭐, 어쩔 수 없는 일 아닐까."""
un_012650_0060#0,"""상층부가 정보를 숨기고 있었다나 뭐라나<br>그래서 아크스 전체 분위기가<br>팽팽해져 있으니까."""
un_012650_0070#0,"""그러니까 말이야~.<br>그래서 난 기특하게도 더욱더<br>밝게 굴고 있는 거랍니다!"""
un_012650_0080#0,"""…평소랑 다를 게 없는 것 같은데."""
un_012650_0090#0,"""뭐, 부활해 버린 일이나<br>숨기고 있던 일을 이제 와서 말해 봐야<br>어쩔 수 없기도 하고~?"""
un_012650_0100#0,"""확실히 파티 말대로야.<br>같은 일이 다시 일어나지 않게<br>하는 게 중요하지."""
un_012650_0110#0,"""특히, 숨겨진 일들에 대해서는<br>우리 정보상이<br>제대로 파고들어야지!"""
un_012650_0120#0,"""숨겨 봐야 금방 들통난다는 걸 알면<br>뭐든 바로바로 발표하겠지!<br>그치, 그치!?"""
un_012650_0130#0,"""그만큼 위험도 있겠지만…<br>그래도 정보상을 자처한다면<br>그 정도는 해야지."""
un_012650_0140#0,"""그럼 그럼, 파티 선생님의<br>다음 정보를 기대해 주세요!"""
