name01#0,"""오자"""
name02#0,"""마루"""
name03#0,"""리사"""
name04#0,"""아핀"""
name05#0,"""파티"""
name06#0,"""티아"""
name07#0,"""사라"""
skit01#0,"""좋아, 가보자.<br>최대한 많은 에너미를 물리치고<br>스코어를 획득하는 것이 목적이다."""
skit02#0,"""…에너미를 잔뜩 쓰러뜨리는 것이<br>이 대회의 목적이야.<br>…그럼, 가볼까."""
skit03#0,"""즉, 보이는 적들을 모두<br>해치워버리면 되는 거죠오?<br>뭐야, 간단하네요오."""
skit04#0,"""어찌됐든, 에너미를<br>쓰러뜨리라는 건가.<br>좋아, 가자 파트너."""
skit05#0,"""좋아, 시작 시작이야!<br>전속력으로 달려가자!<br>속도가 힘이다! 누구보다 빠르게!"""
skit06#0,"""…저기, 파티<br>이거 적들을 쓰러뜨리지 않으면<br>안 되는 대회라고? 알고있지?"""
skit07#0,"""에너미를 격파하며 진행하면<br>문제가 없다는 거지.<br>자, 가볼까?"""
skit01#1,"""/ci2 2 좋아, 가보자.<br>최대한 많은 에너미를 물리치고<br>스코어를 획득하는 것이 목적이다."""
skit02#1,"""/ci2 2 ……에너미를 잔뜩 쓰러뜨리는 것이<br>이 대회의 목적이야.<br>……그럼, 가볼까."""
skit03#1,"""/ci2 2 즉, 보이는 적들을 모두<br>해치워버리면 되는 거죠오?<br>뭐야, 간단하네요오."""
skit04#1,"""/ci2 2 어찌됐든, 에너미를<br>쓰러뜨리라는 건가.<br>좋아, 가자 파트너."""
skit05#1,"""/ci2 2 좋아, 시작 시작이야!<br>전속력으로 달려가자!<br>속도가 힘이다! 누구보다 빠르게!"""
skit06#1,"""/ci2 2 …저기, 파티<br>이거 적들을 쓰러뜨리지 않으면<br>안 되는 대회라고? 알고있지?"""
skit07#1,"""/ci2 2 에너미를 격파하며 진행하면<br>문제가 없다는 거지.<br>자, 가볼까?"""
