un_012200_0010#0,"""아아, 정말, 짜증 나!"""
un_012200_0020#0,"""…이렇게 큰 소리로 떠들어도<br>괜찮냐고? 괜찮아, 너 말고는 아무도<br>못 찾고 알아듣지도 못할 테니까."""
un_012200_0030#0,"""그보다도, 아아, 정말!<br>짜증 난다니까! 아주 그냥!"""
un_012200_0040#0,"""구체적으로 말도 못 하는 게<br>더 짜증 나!"""
un_012200_0050#0,"""너는 말이야, 스트레스가<br>쌓이면 어떻게 해?<br>어떻게 풀어?"""
un_012200_0060#0,"""임무에 집중"""
un_012200_0070#0,"""취미에 몰두"""
un_012200_0080#0,"""우와… 아크스 정신이<br>철철 넘치네."""
un_012200_0090#0,"""전투만 하고 있는 것도<br>어쩐지 밍밍하지 않아?<br>그게 좋아서 하는 거라면 상관없지만."""
un_012200_0100#0,"""취미! 좋네 좋네, 그런 거!<br>하고 싶은 걸 해야 사는 맛이 있지!"""
un_012200_0110#0,"""제일 좋아하는 걸 하는 건<br>역시 좋은 일이야!"""
un_012200_0120#0,"""나? 나는 말이야<br>이럴 때는 노래해!<br>목청이 다할 때까지!"""
un_012200_0130#0,"""…아니 아니, 여기서 갑자기<br>노래하진 않을 거야?<br>그 정도 상식은 있거든!"""
un_012200_0140#0,"""음, 그래도 그것도 재밌으려나?<br>예고 없는 깜짝 라이브 같은 거<br>한 번 해 볼까나."""
un_012200_0150#0,"""A.P.238/4/4"""
