ssc_501050_0010#0,"""우왓!"""
ssc_501050_0020#0,"""아아,<%me>였구나.<br>다행이다……."""
ssc_501050_0030#0,"""방금까지 레졸 숲에 있었는데,<br>역시 혼자선 힘들어."""
ssc_501050_0040#0,"""에너미도 강하고,<br>어디서 공격할지 모르겠어."""
ssc_501050_0050#0,"""거기다 그 분위기가<br>무서……운 게 아니라 익숙치가 않아서……."""
ssc_501050_0060#0,"""그래도 처음 레졸 숲에 들어갔을 때보단<br>잘 싸울 수 있게 됐어."""
ssc_501050_0070#0,"""그 땐 정말로 불안함만 가득해서,<br>둘을 따라가는 게 고작이었으니까."""
ssc_501050_0080#0,"""어딜 어떻게 지나다녔는지도<br>제대로 기억이 안 나……."""
ssc_501050_0090#0,"""하지만 그 싸움을 이겨낸 덕분에<br>한 걸음 성장했다는 느낌이 들어."""
ssc_501050_0100#0,"""정말로,<br>마논과 <%me> 덕분이야."""
ssc_501050_0110#0,"""셋이서 싸워나가자고 약속했으니까."""
ssc_501050_0120#0,"""아이나 혼자선 걱정돼서."""
ssc_501050_0130#0,"""응, 그랬지.<br>고마워."""
ssc_501050_0140#0,"""되게 아빠같은 말을 하네."""
ssc_501050_0150#0,"""그래도 기쁘네.<br>고마워."""
ssc_501050_0160#0,"""넥스 에아리오가 나타나서<br>브루더가 행방불명됐다 들었을 때……."""
ssc_501050_0170#0,"""그 때 난, 구하고 싶다는 생각만으로<br>손을 들었던 거니까."""
ssc_501050_0180#0,"""어떤 적들이 있는지,<br>레졸 숲이 어떤 곳인지도 몰랐는데."""
ssc_501050_0190#0,"""하지만 둘이 바로 동의해 줘서<br>용기를 받았어."""
ssc_501050_0200#0,"""어떤 적이 상대든,<br>너와 마논이 함께라면 반드시 맞설 수 있다고."""
ssc_501050_0210#0,"""……아빠는 날더러,<br>「넌 너무 생각 없이 움직인다」고 자주 화내곤 했어."""
ssc_501050_0220#0,"""하지만 「생각만 많이 하느라 안 움직이는 것보단 낫다」고<br>칭찬해 주기도 했어."""
ssc_501050_0230#0,"""아마도, 그게 내<br>천성이라고 생각해."""
ssc_501050_0240#0,"""있지, <%me>.<br>만약에, 내가 정말로 무리하게 행동한다면, 그 땐 날 막아줄래?"""
ssc_501050_0250#0,"""너랑 마논이 막아준다면<br>난 마음 놓고 앞만 볼 수 있으니까."""
ssc_501050_0260#0,"""알았어."""
ssc_501050_0270#0,"""무리하면 안 돼."""
ssc_501050_0280#0,"""응, 부탁할게."""
ssc_501050_0290#0,"""만약에!\u3000만약에 말이야."""
ssc_501050_0300#0,"""또 주변이<br>안 보이게 될지도 모르니까."""
ssc_501050_0310#0,"""앞으로도 너희에게 많이 기댈게."""
ssc_501050_0320#0,"""잘 부탁해."""
