ssc_501040_0010#0,"""아,<br><%me>도 와 있었구나."""
ssc_501040_0020#0,"""뭐하고 있었어?"""
ssc_501040_0030#0,"""아이나도 쉬는 중이야?"""
ssc_501040_0040#0,"""잠깐 쉬는 중.<br>너도야?"""
ssc_501040_0050#0,"""응.<br>밖에서 돌아오고부터 한숨 돌리는 중이야."""
ssc_501040_0060#0,"""나, 여기서 도시를 바라보는 걸<br>좋아하거든."""
ssc_501040_0070#0,"""느긋하게 대화하는 사람들이나,<br>즐겁게 놀고 있는 아이들."""
ssc_501040_0080#0,"""그런 걸 하염 없이 구경하다 보면,<br>나도 마음 속이 뭉클해지는 것 같아."""
ssc_501040_0090#0,"""센트럴 시티는<br>정말 좋은 곳이지?"""
ssc_501040_0100#0,"""……나, 에아리오 타운에 있을 적에는<br>여기 올 기회가 별로 없었어."""
ssc_501040_0110#0,"""내가 어렸던 탓도 있지만<br>엄청 넓고 큰 게, 조금 무섭게 느껴졌던 것 같아."""
ssc_501040_0120#0,"""하지만, 지금은 이 도시가 정말 좋아."""
ssc_501040_0130#0,"""항상 신세지고 있는<br>오퍼레이터 분들이나, 가게 사람들."""
ssc_501040_0140#0,"""보급대원들이나 정비사들,<br>여러 연구를 하는 사람들도……."""
ssc_501040_0150#0,"""아이들도,<br>그 아이들을 가르치는 어른들도."""
ssc_501040_0160#0,"""가 본 적은 없지만, 지하공장에서<br>야채를 키우거나 무기를 만드는 사람들도 있대."""
ssc_501040_0170#0,"""이 도시는 서로서로<br>도우는 걸로 움직이고 있는 거잖아."""
ssc_501040_0180#0,"""그리고, 그런 사람들을 위해서라도<br>우리가 열심히 해야 한다고 생각해."""
ssc_501040_0190#0,"""아크스의 일원으로서."""
ssc_501040_0200#0,"""여태까지는 보호받는 입장이었지만,<br>이제는 지켜주는 쪽이 됐으니까."""
ssc_501040_0210#0,"""아이나는 최선을 다하고 있어."""
ssc_501040_0220#0,"""나도 같이 열심히 할게."""
ssc_501040_0230#0,"""에엥?\u3000그런가?<br>너한테 그런 말을 들으니까 기쁘네."""
ssc_501040_0240#0,"""응, 그렇지.<br>같이 힘내자!"""
ssc_501040_0250#0,"""……그래서,<br>쉴 만큼 쉬었으니까 슬슬 가 봐야겠다."""
ssc_501040_0260#0,"""아직 해야 할 일이<br>산만큼 있으니까."""
ssc_501040_0270#0,"""그럼 다음에 봐!"""
