name_7234#0,"""Peppy Rappy"""
name_7224#0,"""Xitrae"""
ssn_019080_002_0001#0,"""Yo! Do you like Rappies?!"""
ssn_019080_002_0002#0,"""Me? I love 'em!"""
ssn_019080_002_0003#0,"""...Ah, sorry. Can't believe I got ahead of myself like that."""
ssn_019080_002_0004#0,"""Allow me to introduce myself. I'm Peppy Rappy, and I love Rappies like any big brother would."""
ssn_019080_002_0005#0,"""Hear me out!"""
ssn_019080_002_0006#0,"""Recently, a huge number of Rappies have appeared around Halpha, and a bunch of different kinds at that!"""
ssn_019080_002_0007#0,"""I'd like to ask you to look into this. Like, how many Rappies are we talking about here?!"""
ssn_019080_002_0008#0,"""It's a truly challenging mission for only the biggest Rappy fans!"""
ssn_019080_002_0009#0,"""However, I believe it's possible for someone as accomplished as you are."""
ssn_019080_002_0010#0,"""Let me see your love for Rappies!"""
ssn_019080_002_0011#0,"""Hey, looks pretty good to me! Nothing out of the ordinary from what I could see."""
ssn_019080_002_0012#0,"""You just might be able to fulfill my true hopes."""
ssn_019080_002_0013#0,"""In reality, certain research data actually predicted this influx of Rappy activity would happen."""
ssn_019080_002_0014#0,"""It's said that, in response to this, a certain area will appear..."""
ssn_019080_002_0015#0,"""An area where Rappies gather. A Rappy Assembly!"""
ssn_019080_002_0016#0,"""What's more, the King of Rappies will appear there!"""
ssn_019080_002_0017#0,"""If true, what a discovery that would be. I absolutely must see it with my own eyes!"""
ssn_019080_002_0018#0,"""However, the Rappy Assembly can only appear in a safe place."""
ssn_019080_002_0019#0,"""I doubt Rappies would gather in dangerous areas where Dread Enemies are roaming around."""
ssn_019080_002_0020#0,"""So first, I'd like you to clear out some enemies until the area is safe, and then look for this Rappy Assembly!"""
ssn_019080_002_0021#0,"""I would go out and look for the place myself, but I'm currently swamped with work, so I can't leave this area at the moment."""
ssn_019080_002_0022#0,"""I can trust you with my dream. I'm counting on you."""
ssn_019080_002_0023#0,"""You're back. Thank you so much for finding the Rappy Assembly."""
ssn_019080_002_0024#0,"""You were the one to finally achieve this long-standing desire of mine. Thank you, <%me>."""
ssn_019080_002_0025#0,"""...Alas, I daresay I need more. There are still so many Rappy mysteries that need solving."""
ssn_019080_002_0026#0,"""You've encountered a Ceremo Greatrappy, no?"""
ssn_019080_002_0056#0,"""Among Ceremo Rappies, it is not unlike a king of kings."""
ssn_019080_002_0027#0,"""Before now, it was only spoken of in legend, but with such a huge influx of Rappies like this, nothing would surprise me at this point!"""
ssn_019080_002_0028#0,"""If you encounter this Ceremo Greatrappy, I'd like you to let me know."""
ssn_019080_002_0029#0,"""This could be our one chance to be able to find one! Thanks in advance."""
ssn_019080_002_0030#0,"""I believe our love of Rappies can make miracles occur, I really believe that."""
ssn_019080_002_0031#0,"""...Welcome back. I couldn't possibly have asked for a better time."""
ssn_019080_002_0032#0,"""Thank you for entertaining my selfish requests."""
ssn_019080_002_0033#0,"""I want to show you my thanks somehow. If there's anything you want, you let me know what it is."""
ssn_019080_002_0034#0,"""If it's within my power to do, I'll see it done."""
ssn_019080_002_0035#0,"""Test, test! Can you hear me? Are you <%me>?"""
ssn_019080_002_0036#0,"""Test, test! Can you hear me? Xitrae the Quartermaster here. It's been a while!"""
ssn_019080_002_0037#0,"""Sorry for calling you out of the blue like this. My name is Xitrae, I'm a quartermaster with ARKS."""
ssn_019080_002_0038#0,"""So I heard my bos-- Er, Peppy Rappy had you running errands for him."""
ssn_019080_002_0039#0,"""Xitrae, we're currently having a moment right now..."""
ssn_019080_002_0040#0,"""Did you get around to reading my report for future supply plans?"""
ssn_019080_002_0041#0,"""...No, not yet..."""
ssn_019080_002_0042#0,"""Please make sure you do before the day's over."""
ssn_019080_002_0043#0,"""...As you can see, we've got a bit of a backlog of work. We might need your help with that, if that'll be alright with you."""
ssn_019080_002_0044#0,"""Hate to ask, but do you think you could help when that time comes? Anyways, see you around!"""
ssn_019080_002_0045#0,"""...As I was saying, I will never forget my debt to you. If you struggle with anything, never be afraid to ask me for help."""
ssn_019080_002_0046#0,"""Us Rappy lovers have to look out for each other!"""
ssn_019080_002_0047#0,"""<%me>, good to see you. How's Rappy life treating you?"""
ssn_019080_002_0048#0,"""Anyways, did you want to exchange something?"""
ssn_019080_002_0049#0,"""It seems you haven't yet found a Rappy Assembly."""
ssn_019080_002_0050#0,"""Try defeating Dread Enemies to make the area safer for them."""
ssn_019080_002_0051#0,"""Anyways, did you want to exchange something?"""
ssn_019080_002_0052#0,"""Mm... Well, that took the wind out of my sails a bit."""
ssn_019080_002_0053#0,"""It seems you haven't yet found a Rappy Assembly."""
ssn_019080_002_0054#0,"""Try defeating Dread Enemies to make the area safer for them."""
ssn_019080_002_0055#0,"""Anyways, did you want to exchange something?"""
npc_menu_0001#0,"""Ticket Exchange"""
npc_menu_0002#0,"""Seasonal Point Exchange (Until $(0))"""
npc_menu_0003#0,"""Ask about the Seasonal Event"""
npc_menu_0004#0,"""Close Menu"""
npc_menu_0005#0,"""About Seasonal Events"""
npc_menu_0006#0,"""About Seasonal Event Characters"""
npc_menu_0007#0,"""About Daily & Weekly Tasks"""
npc_menu_0008#0,"""About Mischief Symbols"""
npc_menu_0009#0,"""About Seasonal Gathering"""
npc_menu_0010#0,"""About Seasonal Region Mags"""
npc_menu_0011#0,"""About Seasonal Enemies"""
npc_menu_0012#0,"""About World Trials"""
npc_menu_0013#0,"""About Rappy Assemblies"""
npc_menu_0014#0,"""Never mind"""
npc_menu_0015#0,"""Exchange [PSO2] Manga Memories"""
