name_7008#0,"""Росса"""
ssn_014120_0001#0,"""Похоже, что ты легко привыкаешь."""
ssn_014120_0002#0,"""У меня есть просьба к тебе,<br>не мог бы меня выслушать?"""
ssn_014120_0101#0,"""Что ж, не будем тянуть."""
ssn_014120_0102#0,"""На Хальфе повсюду разбросаны контейнеры."""
ssn_014120_0103#0,"""Их мог оставить ARKS во время операции,<br>либо ещё кто-то..."""
ssn_014120_0104#0,"""Прочие же вырастают из земли или же падают с неба...<br>они повяляются разными способами."""
ssn_014120_0105#0,"""Ты заметил(а), что некоторые из них являются<br>особыми контейнерами, отличающимися по цвету?"""
ssn_014120_0106#0,"""Не знаю, кто их оставляет, но они - одно из семи чудес Хальфы."""
ssn_014120_0107#0,"""Я хочу, чтобы ты помог(ла) мне с исследованиями. Мне нужно,<br>чтобы ты нашёл(ла) как можно больше контейнеров."""
ssn_014120_0108#0,"""Просто прошаривай все возможные места и проверяй содержимое.<br>Ну? Разве это не просто?"""
ssn_014120_0109#0,"""Что ж, не подведи!"""
ssn_014120_0201#0,"""Ясно... Как появится желание, дай знать."""
ssn_014120_0301#0,"""Ты неуклонно растёшь. А на тебя можно положиться."""
ssn_014120_0302#0,"""Крофорд, как мне кажется, тоже под впечатлением. Что ж,<br>постарайся, пожалуйста, продолжать в том же духе!"""
ssn_014120_0401#0,"""Хмм... Как и ожидалось, эта миссия оказалась сложной."""
ssn_014120_0402#0,"""Но с тобой всё хорошо! Мы тебя будем поддерживать как следует!"""
ssn_014120_0403#0,"""Что ж, до встречи!"""
