name_7619#0,"""バルメ"""
ssn_005001_0001#0,"""ここは、アークスたちの憩いの場。<br>くつろいだり、お喋りを楽しんだり、ご自由にどうぞ。"""
ssn_005001_0002#0,"""ゆっくりして、戦いの英気を養ってください。"""
ssn_005001_0051#0,"""もし、まだ行ったことがなければ、<br>どんな場所か教えましょうか？"""
ssn_005001_0052#0,"""それでは、お話ししますね。"""
ssn_005001_0101#0,"""“フードスタンド”には、もう行ってみましたか？"""
ssn_005001_0102#0,"""フードスタンドは、食材を持って行くと<br>すぐに食べられる“クイックフード”を作ってくれます。"""
ssn_005001_0103#0,"""クイックフードは、アークスの力を<br>一時的に引き上げてくれるんです。"""
ssn_005001_0104#0,"""まずは、シティの外に生えている木の実や野菜、<br>テイムズの肉などを集めてみてください。"""
ssn_005001_0105#0,"""いくつか食材を手に入れたら、フードスタンドへ。"""
ssn_005001_0106#0,"""自由に組み合わせて、<br>自分だけのクイックフードを作ることができますよ。"""
ssn_005001_0201#0,"""どうでした？<br>力が湧いてきたんじゃないでしょうか。"""
ssn_005001_0202#0,"""大きな戦いに出る前などに、<br>フードスタンドを利用するといいかもしれませんね。"""
ssn_005001_0203#0,"""でも、あまり無理はなさらないように。"""
ssn_005001_0204#0,"""戦いに疲れたときは、<br>こちらのレストコーナーでゆっくりしてくださいね。"""
ssn_005001_0301#0,"""そうですか。<br>では、またの機会に。"""
