ssn_012220_0001#0,"""ギャザリングは、楽しんでるか？"""
ssn_012220_0002#0,"""シティの外では、野菜や果物に鉱石、<br>テイムズからは肉、いろいろと見つかるはずだ。"""
ssn_012220_0003#0,"""そうした食材や素材は、戦いの役に立つ。<br>見つけたら、集めておくといいぞ！"""
ssn_012220_0101#0,"""よう、調子はどうだ？"""
ssn_012220_0102#0,"""新しい武器や防具を手に入れたり、強化したりして、<br>そろそろ必要な鉱石も増えてきた頃だろう。"""
ssn_012220_0103#0,"""鉱石について、もっと知りたくないか？"""
ssn_012220_0201#0,"""デュアロマイトは、紫色に輝く角ばった鉱石。<br>フォトンチャンクも色合いは似ているが、性質の異なる鉱石だ。"""
ssn_012220_0202#0,"""どちらも美しい石だが、<br>アイテムラボでの装備品の鍛錬にも使える。"""
ssn_012220_0203#0,"""これらは、南エアリオの洞窟などでよく採れる。<br>試しに、探してみるといいだろう。"""
ssn_012220_0301#0,"""む、そうか……。<br>それは残念だ。"""
ssn_012220_0302#0,"""鉱石について学びたくなったら、<br>いつでも聞いてくれ。"""
