name_7418#0,"""ベルクマン"""
ssn_011100_001_0010#0,"""このセントラルシティは、いいところだろ？"""
ssn_011100_001_0020#0,"""晴れてるときには、防壁の上に行ってみな。<br>いい景色が眺められるぞ。"""
ssn_011100_001_0030#0,"""ところで、今、時間はあるか？<br>ちと頼みたいことがあるんだ。"""
ssn_011100_001_0035#0,"""それじゃ、聞いてくれ。"""
ssn_011100_001_0040#0,"""エアリオには、たくさん山があるだろ？<br>昔は、よく登ったもんだ。"""
ssn_011100_001_0050#0,"""俺も、もともとはドールズと戦う最前線のアークスだったんだが、<br>ケガとか色々あってな……。"""
ssn_011100_001_0060#0,"""今はシティの中で仕事をしてるんだ。"""
ssn_011100_001_0070#0,"""なんだかんだで、毎日忙しいし、<br>外に出る機会も減っちまってな。"""
ssn_011100_001_0080#0,"""で、ふとした時に思うんだ。<br>昔めぐった場所に、また行ってみたいなあって。"""
ssn_011100_001_0090#0,"""あんた、あちこちに行くんだろ？<br>よければ山に登って、その景色をデータで送ってくれないか？"""
ssn_011100_001_0100#0,"""まあ、暇な時でいいからさ。<br>頼むわ。"""
ssn_011100_001_0110#0,"""そうか……忙しいか。<br>なら、また今度頼むわ。"""
