msc_011220_0010#0,"""来てくれて、ありがとう。"""
msc_011220_0020#0,"""……あたし、お父さんの教えがずっと不満だったんだ。"""
msc_011220_0030#0,"""お前は、まだまだ半人前だから、<br>正式にアークスとは認めないって。"""
msc_011220_0040#0,"""あたし、お父さんの娘なんだから、<br>誰よりも強いアークスになれるはずなのに。"""
msc_011220_0050#0,"""それなのに、なんで一緒に戦わせてくれないの、って。"""
msc_011220_0060#0,"""……さっきの戦いで、その理由がやっとわかった。"""
msc_011220_0070#0,"""ブルーダーに戦う理由を聞かれて、目を閉じた時、<br>エアリオタウンのみんなの顔が浮かんだ。"""
msc_011220_0080#0,"""前のあたしは、ただアークスに憧れるだけで、<br>なんのために戦うのかなんて、考えたことなかった。"""
msc_011220_0090#0,"""きっと、お父さんはそれを見抜いてたんだと思う。"""
msc_011220_0100#0,"""失ってから気づいても、遅いのに。"""
msc_011220_0110#0,"""それに、あたしは、戦いがどんなものかってことを、<br>ぜんぜんわかってなかった。"""
msc_011220_0120#0,"""ナグルスの身体が赤く光ったときに、<br>足が震えて……、動けなくなって……。"""
msc_011220_0130#0,"""それで……怖くなったの。"""
msc_011220_0140#0,"""……戦うことに、じゃなくて……。"""
msc_011220_0150#0,"""このまま、ふたりと一緒にいたら、<br>迷惑かけちゃうんじゃないかって。"""
msc_011220_0160#0,"""……だから、……あたし……。"""
msc_011220_0170#0,"""……アイナ。"""
msc_011220_0180#0,"""クロフォードの前で約束したのを忘れたの？"""
msc_011220_0190#0,"""え？"""
msc_011220_0200#0,"""協力する、って。<br>あれは、あなたに言ったつもりよ？"""
msc_011220_0210#0,"""……マノン。"""
msc_011220_0220#0,"""一緒に、ダークファルスを倒すんでしょう？"""
msc_011220_0230#0,"""マノン、ありがとう。"""
msc_011220_0240#0,"""あたし、強くなりたい。<br>ふたりみたいに、ドールズと戦えるように。"""
msc_011220_0250#0,"""そのために、力を貸してほしい。<br>一緒に……戦ってほしい。"""
msc_011220_0260#0,"""だから、その……最初からそのつもりよ。"""
msc_011220_0270#0,"""ありがとう……ふたりとも。<br>……ありがとう。"""
