msc_024010_0010#0,"""อ๊ะ!"""
msc_024010_0020#0,"""มาน่อน! แล้วก็ <%me>!"""
msc_024010_0030#0,"""ไม่ได้เจอกันนานเลยเนอะ?"""
msc_024010_0040#0,"""ดูสิ เปลี่ยนไปตั้งเยอะเลยนะเนี่ย!"""
msc_024010_0050#0,"""เธอเองก็เหมือนกันนั่นแหละ"""
msc_024010_0060#0,"""คลาดสายตาไปแป๊บเดียวเอง<br>ดูสิว่าเติบโตขึ้นตั้งขนาดไหนแล้วเนี่ย"""
msc_024010_0070#0,"""ทั้งสองคนสุดยอดไปเลยนะ"""
msc_024010_0080#0,"""ทั้งสองคนพยายามกันอย่างหนักเลยสินะ"""
msc_024010_0090#0,"""ก็ไม่เท่าเธอหรอกน่า..."""
msc_024010_0100#0,"""ก็ไม่เท่าเธอหรอกน่า..."""
msc_024010_0110#0,"""ก็เพราะมีเธอคอย..."""
msc_024010_0120#0,"""ก็เพราะมีเธอคอย..."""
msc_024010_0130#0,"""อุ๊บ"""
msc_024010_0140#0,"""ฮะฮะฮะ!"""
msc_024010_0150#0,"""...แปลกดีเนอะ ว่าไหม?"""
msc_024010_0160#0,"""ตอนนี้พวกเราต่างก็เดินกันคนละเส้นทางแล้ว<br>แต่ก็ยังรู้สึกเหมือนอยู่ด้วยกันตลอดเวลาเลยล่ะ"""
msc_024010_0170#0,"""ราวกับว่ามันเป็นเรื่องปกติเอามากๆ<br>ที่พวกเราจะมายืนคุยกันแบบนี้เลยล่ะ"""
msc_024010_0180#0,"""นั่นสินะ"""
msc_024010_0190#0,"""ถึงตัวจะอยู่ห่างไกล แต่ใจพวกเราก็เป็นหนึ่งเดียวกันล่ะนะ"""
msc_024010_0200#0,"""พวกเราจะเป็นทีมเดียวกันเสมอ ไม่ว่าจะเกิดอะไรขึ้นก็ตาม"""
msc_024010_0210#0,"""ใจพวกเราเป็นหนึ่งเดียวกันงั้นเหรอ..."""
msc_024010_0220#0,"""อื้ม รู้สึกแบบนั้นจริงๆ แหละ"""
msc_024010_0230#0,"""พวกเราจะเป็นทีมเดียวกันเสมอ ไม่ว่าจะเกิดอะไรขึ้นก็ตาม..."""
msc_024010_0240#0,"""อื้ม มั่นใจเลยว่าต้องเป็นแบบนั้นแน่ๆ"""
msc_024010_0250#0,"""ไม่ว่าจะมีอะไรรอพวกเราอยู่ในอนาคต<br>มิตรภาพของพวกเราก็จะไม่มีวันเปลี่ยนไปหรอกนะ"""
msc_024010_0260#0,"""เชื่อแบบนั้นแหละ"""
msc_024010_0270#0,"""ก็คิดแบบนั้นเหมือนกัน"""
