name_7008#0,"""Rossa"""
msn_011065_001_0010#0,"""Yo, it's Rossa. What's up."""
msn_011065_001_0020#0,"""I'm gonna teach you about \""Weapon Strengthening\""."""
msn_011065_001_0030#0,"""Your weapon and armor efficiency can get better by tempering them."""
msn_011065_001_0040#0,"""It's basically the same for us ARKS, really."""
msn_011065_001_0050#0,"""... Am I right?"""
msn_011065_001_0060#0,"""... Nah, that's not right."""
msn_011065_001_0070#0,"""... Or is it?"""
msn_011065_001_0080#0,"""Anyways, materials! You can use other weapons and stuff as materials to strengthen your gear. Also, you're gonna need N-Grinders."""
msn_011065_001_0090#0,"""Listen, it'd be a pain in the ass to make you go and find all that stuff just for a lesson,"""
msn_011065_001_0100#0,"""so here, I'll give you plenty of both. Go try strengthening some stuff at the Item Lab."""
msn_011065_001_0401#0,"""Obtained Prim Sword x10, N-Grinder x10, and 10000<pict reb_meseta> meseta."""
msn_011065_001_0402#0,"""Obtained Prim Knuckle x10, N-Grinder x10, and 10000<pict reb_meseta> meseta."""
msn_011065_001_0403#0,"""Obtained Prim Rifle x10, N-Grinder x10, and 10000<pict reb_meseta> meseta."""
msn_011065_001_0404#0,"""Obtained Prim Machine Gun x10, N-Grinder x10, and 10000<pict reb_meseta> meseta."""
msn_011065_001_0405#0,"""Obtained Prim Rod x10, N-Grinder x10, and 10000<pict reb_meseta> meseta."""
msn_011065_001_0406#0,"""Obtained Prim Wand x10, N-Grinder x10, and 10000<pict reb_meseta> meseta."""
msn_011065_001_0501#0,"""Obtained Prim Sword x2, N-Grinder x2, and 2000<pict reb_meseta> meseta."""
msn_011065_001_0502#0,"""Obtained Prim Knuckle x2, N-Grinder x2, and 2000<pict reb_meseta> meseta."""
msn_011065_001_0503#0,"""Obtained Prim Rifle x2, N-Grinder x2, and 2000<pict reb_meseta> meseta."""
msn_011065_001_0504#0,"""Obtained Prim Machine Gun x2, N-Grinder x2, and 2000<pict reb_meseta> meseta."""
msn_011065_001_0505#0,"""Obtained Prim Rod x2, N-Grinder x2, and 2000<pict reb_meseta> meseta."""
msn_011065_001_0506#0,"""Obtained Prim Wand x2, N-Grinder x2, and 2000<pict reb_meseta> meseta"""
msn_011065_001_0101#0,"""Yo, it's good to see you! Always good to have more firepower!"""
msn_011065_001_0102#0,"""You've been makin' waves, <%me>! Can't wait to see what else ya got!"""
msn_011065_001_0201#0,"""You really know how to get the job done, don't ya? I respect that."""
msn_011065_001_0202#0,"""Looks like Crawford's with me on that, too. So yeah, keep doin' what you're doin'!"""
