text10#0,"""포톤에 관해"""
text20#0,"""클라리스 클레이스에 관해"""
text30#0,"""오메가에 관해"""
text999#0,"""여기서 떠난다"""
text01#0,"""テキストがまだないので仮です１"""
text03#0,"""テキストがまだないので仮です２"""
text02#0,"""テキストがまだないので仮です３"""
ep5test01#0,"""ep5スキット1"""
ep5test02#0,"""ep5スキット2"""
sq01_010#0,"""아크스 쉽도 변했네.<br>여기가 함교였나?\u3000맞지?<br>더 첨단화됐고 말이야."""
sq01_020#0,"""좀 잠잠해지면 밖도 느긋하게<br>둘러보고 다닐까 봐.<br>난 아무 눈에도 안 띄니까."""
11_voice_NPC_5430_104#0,"""루서라……<br>아니, 나도 정말 나쁜 인상밖에<br>없기는 하지만."""
sq02_020#0,"""이쪽 세계와 이어진 존재라 보면<br>지금으로선 유일하니까<br>마냥 내치기도 곤란하네."""
sq02_030#0,"""그래도 걔는 어떤 상태에서든<br>말만 번드르르한 비뚤어진 놈일 테니<br>휘말리지 않게 조심해야 해."""
sq03_010#0,"""오메가의 에너지가 커지는 만큼<br>다커도 강력해져."""
11_voice_NPC_5430_105#0,"""아카식 레코드와 일체화됐기에<br>생기는 현상이겠지."""
sq03_030#0,"""다커의 힘에 관한 기록이<br>새로 쓰이고 있다는 뜻이야.<br>……생각보다 훨씬 골치 아프네."""
11_voice_NPC_5430_104#1,"""포톤은 감각이 가장 중요하니까<br>2대째가 느낀 '불길한 예감'도<br>무시할 수 없단 말이지."""
sq04_020#0,"""나는 이렇게 필요에 따라<br>기록을 고쳐 쓰는 사람이니까<br>그런 쪽에는 둔해서 말이야."""
sq04_030#0,"""조심해서 나쁠 건 없어.<br>절대 무리하지는 마.<br>2대째가 울어 버릴걸?"""
11_voice_NPC_5430_104#2,"""들어 본 느낌과 내 생각으론<br>포토너와 아크스의 기록이<br>섞여 있는 것 같아."""
sq05_020#0,"""예를 들어 겟템하르트란 사람은<br>아크스 기록에만 있잖아?<br>양쪽 요소가 다 있는 셈이지."""
sq05_030#0,"""거기서 잔뜩 뒤섞인 이유가<br>가장 중요한데……<br>그건 나도 잘 모르겠어."""
sq06_010#0,"""조종당했다 해도<br>루서가 저지른 일은 용서 못 하고<br>용서할 생각도 없어."""
sq06_020#0,"""뭐, 애초에 그 녀석도<br>용서받을 생각은 눈곱만큼도<br>없겠지만."""
sq08_010#0,"""지금까지의 사례와는 달라.<br>오메가 안에서 외부 세계에<br>간섭했다는 뜻이니까."""
sq08_020#0,"""웬만한 힘으로는 불가능해.<br>내가 그쪽에 있었다 해도<br>될지는 잘 모르겠네."""
sq08_030#0,"""즉, 그만한 힘을 가진 존재가<br>그쪽에 아직 있다는 뜻이야.<br>……정말 조심해야 해."""
sq09_010#0,"""무사히 돌아왔다는 걸 보면<br>원리상 내가 하는 일과<br>같은지도 모르겠네."""
sq09_020#0,"""눈앞의 것을 보내는 일과<br>멀리 있는 걸 불러오는 일은<br>요령이 완전히 다르지만."""
sq09_030#0,"""소환 기술이 발전한 세계라면<br>불가능한 이야기는 아니야.<br>다른 아이들도 분명 오메가겠지."""
sq10_010#0,"""실종자들은 돌아왔지만<br>블랙홀은 사라지지 않았어.<br>즉, 문제는 아직 남았어."""
11_voice_NPC_5430_105#1,"""소거법으로 생각하면 이제<br>【쌍둥이】만 남는데……<br>미리 막을 방법은 없을까."""
sq11_010#0,"""2대째 말대로<br>사건은 연달아 일어나지만<br>동시에 오지는 않아."""
11_voice_NPC_5430_104#3,"""거기에 이유가 있을까?<br>아니면 동시에 일으킬 수 없는<br>이유라도 있는 걸까?"""
sq11_030#0,"""동시에 오면 우리 입장에선<br>정말 곤란하긴 한데……<br>애초에 목적이 다른 걸까?"""
11_voice_NPC_5430_105#2,"""으으음……<br>적의 사정에 휘둘리는<br>느낌이라 답답하네."""
sq12_010#0,"""블랙홀의 확대……<br>저게 포톤을 흡수해서<br>이뤄지는 거라면……"""
11_voice_NPC_5430_104#4,"""……응?\u3000아, 미안.<br>이것저것 생각하느라."""
sq12_030#0,"""나만 쓸 수 있는 수도<br>있으니까 말이야.<br>괜찮아, 어떻게든 될 거고 해낼게."""
sq12_040#0,"""지금까지도, 앞으로도<br>아크스는 어떻게든 해냈으니까.<br>이번에도 어떻게든 될 거야!"""
sq13_010#0,"""대충 이야기는 들었어.<br>그런데 미안, 좀 쉬게 해 줘."""
sq13_020#0,"""지난 전투에서 무리했거든……<br>조금 쉬지 않으면 존재 유지가 위험해.<br>……중요한 때에 미안해."""
sq13_030#0,"""제대로 회복해서<br>나도 협력할 테니까……<br>조금만 더 시간을 줘."""
11_voice_NPC_5430_104#5,"""……아, 미안해.<br>조금 멍하니 있었어……"""
11_voice_NPC_5430_105#3,"""힘든 때라는 건 알지만<br>머리가 제대로 돌아가지 않아서<br>자꾸 붕 뜨는 느낌이야……"""
ep6_sq02_01_01#0,"""엄청 오래 잤으니까<br>지금은 일단 괜찮은 것 같아."""
ep6_sq02_01_02#0,"""맡겨 버려서 미안해.<br>다음부터는 나도 힘을 보탤게."""
11_voice_NPC_5430_105#4,"""으음, 역시 신경 쓰이네.<br>시바가 무슨 생각인지."""
ep6_sq02_02_02#0,"""터무니없이 강하다고 했지?<br>그런데 우리를 거의<br>쓰러뜨릴 수 있을 때 물러났어."""
ep6_sq02_02_03#0,"""아직도 놀 생각이라면<br>다음에는 어떻게 몰아붙일까……"""
ep6_sq03_02_01_01#0,"""설마 시바로 의태해서<br>스스로 미끼가 되다니……<br>완전히 당했네."""
ep6_sq03_02_01_02#0,"""하지만 결회진이 통한다는 걸<br>알았고, 그걸로 미트라를<br>쓰러뜨릴 수 있었어."""
11_voice_NPC_5430_100#0,"""그렇다면 시바에게도<br>맞설 수단은 분명 있을 거야.<br>나도 뭔가 생각해 볼게."""
11_voice_NPC_5430_100#1,"""후후, 아카식 레코드를 통해<br>우주 규모의 함정을 놓다니<br>내 생각이지만 꽤 대담하지?"""
ep6_sq04_01_02#0,"""그런 이유로.<br>할 수 있는 건 뭐든 도울 테니까<br>부담 없이 말해 줘."""
11_voice_NPC_5430_100#2,"""오메가의 결계가<br>잘 작동한 모양이네.<br>수고했어."""
ep6_sq05_2#0,"""이걸로 시바는 힘이 봉인됐고<br>두 포토너도 잃었어.<br>이제 놀고만 있지는 못할 거야."""
ep6_sq05_3#0,"""조심해. 다음에는 진심일지도 몰라.<br>나도 할 수 있는 만큼 힘쓸게."""
