Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 2 Наша миссия - спасти команду,<br>но мы не можем этого сделать,<br>пока остаются враги.<br>Давайте работать сообща."""
Success#1,"""/ci2 1 Мы и вдвоем не могли справиться.<br>Я рад, что ты был здесь.<br>Спасибо. Ты был великолепен."""
Failure#1,"""/mn2 Должно быть, я был опрометчив...<br>Простите меня..."""
Dead#1,"""/mn2 Должно быть, я был опрометчив...<br>Простите меня..."""
BuddyDead#1,"""/mn2 Чёрт...<br>Должно быть это тяжело.<br>Но мы не можем остановиться<br>сейчас."""
