pr_062010_0010#0,"""Сиеррочка, что случилось?"""
pr_062010_0020#0,"""Неопознанная искривляющая реакция! Вывожу картинку."""
pr_062010_0030#0,"""Что это... Я никогда не видела такие корабли..."""
pr_062010_0050#0,"""Они принадлежат Богине Конца. Не значит ли что это \""Армада Конца\""?"""
pr_062010_0060#0,"""Сигналы внутри них... они полны врагов!"""
pr_062010_0070#0,"""Это флот преследования. Они крайне уверены."""
pr_062010_0080#0,"""<%me>!<br>Кларис Крейс и я привлечем их внимание нашими собственными кораблями!"""
pr_062010_0090#0,"""Я и Хьюи - самые заметные! Мы идеально подходим для игры в приманку!"""
pr_062010_0100#0,"""Хьюи!<br>Кларис Крейс!"""
pr_062010_0110#0,"""Не беспокойся, мой предшественник! Если мы будем там вместе, нас не остановить!"""
pr_062010_0120#0,"""Несомненно! Нам нет равных! Боевой дух у всех тоже на высоте!"""
pr_062010_0130#0,"""Оставляем вам бой в Боевых Секторах! Вы, ребята, должны сделать то, что мы не можем!"""
pr_062010_0140#0,"""Хихихи, Тогда Риса присоеденится к ним."""
pr_062010_0150#0,"""Риса не возражает, ведь бой - самый эффективный и самый веселый вариант."""
