Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 3 Хватит болтать, Катори.<br>Мы пришли поддержать тебя.<br>Приходите, и помогите нам<br>уничтожить этих врагов и<br>спасти команду."""
Success#1,"""/ci1 2 Если вы все еще можете болтать<br>после этого, вы должны быть<br>готовы к более жестким<br>тренировкам. Вы все очень<br>помогли. Спасибо вам."""
Failure#1,"""..."""
Dead#1,"""Угх, простите.<br>Тяжело продолжать этот бой..."""
BuddyDead#1,"""Тебе нужен отдых.<br>Вместе со мной, <%me>."""
