a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Title#0,"""艦隊迎撃戦：妨害艦追撃"""
Explanation#0,"""Перехвачена первая волна атак вражеского флота.<br>Крайне необходимо развернуть A.I.S., но<br>из-за помех, излучаемых устройствами на<br>кораблях противника, мы не можем.<br>Атакуйте вражеский линкор и вырубите<br>все устройства помех A.I.S.<br>――――――――――――――――――――<br>Проигрыш: Время истекло"""
NpcComMsg1#0,"""Впереди вас ожидает вражеский<br>линкор, на котором установлено<br>устройство помех A.I.S."""
NpcComMsg2#0,"""Наш корабль выходит на контакт<br>с врагом. Проберитесь к ним<br>на борт и уничтожьте все<br>устройства помех!"""
NpcComMsg1#1,"""Вражеский корабль с устройством<br>помех перехвачен. Уничтожьте<br>устройства помех A.I.S. и всех<br>оставшихся врагов, пожалуйста."""
SimpleExplanation#0,"""Уничтожьте все устройства помех A.I.S.!"""
Area0S#0,"""Зона боевых действий Армады"""
Area0L#0,"""Зона боевых действий Армады\u3000Сектор 2: Область развёртывания"""
