Begin#0,"""開始5244"""
Success#0,"""成功5244"""
Failure#0,"""失敗5244"""
Dead#0,"""自分死亡5244"""
BuddyDead#0,"""相手死亡5244"""
Evolution#0,"""発展5244"""
Begin#1,"""/ci1 1 Напарник, ты вовремя!<br>Я не думаю, что мы справимся<br>с этим сами!"""
Success#1,"""/ci2 1 Фух, мы закончили!<br>Спасибо, напарник!<br>Вперёд, сестрица-Юки!"""
Failure#1,"""Айай...<br>Простите меня, сестрица-Юки,<br>напарник."""
Dead#1,"""Как же..."""
BuddyDead#1,"""Сестрица-Юки!<br>Я... вас ни за что не прощу!"""
Begin#2,"""/ci2 1 Хехех, ты, я и Зено сражаемся<br>вместе... как старые времена!<br>Вперёд, напарник!"""
Success#2,"""/mn15 /ci2 1 Я не уверен, как, но мы<br>справились, напарник! Смог ли<br>я хоть немного помочь?<br>Хорошо, встретимся позже!"""
Failure#2,"""/mn1 Чёрт!<br>Этого всё ещё недостаточно?"""
Dead#2,"""/mn2 Гх...！<br>Напарник...извини..."""
BuddyDead#2,"""/mn2 Зено..?!<br>Напарник, остались только мы!"""
