Begin#0,"""開始5087"""
Success#0,"""成功5087"""
Failure#0,"""失敗5087"""
Dead#0,"""自分死亡5087"""
BuddyDead#0,"""相手死亡5087"""
Evolution#0,"""発展5087"""
Begin#1,"""/mn15 /ci2 1 Прям вовремя!<br>Это была тяжелая ситуация!<br>Можешь нам немного помочь?"""
Success#1,"""/mn15 /ci2 1 Спасибо, я спасён!<br>Я думал, что мы могли бы пойти<br>вдвоём, но я переоценил нас"""
Failure#1,"""/mn1 Ох... неудача.<br>Протягивание ног - не хорошая<br>идея, чтоюы уйти."""
Dead#1,"""Ну и ну, не могу<br>пошевелиться. Защитник,<br>этот противник - нечто..."""
BuddyDead#1,"""Прости, Ио!<br>Я постараюсь сделать что-нибудь!<br>постарайся отдохнуть."""
Begin#2,"""/ci2 1 Ио, помедленнее.<br>Но я знаю, что ты чувствуешь.<br>Простите за вторжение!"""
Success#2,"""/ci2 2 Ну, в поряде - в поряде!<br>Когда <%me> рядом, мы можем<br>Сделать всё, что угодно. Так?"""
Failure#2,"""Похоже, эта старая дева готова.<br>Иди вперёд, а я постараюсь<br>разобраться здесь!"""
Dead#2,"""Ну и ну, это тяжёлый бой..."""
BuddyDead#2,"""Ио, ты берёшь на себя слишком<br>много. Я знаю, что ты пытаешься<br>помочь, но тебе стоит<br>не убегать вперёд."""
Begin#3,"""/ci2 1 Мы здесь, чтобы помочь!<br>Ох, ты пришлёл первым.<br>Ну, это будет очень сложно,<br>но я помогу!"""
Success#3,"""/mn15 /ci2 1 Мы сделали это!<br>Это всё сила Защитника!<br>Может, это не то место, где<br>стоит об этом говорить. Хорошо,<br>давай начнём спасение!"""
Failure#3,"""/mn1 А?!<br>Бесполезно, я оплошал..."""
Dead#3,"""/mn1 А?!<br>Бесполезно, я оплошал..."""
BuddyDead#3,"""/mn2 Ио?!<br>Не сдавайся сейчас!"""
