a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Title#0,"""А: Спасение союзного корабля"""
Explanation#0,"""Один из наших крейсеров подвергся<br>атаке Армады Конца. Он был выведен из<br>строя и находится под угрозой захвата.<br>Поспешите, и уничтожьте вражеские силы на<br>палубе, чтобы спасти крейсер.Кроме того, в<br>космосе были обнаружены истребители противника.<br>Остерегайтесь их атак.<br>――――――――――――――――――――<br>Проигрыш: Время истекло"""
NpcComMsg1#0,"""Начинаем последовательный запуск.<br>Ваша цель - спасти дружественный<br>корабль, атакованный вражескими<br>соединениями."""
NpcComMsg2#0,"""Из-за атаки врага, дружественный<br>корабль был выведен из строя.<br>Вам придётся победить врагов,<br>чтобы освободить его."""
NpcComMsg1#1,"""Этот корабль скоро будет<br>захвачен. Соберитесь на палубе,<br>и уничтожьте вражеские<br>соединения, пытающиеся<br>захватить его."""
SimpleExplanation#0,"""Уничтожьте врагов на палубе!"""
Area0S#0,"""Зона боевых действий Армады"""
Area0L#0,"""Зона боевых действий Армады\u3000Сектор 1: Область развёртывания"""
