Begin#0,"""開始5244"""
Success#0,"""成功5244"""
Failure#0,"""失敗5244"""
Dead#0,"""自分死亡5244"""
BuddyDead#0,"""相手死亡5244"""
Evolution#0,"""発展5244"""
Begin#1,"""/ci1 1 …이걸로 형세 역전이네!<br>우리들도 힘내자, 이츠키!"""
Success#1,"""/ci1 1 여기서는 RINA라고 불러줘.<br>그… 일부러 도와주러 와 줘서<br>감사합니다."""
Failure#1,"""/ci4 1 우리들, 자신의 힘을 과신하고 있었어…<br>죄송합니다, 먼저 물러날게요."""
Dead#1,"""그, 그런…<br>이런 곳에서 당해버리다니…"""
BuddyDead#1,"""안 돼, 이츠키!<br>무리하지 말고 조금 쉬고 있으세요!"""
Begin#2,"""/mn22 /toge /ci3 4 이렇게 적이 모여있다니…!<br>모처럼의 이벤트, 방해하게 두지 않아!<br>함께 힘내죠!"""
Success#2,"""/mn15 /ci2 1 도와줘서 감사해요.<br>이걸로, 초코렛을 건네줄 수 있어…<br>자, 갑시다!"""
Failure#2,"""/mn1 기껏 만든 초코렛이…!<br>죄송해요.<br>일단 재정비하고 올게요."""
Dead#2,"""/mn7 그럴수가…<br>아직 초코렛을 건네지 못했는데…"""
BuddyDead#2,"""/mn36 아이카, 무리는 금물이예요!<br>용서할 수 없어요…!"""
Begin#3,"""/ci3 3 갑시다, 리리카!<br>모두가 즐기기 위한 이벤트!<br>방해따위 하게 두지 않아요!"""
Success#3,"""/ci2 2 /mn16 좋아, 이정도인가요.<br>이 상태로 이벤트를<br>성공시킵시다."""
Failure#3,"""/mn5 기껏 만든 초코렛이…!<br>엉망진창이야…"""
Dead#3,"""/mn4 힘내서 만들었는데<br>건네줄 수 없다니…!"""
BuddyDead#3,"""/mn22 리리카, 무리는 안돼요!<br>뒤는 저희들에게 맡겨요!"""
