Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/mn6 /ci2 2 그 그렇네…<br>이런 모습, 부끄럽지만<br>싸움에 집중하지 않으면…!"""
Success#1,"""/mn6 /ci2 2 t5 정마알…<br>놀러 온 게 아니라, 협력자로서<br>와 있는 거라는 걸 잊으면 안돼!"""
Failure#1,"""/mn13 너무 방심했어, 정말이지.<br>다음부턴 정신차리자."""
Dead#1,"""/mn5 먼저 쓰러져버리다니…<br>죄송해요…"""
BuddyDead#1,"""/mn13 이츠키, 무리하면 안돼!<br>괜찮아, 내게 맡겨!"""
Begin#2,"""/mn15 /toge /ci2 4 모처럼 바다에 왔으니<br>즐기지 않으면 손해네.<br>자, 가자."""
Success#2,"""/mn15 /ci2 1 …후웃, 다행이다.<br>수영복이지만 어떻게든 되는 법이네."""
Failure#2,"""/mn1 이, 이 모습은 아무래도 조금<br>실패였을지도…"""
Dead#2,"""/mn11 조금 더 힘낼 수 있다고 생각했지만<br>…죄송해요."""
BuddyDead#2,"""/mn22 무리는 금물이야!<br>여기는 내게 맡겨!"""
