name01#0,"""Коффи"""
11_voice_NPC_5050_104#0,"""<%me>.<br>Вы хорошо постарались.<br>На связи администратор Коффи."""
text02#0,"""У меня есть особая новость для<br>вас, <%me>...<br>Появились адванц квесты."""
text03#0,"""Кроме того, к вам поступили<br>новые миссии, связанные с адванц квестами."""
text04#0,"""Если будет время, приходите<br>ко мне.<br>Я буду ждать вас"""
text100#0,"""Адванц квесты"""
text101#0,"""В адванц квестах вы принимаете участие<br>в Продвинутой команде ARKS с целью проведения<br>исследований областей, где скрываются гораздо<br>более сильные враги.<br><br>Чтобы отправиться на данный квест,<br>вам понадобится предмет, известный как<br>\""Advance Capsule\"".<br>Ими оплачивается проход на челноке<br>при прикосновении к вратам."""
text103#0,"""По завершении адванц квеста, 'риск' квеста<br>увеличится на 1.<br><br>'Риск' являет собой усложнение квеста посредством<br>повышения уровня и сложности врагов.<br><br>Риск сбрасывается по прошествии определённого<br>времени. Вы можете проверить когда сбросится риск<br>у координатора квестов."""
text104#0,"""У некоторых видов оружия, которые можно получить<br>посредством обмена, есть мощные способности<br>и более сильные характеристики.<br><br>Используя это оружие, вы сможете продвинуть<br>своего персонажа множеством способов, начиная<br>от повышения силы вашего оружия, использования<br>его как части для обмена на ещё более мощное<br>оружие, и заканчивая использованием его<br>в качестве материала для улучшения способностей<br>другого оружия."""
text102#0,"""При последовательном прохождении адванц квестов<br>у каждого игрока накапливается дополнительный<br>риск.<br><br>Сложность адванц квеста будет увеличиваться<br>в зависимости от риска.<br>Риск сбрасывается по прошествии определённого<br>времени. Вы можете проверить когда сбросится риск<br>у координатора квестов."""
linewindow001#0,"""Продвижение ARKS миссий!<br>Назначаемые вам ежедневные и еженедельные миссии<br>теперь будут сложнее, а также принесут больше наград!"""
