Title#0,"""The Seasonal Event"""
text0001#0,"""<yellow>Seasonal Events<c> are special events that only last for a limited time.<br><br>During this event, the map and the appearance of some enemies will change. In addition, Rappy variants from previous limited-time events will appear randomly."""
text0002#0,"""During this event, a Rappy-loving guy called Peppy Rappy will appear at each ARKS Base to act as a guide.<br><br>You can talk to Peppy Rappy to accept <yellow>Limited-Time Tasks<c>, or to trade <yellow>Seasonal Points<c> for items."""
text0003#0,"""Also, during this Seasonal Event, there will be additional Event-related <yellow>Daily/Weekly Tasks<c>.<br><br>To learn more about Seasonal Events, talk to Peppy Rappy and select <yellow>\""Ask about the Seasonal Event\""<c>."""
text0004#0,"""During this event, <yellow>Xitrae<c>, a member of the ARKS Support Staff, will appear at <yellow>each ARKS Base<c> to act as a guide.<br><br>You can talk to Xitrae to accept <yellow>Limited-Time Tasks<c>, or to trade <yellow>Seasonal Points<c> for items."""
text0005#0,"""Also, during this Seasonal Event, there will be additional Event-related <yellow>Daily/Weekly Tasks<c>.<br><br>To learn more about Seasonal Events, talk to Xitrae and select <yellow>\""Ask about the Seasonal Event\""<c>."""
text0006#0,"""<yellow>Seasonal Events<c> are special events that only last for a limited time.<br><br>During this event, the map and the appearance of some enemies will change, and limited-time Rappies will appear."""
text0007#0,"""<yellow>Seasonal Events<c> are special events that only last for a limited time.<br><br>During this event, <yellow>within the Aelio Region<c>, the map and the appearance of some enemies will change, and limited-time Rappies will appear."""
text0008#0,"""During this event, <yellow>Xitrae<c>, a member of the ARKS Support Staff, will appear at <yellow>each ARKS Base<c> to act as a guide.<br><br>You can talk to Xitrae to accept <yellow>Limited-Time Tasks<c>, or to trade <yellow>Seasonal Points<c> for items."""
text0009#0,"""Also, during this Seasonal Event, there will be additional Event-related <yellow>Daily/Weekly Tasks<c>.<br><br>To learn more about Seasonal Events, talk to Xitrae and select <yellow>\""Ask about the Seasonal Event\""<c>."""
text0010#0,"""<yellow>Seasonal Events<c> are special events that only last for a limited time.<br><br>During this event, the map and the appearance of some enemies will change <yellow>in the Retem Region<c>, and limited-time Rappies will appear."""
text0011#0,"""During this event, <yellow>Xiemmy<c>, a member of the ARKS Support Staff, will appear at <yellow>each ARKS Base<c> to act as a guide.<br><br>You can talk to Xiemmy to accept <yellow>Limited-Time Tasks<c>, or to trade <yellow>Seasonal Points<c> for items."""
text0012#0,"""Also, during this Seasonal Event, there will be additional Event-related <yellow>Daily/Weekly Tasks<c>.<br><br>To learn more about Seasonal Events, talk to Xiemmy and select <yellow>\""Ask about the Seasonal Event\""<c>."""
