name010#0,"""나즌"""
text010#0,"""자! 드디어 마지막 퀴즈입니다!"""
text020#0,"""이름하여, \""몇 마리지!?\"" 퀴즈!"""
quiz1#0,"""지금부터 등장하는 <red>에너미의 수<c>를 세고,<br>정답이라고 생각하는 발판으로 향해 주세요."""
quiz01_01#0,"""몇 마리지!?"""
quiz2#0,"""에너미는 몇 마리나 있을까요?<br>렛츠 씽킹!"""
quiz02_01#0,"""랍피의 수를 세어라!"""
text030#0,"""타임 업!"""
text040#0,"""이걸로 모든 퀴즈가 끝났습니다."""
text041#0,"""…는, 잠시만요?"""
text042#0,"""어이쿠!<br>또 다시, 에너미가 행사장에 난입!?"""
countdown_3#0,"""3"""
countdown_2#0,"""2"""
countdown_1#0,"""1"""
line04#0,"""스타트"""
quiz00_01#0,"""없음"""
quiz_correct#0,"""축하드립니다!"""
quiz_incorrect#0,"""아쉽네요…."""
quiz_select14#0,"""14마리"""
quiz_select15#0,"""15마리"""
quiz_select16#0,"""16마리"""
quiz_select17#0,"""17마리"""
quiz_select18#0,"""18마리"""
quiz_answer14#0,"""정답은…<br><red>14마리<c>입니다!"""
quiz_answer15#0,"""정답은…<br><red>15마리<c>입니다!"""
quiz_answer16#0,"""정답은…<br><red>16마리<c>입니다!"""
quiz_answer17#0,"""정답은…<br><red>17마리<c>입니다!"""
quiz_answer18#0,"""정답은…<br><red>18마리<c>입니다!"""
quiz_select8#0,"""8마리"""
quiz_select9#0,"""9마리"""
quiz_select10#0,"""10마리"""
quiz_select11#0,"""11마리"""
quiz_answer8#0,"""정답은…<br><red>8마리<c>입니다!"""
quiz_answer9#0,"""정답은…<br><red>9마리<c>입니다!"""
quiz_answer10#0,"""정답은…<br><red>10마리<c>입니다!"""
quiz_answer11#0,"""정답은…<br><red>11마리<c>입니다!"""
