11_voice_NPC_5499_211#0,"""<%me> 님!<br>안녕하세요, 제네예요!"""
text01002#0,"""앗, 저도 모르게 이름을 말했네요!<br>오랜만에 만난 분들과<br>계속 인사하고 다녀서……"""
text01003#0,"""사실 그분에게 허락받고<br>아프탈 씨와 린 씨 두 분을<br>안내하고 있어요."""
text01004#0,"""맞다, 도와주셨으면 하는 일이<br>있는데……부탁드려도 될까요?<br>괜찮으시면 다시 말을 걸어 주세요."""
text02001#0,"""후훗……아프탈 씨.<br>여기 온 뒤로 계속<br>두리번거리며 주변을 보고 있네요."""
text02002#0,"""아크스 쉽에 온 것도<br>이번이 처음이고, 신기한 게<br>잔뜩 있나 봐요."""
11_voice_NPC_5499_205#0,"""<%me> 님,<br>아프탈 씨가 즐거워 보여요.<br>후훗, 다행이네요."""
text04001#0,"""아프탈 씨가 아크스 쉽을<br>즐겨 주는 것 같아서<br>정말 다행이에요."""
text04002#0,"""아프탈 씨에게 받은 펜던트예요.<br>귀엽죠?<br>에헤헤……정말 기뻐요!"""
Title#0,"""『PSO2es』에 대해"""
text0001#0,"""『PSO2es』 스토리 퀘스트 시즌 3의<br>새 캐릭터 아프탈과 린이 제네와 함께<br>기간 한정으로 『PSO2』에 등장!<br><br>『PSO2es』는 스마트폰으로 즐기는 애플리케이션입니다.<br>간단한 터치와 슬라이드 조작으로 본격 액션을 즐길 수 있습니다.<br><br>『PSO2』의 친숙한 무기에서 태어난<br>「웨포노이드」와 함께 강대한 에너미와 싸워 보세요!<br>스토리 퀘스트에서는 제네와 모아를 비롯한 다커 버스터즈와<br>아프탈, 린, 웨포노이드 등 매력적인 동료들과 함께<br>우주를 둘러싼 장대한 이야기로 떠날 수 있습니다!"""
text0002#0,"""『PSO2es』는 『PSO2』 데이터와 연동할 수 있습니다.<br>데이터를 연동하면 『PSO2』의 캐릭터를<br>그대로 사용해 플레이할 수 있습니다.<br>무료로 사용할 수 있는 『PSO2es 연동 창고』와 경험치 티켓,<br>다양한 레어 아이템 등을 얻을 수 있습니다.<br>『PSO2es』를 연동해 플레이하면 『PSO2』를<br>언제 어디서든 더욱 효율적으로 즐길 수 있습니다.<br><br>관심이 있다면 지금 바로 다운로드!<br>『PSO2es』를 플레이하고<br>아프탈과 린 일행을 만나러 가세요!<br>무한히 펼쳐진 세계에서 다커 버스터즈의 멤버와<br>매력적인 웨포노이드들이 여러분을 기다립니다!<br>자, 새로운 모험을 떠나세요!!"""
Title#1,"""『PSO2es』에 대해"""
text0001#1,"""『PSO2es』의 새 캐릭터<br>아프탈과 린이 제네와 함께<br>기간 한정으로 『PSO2』에 등장!<br><br>『PSO2es』는 스마트폰으로 즐기는<br>애플리케이션입니다.<br>간단한 터치와 슬라이드 조작으로<br>본격 액션을 즐길 수 있습니다.<br><br>『PSO2』의 친숙한 무기에서 태어난<br>「웨포노이드」와 함께<br>강대한 에너미를 상대로 싸워 보세요!<br>스토리 퀘스트에서는 아프탈과 린,<br>제네와 모아 등 다커 버스터즈 동료들과<br>우주를 둘러싼 장대한 이야기로<br>떠날 수 있습니다!"""
text0002#1,"""『PSO2es』는 『PSO2』 데이터와<br>연동할 수 있습니다.<br>데이터를 연동하면 『PSO2』의<br>캐릭터를 그대로 사용해<br>플레이할 수 있습니다.<br>무료 연동 창고를 사용할 수 있고<br>경험치 티켓과 레어 아이템을 얻을 수 있습니다.<br>『PSO2es』를 플레이하면 『PSO2』를<br>언제 어디서든 더욱 효율적으로 즐길 수 있습니다.<br><br>관심이 있다면 지금 바로 다운로드!<br>『PSO2es』를 플레이하고<br>아프탈과 린 일행을 만나러 가세요!<br>다커 버스터즈의 멤버와<br>매력적인 웨포노이드가 여러분을 기다립니다!<br>자, 새로운 모험을 떠나세요!!"""
11_voice_NPC_5499_211#1,"""아, 리더!<br>마침 잘 오셨어요!!"""
text202003_1_2#0,"""지금 홀시드 씨에게<br>아크스 쉽을 안내하고 있었어요."""
text202003_1_3#0,"""괜찮으시면 리더도<br>홀시드 씨와<br>이야기하고 가시지 않을래요?"""
11_voice_NPC_5499_200#0,"""전에 홀시드 씨와 둘이서<br>행성 워팔에 갔을 때<br>기분 전환으로 수영하자고 했어요."""
text202003_2_2#0,"""아, 그때 리더도 만났었죠.<br>합동 훈련 중이던 야스미노코프 팀<br>여러분과 함께하기도 하고……"""
11_voice_NPC_5499_201#0,"""그때처럼 홀시드 씨가<br>기분을 전환할 수 있는 무언가를……<br>찾고 싶네요."""
11_voice_NPC_5499_204#0,"""얼마 전에 홀시드 씨를<br>제 방에 초대했어요.<br>에헤헤, 여자들끼리 모였답니다!"""
11_voice_NPC_5499_216#0,"""제 실내복을 빌려 드렸더니……<br>가슴 쪽이 조금 꽉 끼었나 봐요."""
text202003_3_3#0,"""홀시드 씨는<br>몸매가 좋으니까요.<br>멋있어서 부러워요."""
11_voice_NPC_5499_202#0,"""리더, 출격 준비는 끝났으니<br>언제든 말씀해 주세요."""
text202003_4_2#0,"""모아와 아네트 씨, 브루노 씨는<br>다른 임무가 있나 봐요……<br>리더와 둘이서도 괜찮겠죠!"""
11_voice_NPC_5499_205#1,"""홀시드 씨가 주신 답례……<br>정말 기뻤어요."""
text202003_5_2#0,"""만들어 주신 요리를 먹었더니<br>마음이 포근하고 따뜻해져서<br>힘이 잔뜩 났어요."""
11_voice_NPC_5499_204#1,"""진짜 에르지마트 요리의 맛……<br>기대되네요!\u3000에헤헤!!"""
text01#0,"""아, 리더!<br>마침 잘 오셨어요!"""
text02#0,"""지금 아프탈 씨와 홀시드 씨가<br>아크스 쉽에 와 있어요."""
text03#0,"""두 분 모두 리더를 만나길<br>기대하고 있었나 봐요!<br>꼭 말을 걸어 주세요."""
11_voice_NPC_5499_100#0,"""홀시드 씨와 아프탈 씨를 보면<br>자매란 참 좋겠다는<br>동경이 생겨요!"""
11_voice_NPC_5499_205#2,"""계속 서로 반발하던 두 분이<br>이렇게 사이좋은 자매로 돌아와서<br>정말 다행이에요."""
text03#1,"""리더, 앞으로도 두 분을<br>계속 지켜볼 수 있으면 좋겠네요."""
11_voice_NPC_5499_200#1,"""조금 전에 홀시드 씨 일행과<br>카페에 다녀왔는데요……"""
text02#1,"""새 디저트가 세 가지나 있길래<br>셋이서 하나씩 산 다음<br>서로 맛을 비교해 봤어요!"""
11_voice_NPC_5499_204#2,"""전부 정말 맛있어서……<br>다음에는 리더도<br>함께 가요!"""
11_voice_NPC_5499_200#2,"""저기, 리더……<br>에르지마트 수영복은 그게……<br>상당히 대담하지 않나요?"""
text02#2,"""홀시드 씨가 권해 주셨지만<br>천 한 장만 몸에 두르면<br>가슴이 다 드러날 것 같아서……"""
11_voice_NPC_5499_201#1,"""문화의 차이가 정말<br>대단하다는 생각이 또 드네요……"""
11_voice_NPC_5499_205#3,"""홀시드 씨와 아프탈 씨가<br>만들어 준 에르지마트 요리,<br>정말 맛있었죠!"""
text02#3,"""어딘가 그립고 따뜻한……<br>두 분에게는 잊을 수 없는<br>고향의 맛이겠죠."""
11_voice_NPC_5499_204#3,"""그걸 다 같이 차례로 먹고……<br>후훗, 왠지 가족의 울타리 안에<br>들어간 것 같아서 기뻤어요."""
