msc_014110_0010#0,"""그 많던 돌즈가…<br>이렇게 단번에…"""
msc_014110_0020#0,"""그렌은… 뭐랄까…<br>조금 차원이 다른 강함이네."""
msc_014110_0030#0,"""진심이 된 대장과 맞붙을 수 있는 건…<br>센트럴 리더인 크로퍼드 정도겠네요."""
msc_014110_0040#0,"""크, 크로퍼드!?<br>…어? 그 사람 그렇게 강한거야?"""
msc_014110_0050#0,"""네… 하지만 그가 그가 싸우는 모습은<br>벌써 오랫동안 보지 못했습니다만…."""
msc_014110_0060#0,"""아 맞다.<br>조금… 궁금했던 게 있는데."""
msc_014110_0070#0,"""뭔가 센트럴 타워에서 크로퍼드랑<br>그렌이 만났을 때… 이상했지."""
msc_014110_0080#0,"""저 둘이… 무슨 일이 있었나 해서."""
msc_014110_0090#0,"""아아 그건…"""
msc_014110_0100#0,"""…카누이."""
msc_014110_0110#0,"""…넵."""
msc_014110_0120#0,"""…가자."""
msc_014110_5010#0,"""우왓!"""
msc_014110_5020#0,"""우왓!"""
msc_014110_5030#0,"""우왓!"""
msc_014110_5040#0,"""크흑."""
msc_014110_5050#0,"""우오오오오!!"""
msc_014110_5060#0,"""큿!"""
