msc_014280_0010#0,"""…이상해"""
msc_014280_0020#0,"""잠금 해제는 했는데…<br>아무런 변화가 없어…"""
msc_014280_0030#0,"""중앙의 장벽이 해제되지 않아…<br>어찌된 일이지…"""
msc_014280_0040#0,"""마논 씨…<br>크로퍼드 씨께서 연락을 하셨습니다."""
msc_014280_0050#0,"""크로퍼드?"""
msc_014280_0060#0,"""이쪽에서 보낸 데이터에 관한걸<br>해석하신 것 같습니다."""
msc_014280_0070#0,"""다행이네."""
msc_014280_0080#0,"""스티아 리전에서 작전 중인 아크스에게서<br>받은 데이터를 해석한 결과…"""
msc_014280_0090#0,"""중앙의 본거지…<br>일명 \""스티아 중추부\""라고 해둘까."""
msc_014280_0100#0,"""이곳에 들어가려면 한 군데 더<br>단말기에 액세스해서 잠금을 해제해야 할 것 같아."""
msc_014280_0110#0,"""응, 그런데 그 단말기의 위치와 제어 방법을 몰라서…"""
msc_014280_0120#0,"""그거라면 그가 뭔가 알아낸 것 같아"""
msc_014280_0130#0,"""마논!"""
msc_014280_0140#0,"""엣, 이루마?"""
msc_014280_0150#0,"""마지막 단말기의 위치랑 그걸<br>제어하는 방법에 관한건데…"""
msc_014280_0160#0,"""지금 네 마그에 데이터를 보낼게!<br>그 요령으로 해봐!"""
msc_014280_0170#0,"""단말기 정보에 맞춰 적절한 배열을 선택해야 하지만<br>분명 너라면 할 수 있어!"""
msc_014280_0180#0,"""그럼 나는 해석하러 돌아갈게.<br>또 보자!"""
msc_014280_0190#0,"""이루마가 상당히 마음에 들었나봐."""
msc_014280_0200#0,"""나도 너라면 괜찮을거라 믿어."""
msc_014280_0210#0,"""크로퍼드…"""
msc_014280_0220#0,"""다크 펄스는<br>스티아 중추부에 잠들어 있는 것이 틀림없어…"""
msc_014280_0230#0,"""너희들에게만 힘들게 해서 미안해.<br>우리도 준비를 진행하고 있어. 조금만 버텨줘."""
msc_014280_0250#0,"""부상병의 이송과 치료가 끝났습니다.<br>저희는 이제부터 스티아 중추부로 이동하겠습니다."""
msc_014280_0260#0,"""알겠어.<br>우리도 작업을 계속할게."""
msc_014280_0270#0,"""그럼 이만."""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
