msc_014070_0010#0,"""그렇군요…"""
msc_014070_0020#0,"""대장님, 센트럴 시티의 작전은<br>최종 목표의 차이가 있지만…"""
msc_014070_0030#0,"""저희가 기도하는 작전과도 공통 사항이 많아 보입니다."""
msc_014070_0040#0,"""…카누이, 우리의 작전 설명을."""
msc_014070_0050#0,"""알겠습니다…."""
msc_014070_0060#0,"""현재 저희는 스티아 리전에<br>존재하는 돌즈의 3개의 거점에"""
msc_014070_0070#0,"""대규모 제압 작전을 계획하고 있습니다.<br>이번 작전에서는…"""
msc_014070_0080#0,"""…작전 개요는 이상입니다."""
msc_014070_0082#0,"""…돌즈의 \""플랜트\""와<br>남북에 존재하는 \""거점\""의 제압…"""
msc_014070_0084#0,"""우선은, 이 플랜트의 공략부터네…."""
msc_014070_0090#0,"""네…<br>강력한 돌즈가 수비를 단단히 하고 있고"""
msc_014070_0100#0,"""저희도 완전한 제압에는<br>아직 이르지 못했습니다."""
msc_014070_0110#0,"""지금까지는 상대의 수에 압도되어<br>제압은 이루어지지 않았다."""
msc_014070_0120#0,"""하지만 이번에는 너희들이 있다.<br>이 기회를 최대한 활용하고 싶다."""
msc_014070_0130#0,"""작전 내용은, 저희 선발대측에서<br>편성한 부대로 시설 내의 적을 양동."""
msc_014070_0140#0,"""그 사이에 그렌 대장님을 포함한 주력 부대로 제압.<br>적 기지의 중추로 침공하여 무력화합니다."""
msc_014070_0150#0,"""너희들은 주력 부대에 참가하여<br>돌즈를 확실하게 붙잡아 주었으면 한다."""
msc_014070_0160#0,"""실패는 허용하지 않는다.<br>어떻게든 성공시키겠다…."""
msc_014070_0170#0,"""알겠어"""
msc_014070_0180#0,"""……。"""
msc_014070_0190#0,"""…출격이다."""
msc_014070_0200#0,"""걱정하지 마라. 상응하는 지원은 해주겠다.<br>…가자."""
