msc_014270_0010#0,"""하아… 하아…<br>엄청… 많았지…"""
msc_014270_0020#0,"""당장 부상자를 치료해야해."""
msc_014270_0030#0,"""구호반은 있는가?"""
msc_014270_0040#0,"""………。"""
msc_014270_0050#0,"""움직일 수 있는 사람은 부상자의 치료를!"""
msc_014270_0060#0,"""……관측반, 상황보고!"""
msc_014270_0070#0,"""찾았습니다!<br>제어실 같은 모퉁이가 안쪽에 있습니다!"""
msc_014270_0080#0,"""알겠습니다."""
msc_014270_0085#0,"""……그들의 호위를 부탁할게."""
msc_014270_0090#0,"""부상자는 저희가 대응하겠습니다.<br>…제어 단마릭를 부탁드려도 될까요?"""
msc_014270_0100#0,"""…알겠어."""
msc_014270_5010#0,"""여기에도 약을 줘! 아야아아아앗!<br>저 녀석, 직접 습격할줄이야…"""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
