msc_014130_0010#0,"""여기가 \""북쪽 거점\""입니다."""
msc_014130_0020#0,"""저희가 조사한 바로는 이 안쪽에<br>제어실이 확인되고 있어서…"""
msc_014130_0030#0,"""안에 있는 단말기를 조작하여 최심부로<br>나아갈 길이 열릴 거라고 생각합니다."""
msc_014130_0040#0,"""돌즈 외에도<br>보루와 같은 형상으로 인한 견고한 수비도 있어서…"""
msc_014130_0050#0,"""플랜트 이상으로 어려운 상황이 예상되므로<br>더욱 꼼꼼한 준비가 필요합니다."""
msc_014130_0060#0,"""관측반을 통한 정보 수집과 해석을 바탕으로<br>작전을 진행합시다."""
msc_014130_0070#0,"""관측반!"""
msc_014130_0080#0,"""그런가, 아까 그 싸움에서…"""
msc_014130_0090#0,"""그 외에 해석을 실시할 수 있는 사람은 없는가?"""
msc_014130_0100#0,"""저희는 해석 임무에 중점을 둔<br>센트럴 시티 소속 아크스입니다."""
msc_014130_0110#0,"""이곳에서<br>충분한 일을 할 수 있을지 별로 자신은 없지만…"""
msc_014130_0120#0,"""센트럴 시티의 지령실과 연계하여<br>정보의 수집과 해석을 실시하겠습니다."""
msc_014130_0130#0,"""고마워요. 그럼, 부탁하겠습니다.<br>이변이 있으면 바로 보고해 주세요."""
msc_014130_0140#0,"""정보의 수집, 해석이 끝날 때까지<br>각자 보급을."""
msc_014130_0150#0,"""해석이 끝나는 대로<br>작전을 재개합니다."""
msc_014130_0170#0,"""여러분도 보급을 실시해 주세요.<br>준비되는 대로 저에게 보고를."""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
