msc_014250_0010#0,"""우오오오오오오옷!!"""
msc_014250_0020#0,"""…큿!!"""
msc_014250_0030#0,"""우아아아아아아앗!"""
msc_014250_0040#0,"""걸음을 멈추면 목숨은 없다고 생각하라!<br>항상 상대의 공격에 대비하라!"""
msc_014250_0050#0,"""알겠습니다!"""
msc_014250_0060#0,"""우오오오오오오오옷!"""
msc_014250_5010#0,"""하아아아아아앗!"""
msc_014250_5020#0,"""훗!"""
msc_014250_5030#0,"""훗!"""
msc_014250_5040#0,"""핫!"""
msc_014250_5050#0,"""칫!"""
msc_014250_5110#0,"""흐아아아아아!!"""
msc_014250_5120#0,"""우오오오오오!!"""
msc_014250_5130#0,"""크읏!"""
msc_014250_5140#0,"""핫!"""
msc_014250_5150#0,"""우오오오오오!!"""
msc_014250_5160#0,"""이얍!"""
msc_014250_5170#0,"""흐압!"""
msc_014250_5180#0,"""하아아아아압!"""
msc_014250_5190#0,"""핫!!이얍, 가라"""
msc_014250_5200#0,"""으아아아아아!!"""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
