msc_014030_0010#0,"""역시 여기에 있었구나!"""
msc_014030_0020#0,"""너희들…<br>어쩐일이야?"""
msc_014030_0030#0,"""저 저기…<br>뭐라고 해야 할지 모르겠지만…"""
msc_014030_0040#0,"""마논… 혹시 뭔가 고민거리가 있다거나…<br>하지않아?"""
msc_014030_0050#0,"""아니…<br>조금… 생각하고 있었어."""
msc_014030_0060#0,"""로스트 센트럴에서는 다크 펄스에 대해서<br>여러가지를 알 수 있었어…"""
msc_014030_0070#0,"""이전보다 더 진화하고, 강해지고 있는 상대와<br>우린 싸우는 수 밖에 없어…."""
msc_014030_0080#0,"""그…렇네."""
msc_014030_0090#0,"""그래도 괜찮아!<br>모두의 힘을 합치면 되니까!"""
msc_014030_0100#0,"""그렇네… 아이나는 정말 강해졌어.<br>전에 여기서 고민하던 때와는 이미 다른 사람이야."""
msc_014030_0110#0,"""물론 너도.<br>그래도…"""
msc_014030_0120#0,"""다크 펄스와 싸우면…<br>많은 희생이 있을 수 밖에 없어…"""
msc_014030_0130#0,"""나는… 이 이상 전쟁이 번져가는 것이<br>…무서워."""
msc_014030_0140#0,"""마논은 상냥하구나…"""
msc_014030_0150#0,"""아니, 나는…"""
msc_014030_0160#0,"""센트럴 시티에서 대기 중인<br>아크스에게 전달."""
msc_014030_0170#0,"""크로퍼드의 긴급 소집이 있다.<br>신속히 집합할 것… 이상."""
msc_014030_0180#0,"""…가자."""
msc_014030_0190#0,"""…아<br>마논…"""
