msc_014190_0010#0,"""어떻습니까?<br>무슨 진전이 있었나요?"""
msc_014190_0020#0,"""무리… 까진 아니지만, 복잡한 암호로 프로텍트되어 있습니다.<br>최심부로 가기 위한 잠금을 해제하려면 시간이 걸릴 것 같습니다."""
msc_014190_0030#0,"""마논이라면… 알아볼 수 있지 않을까?"""
msc_014190_0040#0,"""…확인해 볼게."""
msc_014190_0050#0,"""…잠금 해제는 했어."""
msc_014190_0060#0,"""하지만, 너희들이 생각했던 대로…"""
msc_014190_0070#0,"""남쪽 거점의 제어실에 있는 단말기도 조작하지 않으면<br>최심부로 가기 위한 잠금은 완전히 해제되지 않을 것 같네."""
msc_014190_0080#0,"""북쪽 거점의 제어실에 있는 단말기 만으로는,<br>최심부로 향하는 잠금이 해제되지 않을 가능성이 있어."""
msc_014190_0090#0,"""그럴 경우 한 쌍인 남쪽 거점의<br>제어 단말기도 조작해야 할 필요가 있을 거야."""
msc_014190_0100#0,"""역시 그랬군요…"""
msc_014190_0170#0,"""그럼 예정대로 \""남쪽 거점\""공략 작전으로 넘어갑니다.<br>준비되는 대로 집합하세요."""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
