TrialName_1Enemy#0,"""กำจัด $(0)"""
TrialBeginMsg_1Enemy#0,"""จัดการ $(0) ซะ!"""
TrialAbstract_1Enemy#0,"""จัดการ $(0)"""
TrialName_Multi#0,"""กำจัดศัตรู"""
TrialBeginMsg_Multi#0,"""จัดการศัตรูทั้งหมดที่ปรากฏตัว!"""
TrialAbstract_Multi#0,"""จัดการศัตรู"""
NpcComGod2ManonAndAina02#0,"""ดูเหมือนว่าเราจะอยู่คนละจุดนัดพบกันนะ"""
NpcComGod2ManonAndAina01#0,"""ตอนนี้นายอยู่แถวไหนน่ะ?"""
NpcComGod2ManonAndAina03#0,"""เดี๋ยวจะส่งพิกัดทางนี้ไปให้ แล้วมาเจอกันนะ..."""
NpcComGod2RanBossAppear01#0,"""มีปฏิกิริยาพลังงานสูงในอวกาศ ศัตรูที่แข็งแกร่งกำลังมา!"""
NpcComGod2RanBossAppear02#0,"""...ยืนยันการปรากฏตัวของ Dark Falz"""
NpcComGod2RanBossBattleStart01#0,"""/voicessc_012050_0010 /atime0.5 ...ทุกคน... ได้ยินไหม!? ...ถ้าได้ยินช่วยตอบด้วย! ...เกิด...อะไรขึ้น...!"""
NpcComGod2RanLaterHalf01#0,"""การสื่อสารกลับมาเป็นปกติแล้ว!<br>ตรวจสอบชีพจรแล้ว สามารถติดตามสถานการณ์ทางนั้นได้แล้วค่ะ"""
NpcComGod2RanLaterHalf02#0,"""/voicessc_012060_0030 /atime0.5 นี่มัน... Dark Falz อ่อนแอลงกว่าตอนที่ปรากฏตัวออกมาอีก!<br>โจมตีต่อไปได้เลย!"""
NpcComGod2RanBrokenAllParts01#0,"""Dark Falz อ่อนแอลงไปอีก ลุยเลย!"""
NpcComGod2RanReturnFromDown01#0,"""/voicessc_012060_0050 /atime0.5 การเตรียมยิง Central Cannon เข้าสู่ขั้นตอนสุดท้ายแล้ว<br>อีกแค่นิดเดียว... พยายามเข้า!"""
NpcComGod2CrawfordBossAppear03#0,"""/voicessc_012040_0060 /atime0.5 ต้องใช้เวลาอีกหน่อยกว่าจะยิง Cannon ได้<br>ทุกคน ช่วยถ่วงเวลาให้ที..."""
