TrialName#0,"""$(0)"""
TrialBeginMsg#0,"""ผ่านจุดเช็คพอยต์ <pict minigame_checkp> ทั้งหมดภายใน 2:30!"""
TrialAbstract#0,"""ผ่านจุดเช็คพอยต์ <pict minigame_checkp> ทั้งหมดภายใน 2:30"""
MLineMsg_TransferSoon#0,"""จับคู่เสร็จสิ้น จะทำการส่งตัวใน 5 วินาที"""
MLineMsg_Success#0,"""Field Race<br>เคลียร์ '$(0)' แล้ว!"""
MLineMsg_TimeOver#0,"""Field Race ล้มเหลว<br>หมดเวลา!"""
MLineMsg_GoalNotice_01#0,"""$(0)/$(1)"""
MLineMsg_GoalNotice_02#0,"""$(0) เข้าเส้นชัยแล้ว!"""
MLineMsg_GoalNotice_03#0,"""เวลาที่เคลียร์ได้: $(0):$(1).$(2)"""
MLineMsg_GoalNotice_04#0,"""สัญลักษณ์ที่ได้รับ: $(0)"""
MGoalNotice_PlayerFinish#0,"""$(0) เข้าเส้นชัยแล้ว! ($(1)/$(2))"""
MBreakawayNotice_PlayerExit#0,"""ออกจาก $(0) แล้ว"""
