WorldTrialName#0,"""ปฏิบัติการเก็บกู้ Stellar Grace"""
WorldTrialNameS#0,"""ปฏิบัติการเก็บกู้ Stellar Grace (Stia)"""
WorldTrialNameA#0,"""ปฏิบัติการเก็บกู้ Stellar Grace (Aelio)"""
WorldTrialNameR#0,"""ปฏิบัติการเก็บกู้ Stellar Grace (Retem)"""
WorldTrialNameK#0,"""ปฏิบัติการเก็บกู้ Stellar Grace (Kvaris)"""
WorldTrialExplain#0,"""เก็บกู้ Stellar Grace ทั่วโลกให้ได้มากที่สุดเท่าที่จะทำได้<br>ยิ่งเก็บกู้ได้มากเท่าไร ตัวคูณอัตราดรอปแรร์ก็จะยิ่งสูงขึ้นเท่านั้น"""
WorldTrialExplainK#0,"""เก็บกู้ Stellar Grace ที่ปรากฏใน Kvaris ให้ได้มากที่สุดภายในเวลาที่กำหนด<br>อัตราดรอปแรร์จะเพิ่มขึ้นตามจำนวนที่เก็บกู้ได้"""
WorldTrialExplainR#0,"""เก็บกู้ Stellar Grace ที่ปรากฏใน Retem ให้ได้มากที่สุดภายในเวลาที่กำหนด<br>อัตราดรอปแรร์จะเพิ่มขึ้นตามจำนวนที่เก็บกู้ได้"""
WorldTrialExplainA#0,"""เก็บกู้ Stellar Grace ที่ปรากฏใน Aelio ให้ได้มากที่สุดภายในเวลาที่กำหนด<br>อัตราดรอปแรร์จะเพิ่มขึ้นตามจำนวนที่เก็บกู้ได้"""
WorldTrialExplainS#0,"""เก็บกู้ Stellar Grace ที่ปรากฏใน Stia ให้ได้มากที่สุดภายในเวลาที่กำหนด<br>อัตราดรอปแรร์จะเพิ่มขึ้นตามจำนวนที่เก็บกู้ได้"""
WorldTrialExplain02#0,"""เก็บกู้ Stellar Grace ให้ได้มากที่สุดภายในเวลาที่กำหนด<br>ยิ่งเก็บกู้ได้มาก ตัวคูณอัตราดรอปแรร์และแต้มเทศกาลก็จะยิ่งสูงขึ้น"""
WorldTrialAbstract#0,"""เก็บกู้ Stellar Grace"""
MessageRemainingTreasure1#0,"""ใน Section นี้: เหลือ $(0) อัน"""
MessageRemainingTreasure2#0,"""ใน Section นี้: เหลือ $(0) อัน"""
MessageSectionComplate#0,"""เก็บกู้ Stellar Grace ทั้งหมดแล้ว!"""
ToastTreasureAccess#0,"""จำนวน S. Grace ที่เก็บกู้ได้: $(0) / บูสต์ S. Grace [ตนเอง] ปัจจุบัน: $(1)%"""
ProgRemainingSection#0,"""Stellar Grace ใน Section: เหลือ $(0) อัน"""
ViewGuide#0,"""ดูรายละเอียดในเมนู"""
ViewPersonalScoreTitle#0,"""S. Grace ใน Section"""
ViewPersonalBoostTitle#0,"""บูสต์ S. Grace [ตนเอง]"""
ToastIntegrateTargetBoost#0,"""ตัวคูณบูสต์ S. Grace [ทั้งหมด] เพิ่มขึ้นเป็น $(0)%"""
NpcComOnBegin#0,"""ตรวจพบวัตถุจำนวนมากอยู่เหนือพวกเรา! คาดว่าน่าจะเป็น Stellar Grace"""
NpcComOnBegin2#0,"""ขอให้ ARKS ทุกท่านในพื้นที่ ช่วยกันเก็บกู้คอนเทนเนอร์รูปทรงพีระมิดที่กระจัดกระจายอยู่ด้วย"""
NpcComOnSuccess#0,"""พวกเราสามารถเก็บกู้คอนเทนเนอร์ทั้งหมดได้ทันเวลา ต้องขอบคุณ ARKS ทุกท่านในพื้นที่เลย!"""
NpcComOnSuccess2#0,"""ต้องขอบคุณความร่วมมือของทุกคน เราถึงทำปฏิบัติการนี้สำเร็จ"""
NpcComOnFailure#0,"""พวกเราเก็บกู้คอนเทนเนอร์ได้ไม่เพียงพอ หากดำเนินการต่ออาจเป็นอันตรายต่อการป้องกันของเราได้"""
NpcComOnFailure2#0,"""ดูเหมือนว่าการเก็บกู้ Stellar Grace เพิ่มเติมจะทำได้ยากแล้ว ARKS ทุกท่าน โปรดกลับไปทำภารกิจตามปกติได้เลย"""
NpcComOnPersonalSuccess#0,"""คุณได้กู้คืน Stellar Grace ที่เราต้องการแล้ว!"""
NpcComOnPersonalSuccess2#0,"""ถ้ายังไหว ก็พยายามกู้คืนมาให้ได้มากที่สุดเท่าที่จะทำได้นะ"""
NpcComOnSectionComplate#0,"""คอนเทนเนอร์ทั้งหมดใน Section นี้ถูกเก็บกู้หมดแล้ว โปรดไปยัง Section อื่นต่อเลย"""
NpcComOnAllSectionComplate#0,"""เราได้เก็บกู้ Stellar Grace ที่เราต้องการทั้งหมดแล้ว! ขอบคุณทุกคนที่ให้ความร่วมมือ"""
NpcComOnAllComplate#0,"""เราได้เก็บกู้ Stellar Grace ที่เราต้องการทั้งหมดแล้ว! ขอบคุณทุกคนที่ให้ความร่วมมือ"""
NpcComOnIntegrateTargetScoreLevel2#0,"""เป้าหมายคะแนนรวม เลเวล 2"""
NpcComOnIntegrateTargetScoreLevel3#0,"""เป้าหมายคะแนนรวม เลเวล 3"""
NpcComOnIntegrateTargetScoreLevel4#0,"""เป้าหมายคะแนนรวม เลเวล 4"""
NpcComOnIntegrateTargetScoreLevel5#0,"""เป้าหมายคะแนนรวม เลเวล 5"""
