TrialName_1Enemy#0,"""ปราบ $(0)"""
TrialName_1Enemy_normal#0,"""ปราบศัตรู"""
TrialBeginMsg_1Enemy#0,"""กำจัด $(0) ที่ปรากฏออกมา!"""
TrialBeginMsg_1Enemy_?????#0,"""กำจัด ????? ที่ปรากฏออกมา!"""
TrialAbstract_1Enemy#0,"""กำจัด $(0)"""
TrialAbstract_1Enemy_?????#0,"""กำจัด ?????"""
TrialName_Multi#0,"""ปราบศัตรู"""
TrialBeginMsg_Multi#0,"""กำจัดศัตรูที่ปรากฏออกมา!"""
TrialAbstract_Multi#0,"""กำจัดศัตรู"""
NpcComOnBegin#0,"""อะไรกัน... มีศัตรูที่ทรงพลังอยู่ที่นี่ด้วย! รีบจัดการมันทันทีเลย!"""
NpcComOnSuccess#0,"""ดูเหมือนมันจะถอยไปแล้ว! ตามไปกำจัดมันกันเถอะ!"""
