TrialName#0,"""ทำลาย Sonner"""
TrialBeginMsg#0,"""ทำลาย Dazzle Pod ทั้งหมดและ Sonner!"""
TrialAbstract#0,"""ทำลาย Dazzle Pod และ Sonner"""
BarrierDestroy#0,"""$(0) ทำลาย Dazzle Pod แล้ว"""
NpcComOnBegin#0,"""ยืนยันการติดตั้งเครื่องยิงระเบิดอัตโนมัติ!"""
NpcComOnBegin2#0,"""ตัวหลักของ Sonner ได้รับการปกป้องโดยโล่ป้องกัน<br>ทำลาย Dazzle Pod ที่อยู่ใกล้เคียงซะ"""
NpcComOnSuccess#0,"""ยืนยันการทำลาย Sonner แล้ว<br>ขอบคุณที่เข้าร่วม"""
NpcComOnSuccess2#0,"""โปรดเก็บกู้เสบียงจากซากของ Sonner ด้วย"""
NpcComOnFailure#0,"""Sonner ล่าถอยไปแล้ว...<br>โปรดมุ่งหน้าไปยังเป้าหมายถัดไป"""
NpcComOnDestroyMachineFirst#0,"""กำลังสแกนพื้นที่<br>ส่งตำแหน่งของ Dazzle Pod ตัวต่อไปให้แล้ว"""
NpcComOnDestroyMachineHalf#0,"""การสแกนพื้นที่เสร็จสิ้น<br>กำลังส่งพิกัดของ Dazzle Pod ทั้งหมด"""
NpcComOnDestroyMachineAll#0,"""Dazzle Pod ถูกทำลายแล้ว<br>โล่ป้องกันของ Sonner ถูกปิดการใช้งานแล้ว"""
NpcComOnNMinutesPassed#0,"""การสแกนพื้นที่เสร็จสิ้น<br>กำลังส่งพิกัดของ Dazzle Pod ทั้งหมด"""
NpcComOnDestroyMachineLeader#0,"""ทำลาย Control Pod แล้ว ตัวยับยั้งการรับรู้ของ Dazzle Pod ถูกปิดการใช้งานแล้ว"""
