TrialName_1Enemy#0,"""กำจัด $(0)"""
TrialBeginMsg_1Enemy#0,"""จัดการ $(0) ซะ!"""
TrialAbstract_1Enemy#0,"""จัดการ $(0)"""
TrialAbstract_1Enemy_SM_PSE#0,"""จัดการ $(0)<br><yellow>※หากทำสำเร็จ PSE Burst<br>ครั้งถัดไปจะเปลี่ยนเป็น Burst Change<c>"""
TrialName_Multi#0,"""กำจัดศัตรู"""
TrialBeginMsg_Multi#0,"""จัดการศัตรูซะ!"""
TrialAbstract_Multi#0,"""จัดการศัตรู"""
TrialAbstract_Multi_SM_PSE#0,"""จัดการศัตรู<br><yellow>※หากทำสำเร็จ PSE Burst<br>ครั้งถัดไปจะเปลี่ยนเป็น Burst Change<c>"""
NpcComOnBegin#0,"""ตรวจพบสัญญาณศัตรูที่แข็งแกร่ง! โปรดจัดการมันทันที!"""
NpcComOnSuccess#0,"""ยืนยันการกำจัดศัตรูแล้ว! ขอบคุณที่ตอบสนองอย่างรวดเร็ว"""
NpcComOnFailure#0,"""ศัตรูหนีออกจากพื้นที่ไปแล้ว ภัยคุกคามบรรเทาลงแล้ว... สำหรับตอนนี้ล่ะนะ"""
NpcComOnBegin#1,"""ยืนยันการปรากฏตัวของ Ruino Anga!<br>โปรดระมัดระวังในการเข้าปะทะด้วย"""
NpcComOnSuccess#1,"""ยืนยันการกำจัด Ruino Anga!<br>โปรดทำการสำรวจต่อไป"""
NpcComOnFailure#1,"""ยืนยันการล่าถอยของ Ruino Anga!<br>โปรดทำการสำรวจต่อไป"""
