Ship01#0,"""Корабль 01: Феу"""
Ship02#0,"""Корабль 02: Ур"""
Ship03#0,"""Корабль 03: Торн"""
Ship04#0,"""Корабль 04: Ансур"""
Ship05#0,"""Корабль 05: Лагуз"""
Ship06#0,"""Корабль 06: Кен"""
Ship07#0,"""Корабль 07: Геофу"""
Ship08#0,"""Корабль 08: Винн"""
Ship09#0,"""Корабль 09: Хагаль"""
Ship10#0,"""Корабль 10: Наутиз"""
Self01_01#0,"""Персонаж01_01"""
Self01_02#0,"""Персонаж01_02"""
Self02_01#0,"""Персонаж02_01"""
Self02_02#0,"""Персонаж02_02"""
Ship01#1,"""Корабль01"""
Ship02#1,"""Корабль02"""
YesText#0,"""Да"""
NoText#0,"""Нет"""
CloseText#0,"""Закрыть"""
OpenText#0,"""Открыть"""
MaxText#0,"""Увеличить"""
MinText#0,"""Уменьшить"""
Sort#0,"""Сортировать"""
