Primm#0,"""Серия Prim"""
Tzvia#0,"""Серия Tsuvia"""
Silver Primm#0,"""Серия Silver Prim"""
Trois De#0,"""Серия Troward"""
Theseus#0,"""Серия Terseus"""
Gold Primm#0,"""Серия Gold Prim"""
Glissen#0,"""Серия Greisen"""
Frostel#0,"""Серия Frostel"""
Cattleya#0,"""Серия Catoria"""
Vialto#0,"""Серия Vialt"""
Foursis#0,"""Серия Forsis"""
Resurgir#0,"""Серия Resurge"""
Flamel#0,"""Серия Franmel"""
Evolcoat#0,"""Серия Evolcoat"""
Straga#0,"""Серия Stragga"""
Tempesta#0,"""Серия Tempestar"""
Quintel#0,"""Серия Quintel"""
Gothica#0,"""Серия Gorsica"""
Fivla#0,"""Серия Fibra"""
Greaga#0,"""Серия Gretigga"""
Relik#0,"""Серия Relic"""
Cinquem#0,"""Серия Cinquem"""
Lumiere#0,"""Серия Lumeira"""
Obscura#0,"""Серия Obscural"""
Kukuhroziat#0,"""Серия Koukloziat"""
Sechetyl#0,"""Серия Sechstyl"""
Rokz#0,"""Серия Rox"""
Sixiemes#0,"""-"""
Roughewn#0,"""-"""
Evolorbit#0,"""Серия Evolover"""
Renaissa#0,"""Серия Renessa"""
Evoleclipse#0,"""Серия Evolclis"""
Vladstram#0,"""Серия ヴラドストラム"""
Rugged#0,"""Серия Rugged"""
Etincelle#0,"""Серия エティンセル"""
Kaizaar#0,"""Серия Kaiseram"""
Codeck#0,"""コルディークシリーズ"""
Crystia#0,"""クリスティアシリーズ"""
Obsidia#0,"""オブゾディアシリーズ"""
Effulgent#0,"""セイガヨウシリーズ"""
Tenebrous#0,"""セイガインシリーズ"""
Primm Libra#0,"""プリム・リブラシリーズ"""
Kouklophis#0,"""ククロフィスシリーズ"""
Gunblaze#0,"""ガンブレイズシリーズ"""
Neos Astraean#0,"""ネオス・アストリオンシリーズ"""
Neos Justitean#0,"""ネオス・ユースティロンシリーズ"""
Trunkul#0,"""トランクールシリーズ"""
Tisah#0,"""テスアシリーズ"""
Revita#0,"""リヴィーターシリーズ"""
Hextra#0,"""エクステルシリーズ"""
Revolcoat#0,"""レヴォルコートシリーズ"""
Monarkais#0,"""モノレクスシリーズ"""
Qual De#0,"""Серия Quarde"""
Geant#0,"""Серия Zeont"""
Greas#0,"""Серия Greias"""
Vijf#0,"""Серия Viphs"""
Vida#0,"""Серия Vidael"""
Vio#0,"""Серия Viose"""
Schwar#0,"""Серия Schwarzeste"""
1064_test#0,"""セスタトシリーズ"""
Sestato#0,"""セスタトシリーズ"""
1065_test#0,"""ディフローシリーズ"""
Defro#0,"""ディフローシリーズ"""
1066_test#0,"""ベルグリンシリーズ"""
Behlgren#0,"""ベルグリンシリーズ"""
1067_test#0,"""エルヴィオースシリーズ"""
El Vios#0,"""エルヴィオースシリーズ"""
1068_test#0,"""アンシェンシリーズ"""
Ancien#0,"""アンシェンシリーズ"""
Provo#0,"""プロヴォシリーズ"""
Sest#0,"""セスティシリーズ"""
Efitus#0,"""エフィタスシリーズ"""
Gun Blade#0,"""￥ガンスラッシュシリーズ"""
