TitleLogo_Enter#0,"""Нажмите ENTER"""
TitleLogo_Start#0,"""Нажмите START"""
TitleLogo_PS4#0,"""Нажмите любую клавишу"""
TitleLogo_CopyRight#0,"""(C)SEGA"""
Title_IdSelect#0,"""Выберите Login ID"""
Title_IdSelect_v#0,"""Выберите Login ID"""
Title_Login#0,"""Выбор корабля"""
Title_StartMenuSelect#0,"""Стартовое меню (Текущий корабль: $(0))"""
Title_StartMenuSelect_Vita#0,"""Стартовое меню"""
Title_CharacterSelect#0,"""Выбор персонажа (Текущий корабль: $(0))"""
Title_CharacterSelect_Vita#0,"""Выбор персонажа"""
Title_CharacterMake#0,"""Создание персонажа"""
Title_BenchmarkMenu#0,"""Пробная игра"""
Title_ShipList#0,"""Корабли"""
Title_CharacterList#0,"""Персонажи"""
Title_StartMenu#0,"""Стартовое меню"""
Title_FirstPlay#0,"""Для новых игроков"""
Title_RecommandShip#0,"""Начать игру в первый раз"""
Title_IdSelect#1,"""<c f0df60>Введите SEGA ID и начните игру. Адрес e-mail и другие данные можно изменить через \""Изменить информацию пользователя\"".<c>"""
Title_IdSelect_v#1,"""<c f0df60>ゲームの開始には[オンラインログイン]から“PlayStation Network”にサインインする必要があります。<c>"""
Title_Login#1,"""<c f0df60>Выберите корабль. Ваш SEGA ID действителен в версиях игры на ПК, PlayStation®Vita и PlayStation®4.<c>"""
Title_Login_Hangame#0,"""<c f0df60>Выберите название корабля.<c>"""
Title_ID#0,"""<c f0df60>PC版、PlayStation®Vita版、PlayStation®4版で同じSEGA IDを使用できます。<c>"""
Title_StartMenuSelect#1,"""<c f0df60>Выберите опцию<c>"""
Title_CharacterSelect#1,"""<c f0df60>Выберите персонаж<c>"""
Title_CharacterMake#1,"""<c f0df60>Выберите опцию<c>"""
Title_BenchmarkMenu#1,"""<c f0df60>Выберите опцию<c>"""
Connecting#0,"""<c f0df60>Загрузка<c>"""
IpEdit#0,"""接続先のIPアドレスを入力してください"""
Disconnect#0,"""Потеряна связь с сервером."""
PSN_Connect_Error#0,"""“PlayStation Network”に接続することが<br>できませんでした。<br>時間をおいて、再度お試しください。<br>状況が改善されない場合は、<br>ファンタシースターオンライン2プレイヤーズサイト、<br>または、プレイステーション® オフィシャルサイトの<br>障害・メンテナンス情報をご確認ください。"""
UseAgreement_Title#0,"""Условия использования Phantasy Star Online 2"""
