CampshipEnter#0,"""Перейти на челнок"""
NotAccessQuest#0,"""Нельзя предварительно принять квест."""
WarehouseTitle#0,"""Терминал хранилища"""
PartnerObject_ErrorTitle#0,"""Партнёр-терминал"""
PartnerObject_Error1#0,"""В настоящее время не возможно<br>использовать партнер-терминал."""
PartnerObject_Error2#0,"""Такими темпами, вы не сможете вызвать партёра."""
PartnerObject_Error3#0,"""Из-за соответствующих настроек,<br>вы не можете пригласить партёра."""
GuildWarehouseTitle#0,"""Командный терминал хранилища"""
TerminalTitle#0,"""Инфотерминал"""
ShopTitle#0,"""Терминал магазина"""
MedicalTitle#0,"""Медтерминал"""
QuestTitle#0,"""Координатор"""
ApcTitle#0,"""APC терминал"""
AccessFaild#0,"""Единожды сделав выбор,<br>не может быть доступен."""
NonReader#0,"""Этот терминал,<br>на данный момент, доступен<br>только лидеру группы."""
NotClear#0,"""Нельза воспользоваться<br>терминалом, если квест<br>пройден или же провален."""
NotClearTelepipe#0,"""Нельза воспользоваться<br>терминалом, если квест<br>пройден или же провален."""
TerminalDisable#0,"""На данный момент нельзя воспользоваться."""
TerminalDisableAPC#0,"""На данный момент нельзя воспользоваться."""
TerminalDisableGuildRoom#0,"""Командное хранилище станет доступным<br>после приобретения его командными очками.<br><br>※Вы должны иметь активированный премиум<br>чтобы пользоваться командным хранилищем."""
TerminalDisableGuildMember#0,"""Командное хранилище доступно<br>только рядовым членам или выше. <br><br>※Вы должны иметь активированный премиум<br>чтобы пользоваться командным хранилищем."""
TerminalDisableGuildMember2#0,"""<pict Arcscash><c ff4f3f>AC Контент<c><br>Вы не имеете доступа к данной функции<br>т.к. период действия истёк.<br><br>Приобретённый<yellow>Премиум Сет<c><br>может быть активировн сразу.<br>Перейте к экрану подтверждения покупки сейчас?<br><br> <red>※Если вы хотите преобрести билет<br>чтобы разблокировать только определённую функцию,<br>пожалуйста, посетите \""АС магазин\"" в главном меню.<c>"""
TerminalDisableCancelTower#0,"""Невозможно использовать, пока все члены группы не вернутся на челнок."""
RetryFaild#0,"""Период доступности квеста истёк.<br>Не возможно возобновить."""
ClearLimit#0,"""Не возможно пройти квест снова, потому<br>что вы превысили ограничения квеста."""
QuestDropPenalty#0,"""クエストの受注を制限されているため<br>このクエストは受注できません。"""
QuestInExtra#0,"""このクエストは、<br>キャンペーン対象期間となったため<br>もう一度挑戦することができませんでした。<br>クエストを再度、受注しなおしてください。"""
QuestOutExtra#0,"""このクエストは、<br>キャンペーン対象期間が終了したため<br>もう一度挑戦することができませんでした。<br>クエストを再度、受注しなおしてください。"""
CantStartProhibitQuestDropTitleCnt#0,"""クエストカウンター端末"""
CantStartProhibitQuestDropTitleTlp#0,"""テレポーター"""
CantStartProhibitQuestDropForStart#0,"""現在使用することができません。"""
