ErrorTitle#0,"""Ошибка каталога стилей"""
ErrorDBAccess#0,"""Не удалось получить доступ к базе данных.<br><br>Пожалуйста, попробуйте позже."""
ErrorUnknown#0,"""Произошла непредвиденная ошибка.<br><br>Пожалуйста, немного подождите и попробуйте снова."""
ErrorInfoNotFound#0,"""Не зарегестрировано в каталоге стилей."""
ErrorEtc#0,"""Произошла непредвиденная ошибка. <br><br>Неклассифицированная ошибка ($(0))"""
Error_DataNone#0,"""Совпадений не найдено."""
Nice#0,"""<pict like_icon>Нравится!"""
Cute#0,"""<pict cute_icon>Мило!"""
Cool#0,"""<pict cool_icon>Круто!"""
Interesting#0,"""<pict funny_icon>Интересно!"""
FashioncatSearchTitle#0,"""Искать по всеобщему стилю"""
FashioncatListTitle#0,"""Просмотреть всеобщий стиль"""
CharacterListTitle#0,"""Список персонажей"""
TitleProfile#0,"""Информация о стиле"""
TitleRegist#0,"""Зарегестрировать стиль"""
TitleSearchWord#0,"""Теги"""
TitleComment#0,"""Комментировать"""
TitleLike#0,"""Нравится!"""
TitleLikeClose#0,"""Нравится!"""
TitlePose#0,"""Использовать лоби-экшен"""
TitleExpression#0,"""Лицевые выражения"""
LabelViewNum#0,"""Просмотры"""
LabelLike#0,"""Нравится!"""
Message#0,"""<pict like_icon> Нравится!<br><pict cute_icon> Мило!<br><pict cool_icon> Круто!<br><pict funny_icon> Интересно!<br><br>Выберите одно из 4-х сообщений и добавьте к нему комментарий, чтобы отправить другому человеку.<br>※You can earn up to 10 people per day.<br>(Same person only once per day)<br>(These are untranslated on purpose, otherwise other players will see them in English without the patch)"""
ReceiveMessage#0,"""Отправить комментарий (Нравится!)"""
Point#0,"""Стандартные очки"""
FrendPoint#0,"""Очки друзей"""
PremiumPoint#0,"""Премиум очки"""
Sum#0,"""Всего"""
Plus#0,"""＋"""
LabelColon#0,""":"""
LabelName#0,"""Имя персонажа"""
LabelCategory#0,"""Категория"""
LabelTribal#0,"""Раса"""
LabelGender#0,"""Пол"""
LabelTribalGender#0,"""Раса (пол)"""
LabelSort#0,"""Упорядочить"""
LabelMonthly#0,"""Мес."""
LabelTotal#0,"""Всего"""
SearchButton#0,"""Поиск"""
LikeButton#0,"""Нравится!"""
SendButton#0,"""Отправить"""
CloseButton#0,"""Закрыть"""
CancelButton#0,"""Отменить"""
BackButton#0,"""Назад"""
DecideButton#0,"""Выбрать"""
RegistButton#0,"""В закладки"""
ButtonPose#0,"""Лобби-экшен"""
ButtonExpression#0,"""Выражение лица"""
SearchInfo#0,"""<c 808080>Введите тег<c>"""
Item_View#0,"""Упорядочить по просмотрам"""
Item_Nice#0,"""Упорядочить по Нравится!"""
Item_New#0,"""Упорядочить по дате и времени"""
Item_Back#0,"""Назад"""
Item_Default#0,"""Все категории"""
Item_Cute#0,"""Милый"""
Item_Cool#0,"""Крутой"""
Item_Beauty#0,"""Красивый"""
Item_Elegant#0,"""Изящный"""
Item_Wild#0,"""Неистовый"""
Item_Intellectual#0,"""Интеллектуальный"""
Item_Dark#0,"""Тёмный"""
Item_Sexy#0,"""Сексуальный"""
Item_Indoor#0,"""Для дома"""
Item_Interesting#0,"""Интересный"""
Item_Default#1,"""Для всех рас"""
Item_Human#0,"""Для Хьюманов"""
Item_Newman#0,"""Для Ньюманов"""
Item_Cast#0,"""Для Cast"""
Item_Dewman#0,"""Для Дьюманов"""
ItemBase_Men#0,"""$(0) (муж.)"""
ItemBase_Female#0,"""$(0) (жен.)"""
Item_Default#2,"""Для всех полов"""
Item_Male#0,"""Для мужчин"""
Item_Female#0,"""Для женщин"""
Item_Default#3,"""Случайно"""
Item_View#1,"""Упорядочить по просмотрам"""
Item_Nice#1,"""Упорядочить по Нравится!"""
Item_New#1,"""Упорядочить по новизне"""
CatReleaseConfirm_Title#0,"""Аннулировать регистрацию"""
CatReleaseConfirm_Message#0,"""Это аннулирует зарегистрированный вами<br>каталог стиля и перестанет отображаться.<br><br>※Вы можете обновить ваш каталог стиля<br>выбрав \""Зарегистрировать каталог стиля\"".<br><br>Вы уверены?"""
CatReleaseResult_Success#0,"""Каталог аннулирован"""
CatReleaseResult_NotRegister#0,"""Не зарегистрировано в каталоге стиля."""
CatReleaseResult_Error#0,"""Не удалось аннулировать."""
Item_Default#4,"""Выбрать категорию (Требуется)"""
TitleSearchWord1#0,"""Тег 1"""
TitleSearchWord2#0,"""Тег 2"""
TitleSearchWord3#0,"""Тег 3"""
EditDefaultSearchWord1#0,"""<c 808080>Введите текст<c>"""
EditDefaultSearchWord2#0,"""<c 808080>Введите текст<c>"""
EditDefaultSearchWord3#0,"""<c 808080>Введите текст<c>"""
TitleComment#1,"""Комментировать"""
EditDefaultComment#0,"""<c 808080>Комментарий по умолчанию<c>"""
ReceiveMessage#1,"""Каталог стиля зарегистрирован."""
WarningClosableCategoryDefault#0,"""Пожалуйста, выберите категорию предметов."""
WarningClosableSmutFilter#0,"""Невозможно использовать слово $(0)."""
WarningYesNoResist#0,"""При регистрации нового профиля<br>месячные обзоры сбрасываются.<br><br>Вы уверены, что хотите зарегистрироваться?"""
WarningClosableDupeTag#0,"""Вы выбрали одинаковые теги для поиска.<br>Пожалуйста, используйте другое слово<br>или оставьте это место пустым."""
ErrorClosableErrorDB#0,"""Не удалось получить доступ к базе данных.<br><br>Пожалуйста, подождите немного и попробуйте снова."""
ErrorClosableErrorBAN#0,"""Не удалось зарегистрировать каталог стилей."""
ErrorClosableErrorUnknown#0,"""Произошла непредвиденная ошибка.<br><br>Пожалуйста, подождите немного и попробуйте снова."""
