01_MainLobby_001#0,"""Пока премиум активен, вы можете хранить до 40 клиентских заказов."""
01_MainLobby_002#0,"""Самый лёгкий способ успешно добавить<br>спососбность - использовать одинаковые способности."""
01_MainLobby_003#0,"""В окне [Инфо квеста], вы можете посмотреть что происходит<br>в текущем квесте, вместе с врагами, появляющимися в квесте."""
01_MainLobby_004#0,"""При использовании мага, характеристики мага будут добавлены к вашим."""
01_MainLobby_005#0,"""Когда вы даёте предмет совему магу, он повышает уровень."""
01_MainLobby_006#0,"""Покормите мага чтобы восполнить энергию."""
01_MainLobby_007#0,"""Когда ваш маг достигнет необходимого уровня,<br>он превратится в более мощного мага."""
01_MainLobby_008#0,"""Когда вы получите титул у [Координатора титулов],<br>вам могут подарить предметы."""
01_MainLobby_009#0,"""У координатора классов, вы можете менять классы и учиться умениям."""
01_MainLobby_010#0,"""Многие виды оружия связаны с навыками Gear.<br>У каждого есть разные положительные эффекты."""
01_MainLobby_011#0,"""Если вы попытаетесь присоедениться к группе, но обнаружите,<br>что она заполнена, проверьте, есть ли свободное место в этой местности.<br>Таким образом, вы всёранво сможете играть с ними."""
01_MainLobby_012#0,"""Когда вы выберете [Участвовать другой группой] у координатора,<br>обе группы смогут играть в местности для нескольких групп."""
01_MainLobby_013#0,"""Некоторые клиентские заказы повторяемые."""
01_MainLobby_014#0,"""Выполнение определённых заказов может дать вам доступ<br>к большему количеству местностей и/или возможностей."""
01_MainLobby_015#0,"""Вы можете отправить кому-нибудь Good Job<br>из [Близжайших персонажей] в быстром меню."""
01_MainLobby_016#0,"""Вы можете заработать FUN для FUN лотереи, получив Good Job."""
01_MainLobby_017#0,"""В [История сообщений], вы можете увидеть<br>последние Good Job и комментарии."""
01_MainLobby_018#0,"""в [История сообщений] вы можете увидеть<br>игроков, с которыми недавно играли."""
01_MainLobby_019#0,"""В [Инфо персонажа] вы можете увидеть<br>текущий статус и эффекты с их продолжительностью."""
01_MainLobby_020#0,"""При ежедневном заходе в игру вы получаете больше FUN очков."""
01_MainLobby_021#0,"""Используя [Ближайшие персонажи], вы сможете приглашать<br>людей в группу или даже подружиться."""
01_MainLobby_022#0,"""Выбрав [Мои данные] и следом [Сменить титул / карточку ARKS],<br>вы сможете отредактировать информацию о себе."""
01_MainLobby_023#0,"""Выбрав [Имитация], вы можете скопировать лобби-экшн, к которому находитесь ближе всего."""
01_MainLobby_024#0,"""Чем выше редкость предмета, тем ниже шансы на удачную заточку."""
01_MainLobby_025#0,"""Вы можете использовать NetCafe премиум, зайдя в игру из сертифицированного интернет кафе."""
01_MainLobby_026#0,"""Вы можете зарабатывать очки NetCafe, играя в авторизованном интернет-кафе,<br>в зависимости от времени, потраченного на игру."""
01_MainLobby_027#0,"""Пока премиум активен, вы можете продавать предметы в своём магазине."""
01_MainLobby_028#0,"""Пока премиум активен, вы можете торговать с другими игроками, имеющими премиум."""
01_MainLobby_029#0,"""Пока премиум активен, вы будете получать больше FUN очков."""
01_MainLobby_030#0,"""Пока премиум активен, вы получите дополнительно<br>400 слотов в хранилище на вашем складе."""
01_MainLobby_031#0,"""В списке предметов и различных магазинах, вы можете<br>выбрать несколько предметов с помощью <%MultiSelect>."""
01_MainLobby_032#0,"""Используя клавиатуру, вы можете скопировать название предмета,<br>нажав [Ctrl] + [C] пока тот подсвечен."""
01_MainLobby_033#0,"""Если вы случайно продали предмет по ошибке,<br>то можете сразу его вернуть, выбрав [Возврат средств]."""
01_MainLobby_034#0,"""В салоне преображения на втором этаже<br>вы можете изменить внешний вид вашего персонажа."""
01_MainLobby_035#0,"""На челноке вы можете позвать друзей-напарников<br>из терминала рядом с мед-терминалом."""
01_MainLobby_036#0,"""Если вы хотите пополнить свои AC, то это можно легко через PSO2es."""
01_MainLobby_037#0,"""В меню [Ближайшие персонажи] вы можете пригласить других персонажей<br>в свою группу или отправить приглашение в друзья."""
01_MainLobby_038#0,"""У координатора титулов вы можете получить награды за различные достижения."""
01_MainLobby_039#0,"""Все предметы идивидуальны для каждого игрока, поэтому<br>вы можете подбирать предметы не беспокоясь о других."""
01_MainLobby_040#0,"""С помощью клавиатуры вы можете включать и выключать привязку к чату<br>с помощью клавиши колёсика."""
01_MainLobby_041#0,"""Обязательно проверьте клиентские заказы перед отправкой на квесты,<br>они могут дать вам дополнительный опыт."""
01_MainLobby_042#0,"""Даже во время квестов вы можете отправлять предметы в хранилище через меню предметов."""
01_MainLobby_043#0,"""Нажимая [Alt]+[←]/[→], вы можете быстро сменить желаемый канал чата."""
01_MainLobby_044#0,"""Нажимая [Ctrl]+[←]/[→], вы сможете сменить каналы в окне."""
01_MainLobby_045#0,"""Вы можете вернуть отправленные сообщения<br>при нажатии на клавиши [Ctrl]+[↑]/[↓] в окне чата."""
01_MainLobby_046#0,"""Вы можете отправить своё сообщение с помощью<br>вырезки при нажатии на клавиши [Shift] + [Enter]."""
01_MainLobby_047#0,"""Вы можете отправить сообщение с манга-пиктограммой/баллоном,<br>используя клавиши [Ctrl] + [Enter]."""
01_MainLobby_048#0,"""Краличные лобби-экшены могут быть активированны<br>с помощью комбинаций [Alt]+[A]～[Z]."""
01_MainLobby_049#0,"""Если вы заточите своё оружие в лаборатории предметов,<br>то вы сможете увеличить свою атаку."""
01_MainLobby_050#0,"""Если вы заточите свои юниты в лаборатории предметов,<br>то сможете уменьшить получаемый урон."""
01_MainLobby_051#0,"""Используя в визифоне функцию [Мой магазин], вы можете<br>приобретать товары из магазинов других игроков."""
01_MainLobby_052#0,"""В магазине АС вы можете покупать предметы,<br>чтобы увеличить сумму и колличество предметов,<br>хранимых в инвентаре."""
01_MainLobby_053#0,"""В магазине переработки вы можете обменять<br>нежелательные предметы на более важные."""
01_MainLobby_054#0,"""Процент статистики вашего подкласса будет перенесён на ваш основной класс."""
01_MainLobby_055#0,"""Завершив карту событий, вы сможете продвинуться дальше по сюжету."""
01_MainLobby_056#0,"""В карте событий, за прохождение, вы получите предметы с различными способностями."""
01_MainLobby_057#0,"""Пройдя все жёлтые фрагменты в карте событий,<br>вы откроете новые сюжетные квесты."""
01_MainLobby_058#0,"""В меню опций вы можете изменить настройки отображения, а так же многое другое."""
01_MainLobby_059#0,"""Просмотрите ггрупповую историю в меню [История сообщений]."""
01_MainLobby_060#0,"""Вы можете изменить иформацию, отображемую над головами персонажей в быстром меню."""
01_MainLobby_061#0,"""В быстром меню вы можете использовать [Стратегия поведения напарников],<br>чтобы контролировать фотон бласты для создания цепочки."""
01_MainLobby_062#0,"""Чем выше уровень врагов, тем больше месеты будет падать с ящиков."""
01_MainLobby_063#0,"""Предметы, выпадаемы с ящиков, различны для каждой местности."""
01_MainLobby_064#0,"""Когда в области образуется особая погода, вероятность появления PSE повысится."""
01_MainLobby_065#0,"""Когда вы набираете <lt>pos<gt>, вы укажете свои текущие координаты на карте."""
01_MainLobby_066#0,"""Когда вы наберёте <lt>target<gt> или <lt>t<gt>, вы сообщите<br>о последнем предмете/враге, на который(ого) наводились."""
01_MainLobby_067#0,"""Вы можете сообщить о срочном испытании введя в чате <lt>et1<gt>"""
01_MainLobby_068#0,"""В режиме контроллера, текущую зафиксированную цель можно сменить,<br>перемещая джойстик отвечающий за камеру."""
01_MainLobby_069#0,"""При использовании премиума вы можете хранить 40 символ артов."""
01_MainLobby_070#0,"""При использовании премиума, если на премиум блоке есть<br>свободное место, то вы можете перейти туда."""
01_MainLobby_071#0,"""При использовании премиума, как только вы используете makeover ticket,<br>вы сможете бесплатно воспользоваться возможностями<br>салона преображения в течение 60 минут."""
01_MainLobby_072#0,"""При использовании премиума, особый доп. эффект<br>будет применяться ко всем напиткам медтерминала."""
01_MainLobby_073#0,"""Используя различные предметы при заточке, вы можете<br>повысить шанс успеха и снизить риск неудачи."""
01_MainLobby_074#0,"""Вы можете указать канал, в который можете написать с помощью текста,<br>например: \""/t\"" для команды, \""/p\"" для группы, \""/a\"" для ближайших."""
01_MainLobby_075#0,"""Эффекты повышения уровня PSE зависят от местности, в которой они происходят."""
01_MainLobby_076#0,"""Cross Burst - когда происходит несколько burst сразу."""
01_MainLobby_077#0,"""Во время определённых погодных условий (включая грозы в лесу или северное сияние в небе тундры),<br>поднять уровень PSE становится проще."""
01_MainLobby_078#0,"""Вы можете проверить ваши последние входы в игру в разделе [История входов] в [Начальное меню]."""
01_MainLobby_079#0,"""В разделе визифона [Получить награду за участие в компании],<br>вы можете получить вознаграждение по завершению компании."""
01_MainLobby_080#0,"""Если хотите улучшить безопасность своего аккаунта, вы можете установить OTP."""
01_MainLobby_081#0,"""Сотрудники лаборатории предметов различен, в зависимости от блока."""
01_MainLobby_082#0,"""Во время пути ARKS, на вашем экране отображается символ навигации.<br>Вы можете продвинуться, следуя в этом направлении."""
01_MainLobby_083#0,"""По мере увеличения количества игроков в группе,<br>увеличивается и усиление опыта, который<br>вы получаете по мере уничтожения врагов."""
01_MainLobby_084#0,"""При использовании премиума вы сможете получать больше штампов входа."""
01_MainLobby_085#0,"""Вы можете позвать людей в группу, которых у вас<br>нет в друзьях, выбрав [Свободный напарник] из<br>терминала партнёров в челноке."""
01_MainLobby_086#0,"""Выбрав [Разрешить использовать не друзьям] в визифоне во время<br>[Регистрация друга-напарника], можно легко получить FUN очки."""
01_MainLobby_087#0,"""По мере того, как вы прокачиваете свой класс,<br>ваш подкласс тоже будет качаться (до определённого момента)."""
01_MainLobby_088#0,"""В разделе [Команды, ищущие участников] в визифоне<br>вы сможете найти команду, набирающую участников."""
01_MainLobby_089#0,"""ФА и умения, которые ваш партнёр поддержки будет использовать,<br>основаны на их личности."""
01_MainLobby_090#0,"""Характеристики вашего партнёра поддержки увеличиваются<br>в зависимости от редкости экипировки."""
01_MainLobby_091#0,"""Эффективность вашего партнёра поддержки не зависит от характеристик<br>юнитов. Однако их НР и сила атаки несколько увеличивается."""
01_MainLobby_092#0,"""По мере улучшения отношений с вашими партнёрами поддержки, количество<br>заказов, которые они могут принять, увеличивается."""
01_MainLobby_093#0,"""Ваш партнёр поддержки может помочь с заказами,<br>которые частично завершены или вообще не готовы."""
01_MainLobby_094#0,"""В разделе [Крафт] в визифоне, вы можете крафтить,<br>найти крафтера, и изучить рецепты для крафта."""
01_MainLobby_095#0,"""В разделе [Крафт] в визифоне, вы можете отправить<br>заказ на крафт или отменить его."""
01_MainLobby_096#0,"""Вы можете увеличить уровень крафта, выполняя различные крафты."""
01_MainLobby_097#0,"""В меню опций, вы можете изменить цвет информации над<br>игроками, чтобы знать, находятся ли они в группе."""
01_MainLobby_098#0,"""В меню опций, вы можете выбрать, хотите ли вы видеть Символ Арты."""
01_MainLobby_099#0,"""В меню опций, вы можете выбрать видимость имени игрока<br>или индетификатор игрока в командном или чате шепота."""
01_MainLobby_100#0,"""Вы можете установить другой угол камеры в меню [Выбрать камеру]."""
01_MainLobby_101#0,"""Вы можете установить статус (например "AFK"),<br>выбрав [Онлайн статус] в быстром меню."""
01_MainLobby_102#0,"""Вы можете переименовать своё древо умений у координатора классов."""
01_MainLobby_103#0,"""Вы можете установить своё выражение и позу при победе в [Настройки чата]."""
01_MainLobby_104#0,"""Вы можете сменить внешний вид мага с помощью Evolution Devices. Вы можете<br>переключаться между предыдущими видами магов с помощью Mag Change Pass."""
01_MainLobby_105#0,"""Вы можете изменить количество уведомлений за один раз в меню [Настройки уведомлений]. """
01_MainLobby_106#0,"""Если вы воспользуетесь функцией одноразового пароля (OTP),<br>вы сможете хранить дополнительные 200 предметов на складе OTP."""
01_MainLobby_107#0,"""Вы можете подтвердить требуемые предметы и другую различную<br>информацию в меню [Клиентские заказы]."""
01_MainLobby_108#0,"""Используя триггер редкого врага, вы можете<br>заставить редкого врага появиться."""
01_MainLobby_109#0,"""После выбора квеста, вы можете выбрать заказы<br>из появляющегося окна [Клиентские заказы]."""
01_MainLobby_110#0,"""Используя [Мой набор] у координатора классов, вы можете<br>сохранить свою экипировку и загрузить её позже."""
01_MainLobby_111#0,"""Используя [Показать карту] из быстрого меню, вы можете<br>проверить ближайших NPC и магазины."""
01_MainLobby_112#0,"""Вы можете установить напоминание, чтобы получить уведомление,<br>когда премиум будет истекать через 7 дней."""
01_MainLobby_113#0,"""Вы можете выбрать имея квеста, которое будет выбираться автоматически,<br>когда вы начнёте миссию вместо имени персонажа."""
01_MainLobby_114#0,"""Вы можете установить опцию, чтобы изменить фон окна чата<br>на тот же цвет, что и речевой канал."""
01_MainLobby_115#0,"""Если вы освоите [High Time] и не получите удар, пока он активен, активируется [One More Time]<br>что предотвратит сброс урона пока тот не закончится."""
01_MainLobby_116#0,"""Текущая подпалитра может отображаться тремя способами: никогда не отображаться,<br>отображаться на некоторое время и всегда отображаться."""
01_MainLobby_117#0,"""Если вы установите флажок \""Открыть\"" в настройках группы, ваша группа получит<br>перечень привилегий в групповых списках для других игроков."""
01_MainLobby_118#0,"""Если вы установите флажок \""Открыть\"" в настройках группы, вы можете наполнить<br>свою группу NPC, и когда реальный игрок присоеденится, он будет<br>отзывать их каждый раз, чтобы освободить место."""
01_MainLobby_119#0,"""Вы можете просмотреть список экипировки и их эффекты,<br>выбрав [Проверить эффект набора] в предметном меню."""
01_MainLobby_120#0,"""Вы можете сохранить обновляемые настройки временных<br>способностей использовав [Сохранить резервные настройки]."""
01_MainLobby_121#0,"""Вы можете увидеть недельный рейтинг квестов на время<br>PlayStation®Vita игроков, проверив визифоны в общих блоках."""
