Title#0,"""Информация"""
Menu_Notify#0,"""Объявление"""
Menu_LoginStamp#0,"""ログインスタンプ"""
Menu_Tutorial#0,"""チュートリアル確認"""
Menu_Help#0,"""メニューヘルプ"""
Menu_Tips#0,"""役立つ情報"""
Menu_Element#0,"""特殊能力辞典"""
Title#1,"""チュートリアル確認"""
Search#0,"""Поиск"""
EditBoxText#0,"""<c a0a0a0>検索するキーワードを入力<c>"""
NotFound#0,"""検索結果がありません"""
Title#2,"""役立つ情報"""
Title#3,"""特殊能力辞典"""
Name#0,"""Способность"""
Info#0,"""詳細"""
ParameterTltle#0,"""パラメーター補正"""
HP#0,"""НР"""
PP#0,"""РР"""
Strike#0,"""打撃力"""
Firearm#0,"""射撃力"""
Technic#0,"""法撃力"""
Dex#0,"""技量"""
DfpStrike#0,"""打撃防御"""
DfpFirearm#0,"""射撃防御"""
DfpTechnic#0,"""法撃防御"""
AttributeResistFire#0,"""Сопр. огню"""
AttributeResistIce#0,"""Сопр. льду"""
AttributeResistThunder#0,"""Сопр. молнии"""
AttributeResistWind#0,"""Сопр. ветру"""
AttributeResistLight#0,"""Сопр. свету"""
AttributeResistDark#0,"""Сопр. тьме"""
