RenameTitle#0,"""Изменить имя питомца"""
Rename#0,"""$(2)'s<br>имя будет изменено.<br>Пожалуйста, введите новое имя.<br><br><yellow>Требуется месета: $(0) {Имеется: $(1))<c>"""
RenameConfirm#0,"""Имя вашего питомца будет изменено.<br>Продолжить?<br><br>\u3000До изменения: $(1)<br>\u3000<yellow>После изменения: $(0)<c>"""
RenameSuccess#0,"""Имя питомца изменено."""
NamingTitle#0,"""Введите имя питомца"""
Naming#0,"""Вы можете дать питомцу любое имя.<br>Пожалуйста, введите имя вашего питомца.<br><br><yellow>※Вы сможете сменить его в лаборатории питомцев.<c>"""
NamingConfirm#0,"""Зарегистрировать как \""$(0)\""?<br><br>※Если яйцо того же типа, что и зарегестрированный<br>питомец, но более редкое, то рекомендуется <yellow>Повышение редкости<c> в<br>лаборатории питомцев."""
NamingSuccess#0,"""Питомец зарегистрирован. Вы можете назначить его на любой такт."""
HatchedTitle#0,"""Питомец"""
POTENTIAL_000000#0,"""Информация о Потенциале 0"""
POTENTIAL_000001#0,"""Информация о Потенциале 1"""
POTENTIAL_000002#0,"""Информация о Потенциале 2"""
POTENTIAL_000003#0,"""Информация о Потенциале 3"""
POTENTIAL_000000#1,"""Потенциал 0"""
POTENTIAL_000001#1,"""Потенциал 1"""
POTENTIAL_000002#1,"""Потенциал 2"""
POTENTIAL_000003#1,"""Потенциал 3"""
Title#0,"""Питомцы"""
Command1#0,"""Синт. яйца"""
Command2#0,"""Коробка сладостей"""
Command3#0,"""Отпустить питомца"""
Empty#0,"""Питомцы отсутствуют"""
Title#1,"""Подробности о питомце"""
Empty#1,"""Не выбран питомец."""
Tab1#0,"""1"""
Tab2#0,"""2"""
Tab3#0,"""3"""
Tab4#0,"""4"""
Ability#0,"""Личные свойства"""
Title#2,"""Коробка сладостей"""
candyadd#0,"""Добавить сладость"""
candyremove#0,"""Изменить сладость"""
Edit#0,"""Изменить коробку сладостей"""
AllErase#0,"""Уничтожить все сладости"""
Remover#0,"""Убрать сладость"""
AllRemover#0,"""Убрать все сладости"""
IceCrush#0,"""Уничтожить карамельный кубик"""
RemoverMessage#0,"""Это вернёт сладость<br>в ваш инвентарь. Вы согласны?<br><br><yellow>Требуется Candy Remover(s): 1<br>(Имеется: $(0))<c>"""
AllEraserMessage#0,"""Это <yellow>уничтожит все сладости<c><br>из вашей коробки сладостей. Вы согласны?<br><br><c ff4f3f>※Уничтоженные конфеты<br>не могут быть восстановлены.<c><br><br><yellow>Требуется All Candy Eraser: 1<br>(Current: $(0))<c>"""
RemoverResultMessage#0,"""Сладость была возвращена<br>в ваш инвентарь."""
AllEraserResultMessage#0,"""Все сладости в вашей коробке сладостей<br>были уничтожены."""
IceCrushMessage#0,"""Убираем выбранный карамельный кубик.<br>Вы уверены?<br><br><yellow>Требуется Caramel Crushers: 1<br>(Имеется: $(0))<c>"""
IceCrushResultMessage#0,"""Карамельный кубик убран."""
