OrderList#0,"""Ежедневный крафт лист"""
TodaySuccess#0,"""Выполненные сегодня"""
NextReward#0,"""Награда при выполнении"""
AcceptList#0,"""Заказы"""
OrderReward#0,"""Награды"""
Recipe#0,"""Рецепт"""
SuccessNum#0,"""# Выполненные заказы"""
SuccessReward#0,"""Награды"""
FullSizeFormTitle#0,"""Ежедневный крафт"""
FullSizeFormHelp#0,"""<c f0df60>Вы ежедневно получаете заказ на различный крафт. Выберете заказ для выполнения крафта.<c>"""
OrderListEmptyMessage#0,"""Нет заказов"""
OrderSuccessNumMessage#0,"""$(0)/$(1)\u3000(Обновление ежедневного крафта в $(2):00) по японскому времени"""
RewardListItemName#0,"""$(0) Заказ"""
RewardNameNone#0,"""Отсутствуют"""
RewardListEmptyMessage#0,"""Нет информации о наградах"""
NoRecipeSelectErrorMessage#0,"""Вы не можете выбрать это потому что<br>вы не выучили нужный рецепт."""
ItemFullSelectErrorMessage#0,"""Недостаточно места в инвентаре<br>или у вас превышено количество данного предмета<br>вы не сможете получить награду<br>поэтому вы не можете начать крафт"""
GetRewardMessage#0,"""Вы получили [$(1)] эту награду за выполнение $(0) заказа(ов)."""
OrderListReturn#0,"""Вернутся к ежедневным заказам"""
CraftOrder#0,"""Заказы для крафта"""
CraftTerminal#0,"""Информационный терминал для крафта"""
CraftOrderSelection#0,"""Ваши заказы"""
CraftOrderCheck#0,"""Подтвердить заказ"""
cancel#0,"""Подтвердите отмену заказа"""
CraftReturnedGoods#0,"""Подтверждение отмены"""
CraftOrderReceivedList#0,"""Лист заказов"""
CraftSignboardMenu#0,"""Настройки вывески и рекламы"""
CraftSignboardSetup#0,"""Настройки вывески и рекламы"""
CraftRecipeMenu#0,"""Меню подтверждения заказа крафта"""
CraftRecipeKindSelection#0,"""Категория рецепта на крафт"""
CraftAdvertisementSetup#0,"""Редактировать рекламное меню"""
CraftOrderCharacter#0,"""Заказы персонажа"""
OrderCheck#0,"""Выбор заказа"""
RequestOrderReceived#0,"""Получить заказ"""
RequestOrderRefuses#0,"""Отказаться от заказа"""
ArksCard#0,"""Показать ARKS карту"""
BlackList#0,"""В чёрный список"""
FriendRegistration#0,"""Отправить запрос в друзья"""
TeamCommand#0,"""Управление командой"""
RecipeSetup#0,"""Выбрать рецепты для заказов"""
AdvertisementSetup#0,"""Редактировать рекламное меню"""
Extend#0,"""Улучшить"""
TechnicCustomize#0,"""Кастомизация техник"""
OriginalEnchant#0,"""Установить временные способности"""
PACustomize#0,"""Кастомизация Фотон Артов"""
UnSetup#0,"""Рецепты не заданы"""
OrderClient#0,"""Заказчик"""
RequestArticle#0,"""Заказанный предмет"""
RequestDay#0,"""Дата заказа"""
OrderReceivedRecipe#0,"""Рецепты, которые можно заказать"""
Advertisement#0,"""Реклама"""
SearchSetup#0,"""Кто может меня найти"""
CommercialCopyEntry#0,"""Напишите вашу рекламу:"""
AdvertisementSymbolArt#0,"""Выберете Символ Арт"""
OrderRecipeA#0,"""Рецепт, который можно заказать 1"""
OrderRecipeB#0,"""Рецепт, который можно заказать 2"""
OrderRecipeC#0,"""Рецепт, который можно заказать 3"""
SearchAll#0,"""Все игроки"""
SearchFriend#0,"""Только друзья"""
SearchTeamMember#0,"""Только участники команды"""
SearchFriendTeam#0,"""Друзья и участники команды"""
Secret#0,"""Невидимый"""
CraftOrderConfirmTitle#0,"""Подтверждение"""
CraftOrderConfirmMessage#0,"""Выполнение заказа на крафт.<br>Ваше вознаграждение Месета: $(1) .<br>Время охлаждения машины.<yellow> $(0)<c>"""
CraftOrderConfirmSameLevelMessage#0,"""Выполнение заказа на низкоуровневый крафт.<br>Вероятность <c ff007f>большого успеха<c> увеличена.<br>Ваше вознаграждение Месета: $(1) .<br>Время охлаждения машины.<yellow> $(0)<c>"""
CraftNpcOrderConfirmMessage#0,"""Выполнение заказа на крафт.<br>Ваше вознаграждение Месета: $(1) .<br>Время охлаждения машины.<yellow> $(0)<c>"""
CraftNpcOrderConfirmSameLevelMessage#0,"""Выполнение заказа на низкоуровневый крафт.<br>Вероятность <c ff007f>большого успеха<c> увеличена.<br>Ваше вознаграждение Месета: $(1) .<br>Время охлаждения машины.<yellow> $(0)<c>"""
Order_Possible#0,"""Нет текущего заказа"""
OrderReceptionist#0,"""Нет заказов"""
OrderUnderOrder#0,"""Разместить"""
OrderCompletion#0,"""Крафт завершён"""
OrderReturn#0,"""Отменить"""
OrderCharacterName#0,"""Ник исполнителя"""
OrderItemName#0,"""Название предмета"""
OrderDay#0,"""Дата заказа"""
SettingReflection#0,"""Подтвердить"""
CraftOrderCharacterNone#0,"""Невозможно выбрать персонажа."""
CraftOrderReceivedListNone#0,"""Нет заказов"""
CraftRecipeNone#0,"""Нет доступных рецептов"""
CraftSignboardRecipeSet#0,"""Изменены рецепты крафта."""
CraftSignboardCmSet#0,"""Сет рекламных вывесок."""
CraftOrderPlaceTitle#0,"""Подтвердить заказ"""
CraftOrderPlaceAskExtend#0,"""Это разместит ваш запрос<br>продолжить?<br>※если владелец не зарегистрирован, <br><yellow>владелец регистрации<c> будет автоматически установлен, <br>делая торговлю с другими игроками невозможным.<br>※Сбросить состояние оборудования <yellow>В исходное состояние.<c>"""
CraftOrderPlaceAskExtendSameLevel#0,"""Здесь можно разместить заказ.<br>Продолжить?<br>※Поскольку ваш уровень крафта одинаковый, <br>есть шанс <c ff007f>[Большого успеха]<c> ."""
CraftOrderPlaceAskTechnic#0,"""Заказ будет размещён с выбранными условиями.<br>Продолжить?"""
CraftOrderPlaceAskEnchant#0,"""Заказ будет размещён с выбранными условиями.<br>Продолжить?"""
CraftOrderPlaceAskPaCustomize#0,"""Заказ будет размещён с выбранными условиями.<br>Продолжить?"""
CraftOrderPlaceMessage#0,"""Заказ размещён.<br>вы получите устройство по завершёнию либо при отказе<br>через Крафт -> Запросы на крафт в визифоне."""
CraftOrderPlaceError#0,"""Заказ не может быть размещён."""
CraftOrderPlaceCancelTitle#0,"""Подтверждение отмены заказа"""
CraftOrderPlaceCancelAsk#0,"""Этот заказ будет отменен.<br>предметы и месета будут возвращены.<br>полученная Месета: $(0)"""
CraftOrderPlaceCancelMessage#0,"""Заказ был отменен."""
CraftOrderPlaceCancelError#0,"""Заказ не может быть отменен."""
CraftOrderPlaceBackTitle#0,"""Подтверждение отмены"""
CraftOrderPlaceBackAsk#0,"""Этот заказ был <yellow>отменен<c>.<br>Предметы и месета будут возвращены.<br>полученная Месета: $(0)"""
CraftOrderPlaceBackMessage#0,"""Предметы возвращены."""
CraftOrderPlaceBackError#0,"""Предметы не могут быть возвращены."""
CraftOrderReceiveCancelTitle#0,"""Подтверждение отмены заказа"""
CraftOrderReceiveCancelAsk#0,"""Заказ на крафт, которую вы приняли, будет отменена.<br>Продолжить?"""
CraftOrderReceiveCancelMessage#0,"""Заказ был отменен."""
CraftOrderReceiveCancelError#0,"""Заказ не может быть отменен."""
CraftOrderGetTitle#0,"""Забрать устройство"""
CraftOrderGetAsk#0,"""Этот заказ выполнен заберите устройство.<br>Готовое устройство: $(0)"""
CraftOrderGetAskOwner#0,"""Этот заказ завершён.<br>Вы хотите забрать этот предмет?<br><yellow>владелец зарегистрирован<c> успешно.<br>Полученный продукт: $(0)"""
CraftOrderGetMessage#0,"""Вы забрали устройство.<br>Отправить хорошую работу?"""
CraftOrderGetError#0,"""Не удалось получить устройство."""
CraftOrderPlaceDisableTitle#0,"""Подтвердите заказ"""
CraftOrderPlaceDisableMessage#0,"""В этом окне вы можете подтвердить заказ.<br>если вы хотите разместить новый заказ вы можете найти крафтера для выполнения крафта -> найти его можно в настройках визифона. В моей комнате вы сможете отправить заказ <yellow>из терминала моя комната<c>."""
CraftSignboardTitle#0,"""Подтверждение содержимого рекламной вывески"""
CraftSignboardMessage#0,"""Все останется без ваших изменений.<br>Продолжить?"""
ExplainSignboard#0,"""<c f0df60>Здесь вы можете проверить настройки вывески. Содержимое вывески будет отображаться, когда другой игрок будет искать вас.<c>"""
ExplainSbSelectRecipeSlot#0,"""<c f0df60>Вы можете зарегистрировать три рецепта, которые другие игроки могут заказать у вас.<c>"""
ExplainSbSelectRecipeType#0,"""<c f0df60>Выберете тип рецепта крафта, который вы хотите зарегистрировать.<c>"""
ExplainSbSelectRecipe#0,"""<c f0df60>Выберете рецепт крафта, который хотите зарегистрировать. <c ff4f3f>если вы переключаетесь между вкладками<c f0df60>, вы сможете просмотреть другие рецепты.<c>"""
ExplainSbSelectStamp#0,"""<c f0df60>Выберете успешные данные , который вы хотите зарегистрировать.<c>"""
ExplainSbSelectCm#0,"""<c f0df60>Добавьте символ арт и тех кто может найти вас<c>"""
ExplainReceive#0,"""<c f0df60>Вы можете подтвердить и выполнить крафт заказ.<c>"""
ExplainRcvSelectLine#0,"""<c f0df60>\""Крафт машина\"". Указывает на охлаждение крафт машины, вы можете использовать до девяти таких линий.<c>"""
ExplainRcvConfirmExtend#0,"""<c f0df60>Это экран окончательного подтверждения крафта оборудования.<c>"""
ExplainRcvFinishExtend#0,"""<c f0df60>\u3000<c>"""
ExplainRcvConfirmCustomize#0,"""<c f0df60>Кастомизация техники окончательный просмотр<c>"""
ExplainRcvConfirmEnchant#0,"""<c f0df60>Это окончательное окно подтверждения установки.<c>"""
ExplainRcvConfirmPaCustomize#0,"""<c f0df60>Это окончательное подтверждение настройки Фотон Артов.<c>"""
ExplainPlace#0,"""<c f0df60>Получить готовый продукт, отменить заказ или создать крафт.<c>"""
ExplainPlcSelectCharacter#0,"""<c f0df60>Пожалуйста выберете персонажа для размещёния заказа<c>"""
ExplainPlcSelectRecipe#0,"""<c f0df60>Пожалуйста выберете рецепт крафта, который вы хотите заказать. Необходимые материалы будут варьироваться в зависимости от рецепта.<c>"""
CraftOrderResultNormal#0,"""<green>Успешно<c>"""
CraftOrderResultSuccess#0,"""<c ff007f>Отлично<c>"""
CraftOtherShip#0,"""Крафтеры на других кораблях"""
CraftOrderReward#0,"""$(0)от$(1)Вы получили Месету."""
SignboardErrorEnchantAddonType#0,"""Здесь можно создать юниты на тело руки и ноги<br>диск настроек был зарегистрирован<br>крафт может быть зарегистрирован для каждой части"""
Craft#0,"""Крафт"""
MenuExtend#0,"""Крафт Оборудования"""
MenuCustomize#0,"""Кастомизация техники"""
MenuMaterialComp#0,"""-----"""
MenuItemDecomp#0,"""Разобрать предмет"""
MenuFarm#0,"""-----"""
MenuMakePotion#0,"""-----"""
MenuEnchant#0,"""Крафт временных способностей"""
MenuPaCustomize#0,"""Кастомизация Фотон Арта"""
MenuStampCreate#0,"""Обновить данные настроек"""
MenuStampItemCreate#0,"""Создание временных способностей"""
MenuRemoveRecipe#0,"""Удалить рецепт"""
Item#0,"""Предметы"""
ItemDetails#0,"""Сведения о деталях"""
RecipeSelect#0,"""Выбор рецепта для крафта"""
Material#0,"""Необходимые материалы"""
ItemExtend#0,"""Улучшение оборудования"""
CraftsmanDetails#0,"""Краткая информация"""
