GroupChat_Title#0,"""Групповой чат"""
GroupChat_SetMsg#0,"""Зарег-е группы"""
GroupChat_NewMsg#0,"""Приглашения"""
GroupChat_MakeGroup#0,"""Создать группу"""
GroupChat_NewNumMsg#0,"""Приглашает ($(0))"""
GroupChat_GroupLeader#0,"""[Лидер группы]"""
Popup_Active#0,"""Показать группу"""
Popup_Inactive#0,"""Скрыть группу"""
Popup_Confirm#0,"""Посмотреть участников"""
Popup_Invite#0,"""Пригласить кого-то"""
Popup_Banish#0,"""Убрать кого-то"""
Popup_ChangeName#0,"""Редактировать настрйоки группы"""
Popup_ChangeLeader#0,"""Сменить лидера"""
Popup_MoveTop#0,"""Перейти к началу"""
Popup_Delete#0,"""Покинута группа"""
Popup_Join#0,"""Зарегестрировать"""
GroupChat_Title_New#0,"""Создать группу"""
GroupChat_GroupName#0,"""Имя группы"""
GroupChat_GroupComment#0,"""Комментарий группы"""
GroupChat_Decided#0,"""Принять"""
GroupChat_Canceled#0,"""Отменить"""
GroupChat_Title_Rename#0,"""Редактировать настройки группы"""
GroupChat_Rename#0,"""Ред. описание группы"""
GroupChat_MemberTab1#0,"""В сети ($(0))"""
GroupChat_MemberTab4#0,"""В сети"""
GroupChat_MemberTab2#0,"""Не в сети"""
GroupChat_MemberTab3#0,"""В черном списке"""
GroupChatError_Title#0,"""Сообщение"""
GroupChatError_ListNumFault#0,"""Группа не может быть отображена."""
GroupChatError_MakeGroupFault#0,"""Не получилось создать создать группу."""
GroupChatError_MakeNGWordFault#0,"""Это имя группы не может быть использовано.<br>Содержатся символы, которые не<br>могут быть использованы."""
GroupChatError_MakeGroupMaxFault#0,"""Максимальное количество групп достигнуто.<br>Не может создать группу."""
GroupChatError_RenameGroupFault#0,"""Не может редактировать группу."""
GroupChatError_RenameNGWordFault#0,"""Это имя группы не может быть использовано.<br>Содержатся символы, которые<br>не могут быть использованы."""
GroupChatQues_Title#0,"""Подтвердить"""
GroupChatQues_Banish#0,"""Удалить $(0) из этой группы. <br><br>Вы уверены？"""
GroupChatQues_Leader#0,"""Передать права лидера $(0) <br><br>Вы уверены？"""
GroupChatQues_Delete#0,"""Вы покидаете \""$(0)\"".<br><yellow>※Если вы захотите присоединиться<br>к этой группе позже, то вы<br>должны быть снова приглашены.<c><br>Вы уверены？"""
GroupChatQC_Invite_Title#0,"""Приглашение в группу"""
GroupChatQC_Invite_Mess#0,"""$(1) приглашает вас \""$(0)\"".<br>Вы хотите ответить сейчас?<br> ※Если вы выберете \""Нет\"", вы можете<br>ответить позже из \""Настройки чата\""<br>в главном меню."""
GroupChatQC_Join_Log#0,"""$(1) добавил(а) $(0)."""
NewGroupChat#0,"""Новое приглашение в группу"""
NewExpGroupChat#0,"""Получено приглашение в группу."""
GroupChatTost_GroupList#0,"""Получить информацию о группе."""
GroupChatTost_GroupCreate#0,"""Группа создана."""
GroupChatTost_Delete#0,"""Покинута группу. \""$(0)\""."""
GroupChatTost_MemberList#0,"""Информация об участниках"""
GroupChatTost_MemberInvite#0,"""Приглашение отправлено."""
GroupChatTost_MemberJoin#0,"""Присоединился(-ась) к группе [$(0)]."""
GroupChatTost_MemberBanish#0,"""$(0) удален(а) из группы."""
GroupChatTost_GroupActive#0,"""Отображена группа  \""$(0)\""."""
GroupChatTost_GroupInactive#0,"""Группа не отображается."""
GroupChatTost_NameChange#0,"""Настройки группы изменены."""
GroupChatTost_MoveTop#0,"""Переместить наверх"""
GroupChatTost_LeaderSuccess#0,"""$(0) стал(а) новым лидером группы."""
GroupChatTost_LeaderFailed#0,"""Не смогл(а) стать лидером."""
GroupChatTost_InviteFailed#0,"""Приглашение в группу не получено."""
GroupChatTost_Error#0,"""Общая ошибка"""
GroupChatTost_CreateGroupError#0,"""Не удалось создать группу."""
GroupChatTost_ListReceiveError#0,"""Не может извелечь группы."""
GroupChatTost_InviteGroupError#0,"""Не удалось пригласить."""
GroupChatTost_ToInviteGroupError#0,"""Произошла ошибка во время приглашения."""
GroupChatTost_ReInviteGroupError#0,"""Не удалось получить приглашение"""
GroupChatTost_LeaveGroupError#0,"""Не смог(-ла) покинуть группу."""
GroupChatTost_DeleteGroupError#0,"""Не удалось удалить выбранного пользователя"""
GroupChatTost_UpdateTextError#0,"""Не удалось изменить имя группы<br>и комментарий"""
GroupChatTost_MoveListError#0,"""Не удалось изменить список групп."""
GroupChatTost_LockError#0,"""Не удалось заблокировать группу."""
GroupChatTost_GetLogError#0,"""ログの取得に失敗しました。"""
GroupChatTost_DenyInviteError#0,"""招待拒否設定に失敗しました。"""
GroupChatTost_InviteListError#0,"""招待中リストの取得に失敗しました。"""
GroupChatTost_InviteLimitOver#0,"""招待数オーバーの為$(0)からの招待を受け取れませんでした。"""
GroupChatTost_InviteDeny#0,"""一部、非招待設定のフレンドがいました。"""
FriendList_Title#0,"""Пришлашение в \""$(0)\"""""
Make_Default_Name#0,"""$(0)のグループ名"""
FriendList_Tree_Online#0,"""Возможные приглашаемые в сети ($(0))"""
FriendList_Tree_OnlineLite#0,"""Друзья в сети ($(0))"""
FriendList_Tree_Offline#0,"""Возможные приглашаемые не в сети ($(0))"""
FriendList_Tree_OfflineLite#0,"""Друзья не в сети ($(0))"""
FriendList_Tree_BlackList#0,"""Заблокированные ($(0))"""
FriendList_Tree_Member#0,"""Участники группы ($(0))"""
FriendList_Tree_Invite#0,"""Приглашения на рассмотрении ($(0))"""
GroupList_NoItem#0,"""Здесь нет зарагестрированных групп.<br>Вы можете присоединиться к группе, или<br>создать с помощью <br>нажатия \""Создать группу\"" и приглашения друзей."""
InviteList_NoItem#0,"""Вы не приглашены в какую-либо группу."""
GroupChatDate#0,"""$(1)/$(0) $(2)"""
GroupChatDateSunday#0,"""(Вс)"""
GroupChatDateMonday#0,"""(Пн)"""
GroupChatDateTuesday#0,"""(Вт)"""
GroupChatDateWednesday#0,"""(Ср)"""
GroupChatDateThursday#0,"""(Чт)"""
GroupChatDateFriday#0,"""(Пт)"""
GroupChatDateSaturday#0,"""(Сб)"""
GroupListLabel#0,"""$(0) ($(1))"""
GroupListLabelMax#0,"""$(0) <c ff9933>($(1))<c>"""
GroupChatTost_GroupJoin#0,"""$(0) присоединился(-ась) к группе: $(1)."""
GroupChatTost_InviteDeny2#0,"""Отклонил(а) приглашение в группу."""
Popup_Inviterefuse#0,"""Отклонить приглашение"""
GroupChat_JoinMax_Title#0,"""登録グループ数確認"""
GroupChat_JoinMax_Message#0,"""登録中のグループ数が上限に達しているため<br>これ以上、登録することができません。<br>登録中のいずれかのグループから脱退後<br>招待されたグループを登録してください。"""
GroupChatError_MakeEmptyFault#0,"""グループ名、もしくはグループコメントが<br>空欄のためグループを作成できませんでした。"""
GroupChatError_RenameEmptyFault#0,"""グループ名、もしくはグループコメントが<br>空欄のためグループを編集できませんでした。"""
GroupChatError_NotFindTitle#0,"""グループ確認"""
GroupChatError_NotFindMessage#0,"""グループが見つからなかったため<br>登録できません。"""
GroupChatError_NotInviteTitle#0,"""グループ確認"""
GroupChatError_NotInviteMessage#0,"""グループを登録できません。<br>登録するグループを確認してください。"""
GroupChatError_JoiningTitle#0,"""登録の確認"""
GroupChatError_JoiningMessage#0,"""すでにこのグループは登録しています。"""
GroupChatTost_ListNumFault#0,"""Не получается отобразить группу."""
GroupChatTost_PopupInvitedCansel#0,"""Отменить приглашение"""
GroupChatTost_TitleInvitedCansel#0,"""Подтвердить отмену приглашения"""
GroupChatTost_QuesInvitedCansel#0,"""Отменить приглашение для $(0) вступления $(1). Вы уверены？"""
GroupChatTost_ButtonInvitedCansel#0,"""Отменить приглашение"""
GroupChatTost_ToastInvitedCansel#0,"""Приглашение отменено."""
GroupChatTost_ToastInvitedCansel1#0,"""Выбранный человек уже<br>зарегестрирована в группе."""
GroupChatTost_ToastInvitedCansel2#0,"""Невозможно отменить приглашение."""
