Form_Title#0,"""Справочная ARKS"""
Message_Title#0,"""Сообщение"""
No_ReadList_Results#0,"""Нет записей в вашй истории прочтения."""
Form_Title#1,"""Справочная ARKS"""
Form_Title#2,"""Справочная ARKS"""
Help_Text#0,"""<soft_yellow>Здесь можно найти полезную информацию для ознакомления с игрой.<c>Для переключения между страницами: <%TabBack><%TabForward><soft_yellow>.<c>"""
TitleRoot#0,"""Список гайдов"""
Title100000#0,"""Эффективное получение опыта!"""
Title200000#0,"""Эффективное получекние месеты!"""
Title300000#0,"""Получение мощного снаряжения!"""
Title400000#0,"""Усиление снаряжения!"""
Title500000#0,"""Работа с PSO2es!"""
TitleReadList#0,"""Список чтения"""
HeaderRoot#0,"""Для ознакомления с хорошими методами получения опыта, месеты, редкого снаряжения и т.д. Пожалуйста, выберите тему."""
Header100000#0,"""Для повышения уровня потребуется опыт. Его можно получить за победу над врагами и наградой за заказ."""
Header200000#0,"""Месета нужна для покупки предметов, улучшения снаряжения и т.д. Её можно получить, продавая предметы или в награду за заказы."""
Header300000#0,"""13★ предметы, например оружие, значительно облегчат вам бой."""
Header400000#0,"""Улучшение снаряжения сделает вас ещё сильнее. Чтобы совершить подобное улучшение, вам потребуются материалы и месета."""
Header500000#0,"""Получайте преимущество за игру в \""PSO2es\""."""
HeaderReadList#0,"""Здесь вы можете ознакомиться с ранее прочитанным."""
