MesetaDenomination#0,""" Месеты"""
AcDenomination#0,"""AC"""
CpDenomination#0,"""CP"""
FunDenomination#0,"""FUN"""
StarDenomination#0,"""Звёзды"""
CcDenomination#0,"""Монеты казино"""
CmDenomination#0,"""CM"""
SgDenomination#0,"""SG"""
BpDenomination#0,"""BP"""
Cash#0,"""Деньги"""
CashMeseta#0,"""В наличии месет"""
CashAc#0,"""В наличии AC"""
CashCp#0,"""В наличии CP"""
CashFun#0,"""В наличии FUN"""
CashStar#0,"""В наличии звёзд"""
CashCc#0,"""В наличии CC"""
CashCm#0,"""В наличии CM"""
CashSg#0,"""В наличии SG"""
CashBp#0,"""В наличии BP"""
CashDenomi#0,"""В наличии $(0)"""
TotalAmount#0,"""Всего"""
TotalMeseta#0,"""Всего месет"""
TotalAc#0,"""Всего AC"""
TotalCp#0,"""Всего CP"""
TotalFun#0,"""Всего FUN"""
TotalStar#0,"""Всего звёзд"""
TotalCc#0,"""Всего CC"""
TotalCm#0,"""Всего CM"""
TotalSg#0,"""Всего SG"""
TotalBp#0,"""Всего BP"""
TotalDenomi#0,"""Всего $(0)"""
InputBuyNumberTitle_Vita#0,"""Количество предметов для покупки"""
InputSellNumberTitle_Vita#0,"""Количество предметов для продажи"""
StockNumber_Vita#0,"""在庫数 $(0)"""
ShopTitle#0,"""Магазин ценностей"""
MenuGuide#0,"""<c f0df60>Пожалуйста, выберите магазин.<c>"""
MenuTitle#0,"""Меню магазина"""
MenuSG#0,"""Потратить Star Gems"""
MenuMeseta#0,"""Потратить месеты"""
MenuEnd#0,"""Покинуть магазин"""
SgShopTitle#0,"""Потратить Star Gems"""
SgShopGuide#0,"""<c f0df60>Пожалуйста, выберите предмет для покупки. Выбрав пункт \""обновить список вручную\""<c><pict StarGem><c f0df60>」, можно обновить список предметов.<c>"""
SgShopGuide_v#0,"""<c f0df60>Пожалуйста, выберите предмет для покупки. Выбрав пункт \""обновить список вручную\""<c><pict StarGem><c f0df60>」, можно обновить список предметов.<c>"""
MesetaShopTitle#0,"""Потратить месеты"""
MesetaShopGuide#0,"""<c f0df60>Пожалуйста, выберите предмет для покупки. Выбрав пункт \""обновить список вручную\""<c><pict StarGem><c f0df60>」, можно обновить список предметов.<c>"""
MesetaShopGuide_v#0,"""<c f0df60>Пожалуйста, выберите предмет для покупки. Выбрав пункт \""обновить список вручную\""<c><pict StarGem><c f0df60>」, можно обновить список предметов.<c>"""
ShopListTitle#0,"""Список товаров"""
ShopListResetTime#0,"""Следующее обновление: $(0)"""
