ChallengeSet#0,"""クラスセット"""
ChallengeSet_contents#0,"""クラスセット内容"""
ChallengeSet_ability#0,"""クラスセット説明（決定でクラススキルなど詳細を確認）"""
ChallengeSet_ability_list#0,"""クラススキル・PA・テクニック一覧"""
ChallengeSet_select#0,"""クラスセット選択"""
ChallengeSet_confirm#0,"""クラスセット確認"""
ChallengeSet_message#0,"""「$(0)」の内容で、<br>装備、クラススキルなどを変更します。<br><br>よろしいですか？"""
ChallengeSet_nouse#0,"""クエストが開始されたため、<br>クラスセットは変更できません。"""
ChallengeSet_Help#0,"""<c f0df60>クラスセットを選択できます<c>"""
ChallengeSet_Toast#0,"""クラスセット「$(0)」を適用しました"""
MySetClassSetNone#0,"""Класс не установлен."""
MySetEquipSetNone#0,"""Предмет не установлен."""
MySetPreSetNone#0,"""プリセットがありません"""
StatusLabelLevel#0,"""Ур."""
NoClassSkillMessage#0,"""Отсутствуют клас. умения"""
NoPaMessage#0,"""Отсутствуют Фотон Арты"""
NoTechnicMessage#0,"""Отсутствуют техники"""
MySetClassNone#0,"""Класс не выбран."""
MySetItemNone#0,"""アイテムが選択されていません"""
Title#0,"""クラス詳細"""
ItemDetailTitle#0,"""アイテム詳細"""
Class#0,"""Класс"""
Error#0,"""Ошибка набора"""
EquipError#0,"""装備変更できませんでした。"""
ListError#0,"""マイセットを取得できませんでした。"""
QuestStartError#0,"""すでにクエストは開始しています。"""
MenuError#0,"""Нету набора."""
InShipToast#0,"""一時的にチャレンジブロック専用の状態に切り替わりました。"""
MainMenu_Mail#0,"""Почта общего корабля"""
MainMenu_FriendList#0,"""Сипсок друзей общего корабля"""
MainMenu_Community_Friend#0,"""Сипсок друзей общего корабля"""
MainMenu_Community_Mail#0,"""Почта общего корабля"""
MainMenu_System_SimbolArt#0,"""Символ арты общего корабля"""
MainMenu_Community_CommonFriend#0,"""Сипсок друзей общего корабля"""
MainMenu_Community_CommonMail#0,"""Почта общего корабля"""
ChallengeTitleText#0,"""Монумент челленджей"""
ChallengeGuideText#0,"""<c f0df60>チャレンジクエストに挑戦したユーザーのランキングを表示します。<c>"""
ChallengeGuideNow#0,"""<c f0df60>チャレンジランキングの途中経過です。<c>"""
ChallengeGuideNew#0,"""<c f0df60>最新のチャレンジランキングです。<c>"""
ChallengeGuideOld#0,"""<c f0df60>過去のチャレンジランキングです。<c>"""
ChallengeTitleChallengeSelect#0,"""チャレンジ選択"""
ChallengeTitleQuest#0,"""$(0)"""
ChallengeCapDate#0,"""Общий период"""
ChallengeDate#0,"""Обновляется в пн, 07:00 по Японии"""
ChallengeRankingTitle#0,"""「$(0)」チャレンジランキング"""
ChallengeMission#0,"""MISSION$(0)($(1)%)"""
RankingTab01#0,"""上位20位"""
RankingTab02#0,"""Среди вас"""
RankingTab03#0,"""フレンド上位20位"""
RankingTab04#0,"""チーム上位20位"""
RankingText01#0,"""ランキング"""
RankingText02#0,"""Имя персонажа / Имя Player ID"""
RankingText03#0,"""到達エリア/CM"""
RankingText04#0,"""Ваш рейтинг"""
RankingText05#0,"""Список рейтинга"""
RankingText06#0,"""キャラクター名"""
RankingText07#0,"""Имя Player ID"""
RankingErrorTitle#0,"""Объявление"""
RankingErrorMsg#0,"""現在、一時的にチャレンジランキングは<br>ご利用いただけません。"""
SendTitle#0,"""チャレンジコメント"""
Message#0,"""今回のチャレンジの結果をコメントに残そう!<br><br>コメントはあなたの最高クリア率に記録された<br>タグに表示されるようになります。<br><br><yellow>※入力したコメントはパーティーメンバーにも<br>表示されるようになります。<c><br><yellow>※コメントは最高クリア率を超えなくても、<br>入力するごとに内容が更新されます。<c>"""
SendErrorTitle#0,"""チャレンジコメント"""
SendErrorMessage#0,"""ただいま大変混雑しております。<br>チャレンジコメントを保存することが、<br>できませんでした。"""
Achievement_Up#0,"""実績名(+$(0)CP)"""
Achievement_Down#0,"""を達成しました！"""
Clear_Msg#0,"""チャレンジクリア率：MISSION$(0) $(1)%"""
TextStart#0,"""challenge  start"""
TextClear#0,"""challenge clear"""
TextMission#0,"""mission"""
TextCongratulations#0,"""congratulations!"""
TextInterval#0,"""interval area"""
TextFinalMission#0,"""final mission"""
ResultEmptyMessage#0,"""ここにコメントを入力できます。"""
ReturnMessage#0,"""キャンプシップへ戻ります。<br>よろしいですか？<br><br>キャンプシップに戻ると、VRエネルギーが回復せず<br><yellow>パーティー全体のリザルト評価に影響します。<c><br>また、クエスト開始中に、長時間キャンプシップに<br>残り続けると、個人のリザルト評価に影響します。<br><br>この場で復活することで、VRエネルギーを<br>一定量回復させることができます。"""
SelectedForm_Title#0,"""共通シンボルアートリスト"""
Ship01#0,"""Корабль 01: Феу"""
Ship02#0,"""Корабль 02: Ур"""
Ship03#0,"""Корабль 03: Торн"""
Ship04#0,"""Корабль 04: Ансур"""
Ship05#0,"""Корабль 05: Лагуз"""
Ship06#0,"""Корабль 06: Кен"""
Ship07#0,"""Корабль 07: Геофу"""
Ship08#0,"""Корабль 08: Винн"""
Ship09#0,"""Корабль 09: Хагаль"""
Ship10#0,"""Корабль 10: Наутиз"""
DebugShip01#0,"""Корабль01"""
DebugShip02#0,"""Корабль02"""
DebugShip03#0,"""Корабль03"""
DebugShip04#0,"""Корабль04"""
DebugShip05#0,"""Корабль05"""
DebugShip06#0,"""Корабль06"""
DebugShip07#0,"""Корабль07"""
DebugShip08#0,"""Корабль08"""
DebugShip09#0,"""Корабль09"""
DebugShip10#0,"""Корабль10"""
