SubMenuTitle#0,"""Меню карты истории"""
AnimeTest#0,"""Проверка анимации"""
CtrlTest#0,"""表示制御テスト"""
Title#0,"""Карта истории"""
HintClose#0,"""Недоступное событие"""
HintOpen#0,"""Доступное событие"""
HintAchieved#0,"""Завершённое событие"""
HintAccepted#0,"""Вы проходите это событие"""
HintGuide#0,"""Рекомендуемое событие"""
HintKeyOpen#0,"""Доступное ключевое событие"""
HintKeyAchieved#0,"""Завершённое ключевое событие"""
HintKeyAccepted#0,"""Вы проходите это ключевое событие"""
HintKeyGuide#0,"""Рекомендуемое ключевое событие"""
PercentComplete#0,"""Завершено"""
Title#1,"""Информация о событии"""
SynopsisTitle#0,"""Описание ивента"""
OrderName#0,"""$(0)－$(1) $(2)"""
Info#0,"""Информация"""
Target#0,"""Требования для открытия ветки"""
Reward#0,"""Награда за прохождение"""
Crushing#0,"""Победить [$(0)]"""
Kills#0,"""$(0)"""
Achievement#0,"""Получить [$(0)]"""
Conversation#0,"""Поговорить с [$name)]\t"""
ClientOrder#0,"""Частные заказы"""
Requester#0,"""Заказчик: $(0)"""
Location#0,"""Локация: $(0) - $(1)"""
Broadcasting#0,"""Трансляция аниме PSO2"""
BroadcastDate#0,"""放送日時：$(0)"""
Broadcaster#0,"""放送局：$(0)"""
StoryQuestClear#0,"""Завершить сюжетный квест"""
StoryQuestName#0,"""Название квеста: $(0)"""
EventBrowse#0,"""イベントの閲覧"""
EventName#0,"""Название ивента: $(0)"""
Close_Vita#0,"""捜索不可"""
Open_Vita#0,"""捜索可能"""
Accepted_Vita#0,"""捜索中"""
Achieved#0,"""Пройдено"""
DetailsTitle1#0,"""Награда за прохождение"""
DetailsTitle2#0,"""Данные об ивенте"""
SearchGauge#0,"""Прогресс"""
SearchGaugeRate#0,"""$(0)/$(1) """
StoryQuestRankTitle#0,"""Выбор режима"""
StoryQuestRankNormal#0,"""Лёгкий"""
StoryQuestRankHard#0,"""Нормальный"""
AcceptTitle#0,"""Принять"""
Accept1#0,"""Хотите начать проходить это событие?"""
Accept2#0,"""Прохождение текущегособытия<br>будет прервано. Вы хотите<br>начать новое?"""
Accept3#0,"""Отобразить подсказку<br>для этого события<br>у координатора?"""
Accept4#0,"""Отобразить подсказку<br>для этого события<br>над нужным персонажем?"""
Target#1,"""Цель: """
Area#0,"""Основная область:"""
Guide#0,"""（このマターをガイドの対象にした場合、<br>\u3000このマターボードが捜索対象となります）"""
