Category_All#0,"""Всё"""
Category_Head#0,"""Голова"""
Category_Face#0,"""Лицо"""
Category_Body#0,"""Тело"""
Category_Arm_Right#0,"""Правая рука"""
Category_Arm_Left#0,"""Левая рука"""
Category_Waist#0,"""Талия"""
Category_Leg_Right#0,"""Правая нога"""
Category_Leg_Left#0,"""Левая нога"""
Category_Finger#0,"""Пальцы"""
Default#0,"""По умолчанию"""
HeadTop#0,"""Макушка головы"""
EyesRoot#0,"""Лоб над переносицей"""
NoseBridge#0,"""Носовая перегородка"""
JawUpper#0,"""Подбородок: верх"""
JawLower#0,"""Подбородок: низ"""
RightEar#0,"""Правое ухо"""
LeftEar#0,"""Левое ухо"""
HeadofHead#0,"""Основание головы"""
Neck#0,"""Шея"""
NeckRoot#0,"""Основание шеи"""
Right_Breast#0,"""Правая грудь"""
Center_Breast#0,"""Середина груди"""
Left_Breast#0,"""Левая грудь"""
Spine1#0,"""Позвоночник 1"""
Spine2#0,"""Позвоночник 2"""
Waist#0,"""Талия"""
Crotch#0,"""Бёдра"""
Left_Clavicle#0,"""Левая ключица"""
Left_UpperArm1#0,"""Левое плечо 1"""
Left_UpperArm2#0,"""Левое плечо 2"""
Left_ForeArm1#0,"""Левое предплечье 1"""
Left_ForeArm2#0,"""Левое предплечье 2"""
Left_Hand#0,"""Левая рука"""
Right_Clavicle#0,"""Правая ключица"""
Right_UpperArm1#0,"""Правое плечо 1"""
Right_UpperArm2#0,"""Правое плечо 2"""
Right_ForeArm1#0,"""Правое предплечье 1"""
Right_ForeArm2#0,"""Правое предплечье 2"""
Right_Hand#0,"""Правая рука"""
Left_Thigh1#0,"""Левое бедро 1"""
Left_Thigh2#0,"""Левое бедро 2"""
Left_Knee#0,"""Левое колено"""
Left_Ankle#0,"""Левая лодыжка"""
Right_Thigh1#0,"""Правое бедро 1"""
Right_Thigh2#0,"""Правое бедро 2"""
Right_Knee#0,"""Правое колено"""
Right_Ankle#0,"""Правая лодыжка"""
Left_Thumb1#0,"""Л. большой палец 1"""
Left_Thumb2#0,"""Л. большой палец 2"""
Left_FirstFinger1#0,"""Л. указательный палец 1"""
Left_FirstFinger2#0,"""Л. указательный палец 2"""
Left_FirstFinger3#0,"""Л. указательный палец 3"""
Left_SecondFinger1#0,"""Л. средний палец 1"""
Left_SecondFinger2#0,"""Л. средний палец 2"""
Left_SecondFinger3#0,"""Л. средний палец 3"""
Left_ThirdFinger1#0,"""Л. безымянный палец 1"""
Left_ThirdFinger2#0,"""Л. безымянный палец 2"""
Left_ThirdFinger3#0,"""Л. безымянный палец 3"""
Left_ForthFinger1#0,"""Левый мизинец 1"""
Left_ForthFinger2#0,"""Левый мизинец 2"""
Left_ForthFinger3#0,"""Левый мизинец 3"""
Right_Thumb1#0,"""П. большой палец 1"""
Right_Thumb2#0,"""П. большой палец 2"""
Right_FirstFinger1#0,"""П. указательный палец 1"""
Right_FirstFinger2#0,"""П. указательный палец 2"""
Right_FirstFinger3#0,"""П. указательный палец 3"""
Right_SecondFinger1#0,"""П. средний палец 1"""
Right_SecondFinger2#0,"""П. средний палец 2"""
Right_SecondFinger3#0,"""П. средний палец 3"""
Right_ThirdFinger1#0,"""П. безымянный палец 1"""
Right_ThirdFinger2#0,"""П. безымянный палец 2"""
Right_ThirdFinger3#0,"""П. безымянный палец 3"""
Right_ForthFinger1#0,"""Правый мизинец 1"""
Right_ForthFinger2#0,"""Правый мизинец 2"""
Right_ForthFinger3#0,"""Правый мизинец 3"""
Key_DefaultColor#0,"""Цвет по умолчанию"""
Key_HairColor1#0,"""Цвет 1"""
Key_HairColor2#0,"""Цвет 2"""
Key_EyeColor_Right#0,"""Цвет правого зрачка"""
Key_EyeColor_Left#0,"""Цвет левого зрачка"""
Key_EyebrowsColor#0,"""Цвет"""
Key_EyeLashesColor#0,"""Цвет"""
Key_SkinMainColor#0,"""Основной цвет кожи"""
Key_SkinSubColor#0,"""Доп. цвет кожи"""
Key_CostumeColor#0,"""Цвет"""
Key_OuterWearColor1#0,"""Цвет 1"""
Key_OuterWearColor2#0,"""Цвет 2"""
Key_BaseWearColor1#0,"""Цвет 1"""
Key_BaseWearColor2#0,"""Цвет 2"""
Key_InnerWearColor1#0,"""Цвет 1"""
Key_InnerWearColor2#0,"""Цвет 2"""
Key_CastMainColor#0,"""Основной цвет"""
Key_CastSubColor1#0,"""Доп. цвет 1"""
Key_CastSubColor2#0,"""Доп. цвет 2"""
Key_CastSubColor3#0,"""Доп. цвет 3"""
Key_SetWearColor1#0,"""Цвет 1"""
Key_SetWearColor2#0,"""Цвет 2"""
Key_RestoreDefaultColor#0,"""Сбросить"""
Key_CostumeColorFull#0,"""Цвет костюма"""
Key_OuterWearColor1Full#0,"""Цвет Ou 1"""
Key_OuterWearColor2Full#0,"""Цвет Ou 2"""
Key_BaseWearColor1Full#0,"""Цвет Ba 1"""
