MissionProgress#0,"""Простая информация о миссии"""
MissionOrder#0,"""Клиентский заказ"""
MissionBoard#0,"""ARKS миссии"""
MissionWebLink#0,"""WEBページリンク(仮"""
MissionWebSubheading#0,"""開催中のキャンペーン(仮"""
MissionProgressTab#0,"""В процессе"""
MissionRecievedTab#0,"""Завершено"""
MissionSqueezeNew#0,"""Отображать только новое"""
MissionRecieveAll#0,"""Забрать всё"""
MissionRecieveAll_P#0,"""<%MultiSelect>Забрать всё"""
MissionRecieveAll_V#0,"""Забрать всё"""
MissionReciveOne#0,"""<%AcceptK>Забрать награду"""
MissionReciveOne_P#0,"""<%AcceptP>Забрать награду"""
MissionReciveOne_V#0,"""<%AcceptV>Забрать награду"""
MissionTrack#0,"""<pict Arksroicon>Отслеживание"""
MissionTracking#0,"""<%AcceptK>Показать место назначения"""
MissionTracking_P#0,"""<%AcceptP>Показать место назначения"""
MissionTracking_V#0,"""<%AcceptV>Показать место назначения"""
MissionTracking_OFF#0,"""<%AcceptK>Не отображать место назначения"""
MissionTracking_OFF_P#0,"""<%AcceptP>Не отображать место назначения"""
MissionTracking_OFF_V#0,"""<%AcceptV>Не отображать место назначения"""
MissionDetail#0,"""Подробности миссии"""
MissionTimeLimitCampaign1#0,"""Конец кампании: $(0)"""
MissionTimeLimitCampaign2#0,"""Крайний срок для получения: $(0)"""
MissionTimeLimitEvent#0,"""Дата окончания срока: $(0)"""
MissionTimeLimitEtc#0,"""Дата окончания срока: $(0)"""
MissionTimeLimitUnlimited#0,"""Дата окончания срока: нету"""
MissionDetail_limited_Issue#0,"""<c ff4f3f>※Можно получить только один раз на аккаунт.<c>"""
MissionDetail_limited_Issue_Received#0,"""※Единственные предметы на аккаунт уже получены."""
MissionDetail_Repeat_Issue#0,"""※Эта миссия может быть выполнена <pict repeat>много раз."""
MissionDetail_Repeat_CoolDown#0,"""※Можно принять снова после: $(0)"""
MissionDetailSwitching#0,"""Клавиша <pict Key_SHIFT>: отобразить подробности предмета"""
MissionDetailSwitching_P#0,"""Клавиша <%Function>: отобразить подробности предмета"""
MissionDetailSwitching_V#0,"""Клавиша <pict Sign_TRIANGLE>: отобразить подробности предмета"""
MissionDetail_MissionDetail#0,"""Дата окончания срока / Подробности миссии"""
MissionRewardDetail#0,"""Подробности предмета"""
MissionRewardDetailSwitching#0,"""Клавиша <pict Key_SHIFT>: отобразить подробности миссии"""
MissionRewardDetailSwitching_P#0,"""Клавиша <%Function>: отобразить подробности миссии"""
MissionRewardDetailSwitching_V#0,"""Клавиша <pict Sign_TRIANGLE>: отобразить подробности миссии"""
MissionCampaignLink#0,"""<%ChangeCtrlWindowForward>: на WEB страницу"""
MissionCampaignLink_P#0,"""<%WEBLinkP>: на WEB страницу"""
MissionRewardCampaignDetail#0,"""Список наград кампании"""
MissionRewardCampaignSwitching#0,"""Клавиша <pict Key_SHIFT>: отобразить список наград кампании"""
MissionRewardCampaignSwitching_P#0,"""Клавиша <%Function>: отобразить список наград кампании"""
MissionRewardCampaignSwitching_V#0,"""Клавиша <pict Sign_TRIANGLE>: отобразить список наград кампании"""
MissionBoardOpen#0,"""<pict Sign_SQUARE>: ARKS миссии"""
MissionBoardOpen_P#0,"""<%MissionShortCutP>: ARKS миссии"""
MissionBoardOpen_Function#0,"""<%Function>でアークスミッションへ"""
MissionBoardOpen_MultiSelect#0,"""<%MultiSelect>でアークスミッションへ"""
MissionBoardOpen_V#0,"""<%MissionShortCutV>: ARKS миссии"""
MissionHeldCampaign#0,"""Текущие кампании"""
MissionWebLinkOpen#0,"""<%ChangeCtrlWindowForward>: выбрать ссылку на WEB страницу"""
MissionWebLinkOpen_P#0,"""<%ChangeWindowActiveP>: выбрать ссылку на WEB страницу"""
