wh_mainhelp#0,"""はじめに"""
wh_inventory#0,"""アイテムパック / アイテム"""
wh_pallet_customize#0,"""アイテムパック / カスタム"""
wh_mag#0,"""アイテムパック / マグ"""
wh_equip#0,"""装備 / 武器装備"""
wh_equip_protector#0,"""装備 / 防具装備"""
wh_equip_subpallet#0,"""装備 / サブパレット編集"""
wh_friendlist#0,"""コミュニティ / フレンドリスト"""
wh_team01#0,"""コミュニティ / チームコマンド"""
wh_party#0,"""コミュニティ / パーティーコマンド"""
wh_mail#0,"""コミュニティ / メール"""
wh_playerlist#0,"""コミュニティ / 周囲のキャラクター"""
wh_charainfo#0,"""マイデータ / キャラクター情報"""
wh_license#0,"""マイデータ / 称号リスト"""
wh_communicationlist#0,"""マイデータ / コミュニケーション履歴"""
wh_profile_info#0,"""マイデータ / アークスカード編集"""
wh_clientorder#0,"""クエスト / クライアントオーダー"""
wh_bingo#0,"""クエスト / アークスビンゴカード"""
wh_arcsload#0,"""クエスト / アークスロード"""
wh_questinfo#0,"""クエスト / クエスト情報"""
wh_qu_defense_friend#0,"""クエスト / 防衛結果"""
wh_storyquest#0,"""クエスト / ストーリークエスト"""
wh_symbolart#0,"""システム / シンボルアート"""
wh_macro#0,"""システム / チャット設定"""
wh_config#0,"""システム / オプション"""
wh_logwindow#0,"""システム / ログウィンドウ"""
wh_loginstamp#0,"""システム / ログインスタンプ"""
wh_es#0,"""システム / es連動"""
wh_acshop#0,"""ACメニュー / ACショップ"""
wh_gacha#0,"""ACメニュー / スクラッチ"""
wh_history#0,"""ACメニュー / 購入履歴"""
wh_expirationdate#0,"""ACメニュー / レンタル有効期限"""
wh_logout#0,"""ログアウト"""
wh_selectmenu#0,"""クイックメニュー"""
wh_visifon#0,"""Визифон"""
wh_myshop#0,"""ビジフォン / マイショップ"""
wh_myshop_sell#0,"""ビジフォン / マイショップ管理"""
wh_partner_registration#0,"""ビジフォン / フレンドパートナー登録"""
wh_profile#0,"""ビジフォン / アークスカード編集"""
wh_arcssearch#0,"""ビジフォン / アークスサーチ"""
wh_library#0,"""ビジフォン / 図鑑"""
wh_ranking#0,"""ビジフォン / ランキング"""
wh_item_code#0,"""ビジフォン / アイテムコード"""
wh_goodjob#0,"""キャラクターメニュー / グッジョブ"""
wh_trade#0,"""キャラクターメニュー / アイテムトレード"""
wh_questcounter#0,"""カウンター / クエストカウンター"""
wh_freefield#0,"""カウンター / フリーフィールド選択"""
wh_class_counter#0,"""カウンター / クラスカウンター"""
wh_skilltree#0,"""カウンター / クラススキルツリー"""
wh_license_counter#0,"""カウンター / 称号カウンター"""
wh_teamcounter01#0,"""カウンター / チームカウンター"""
wh_team_extension#0,"""カウンター / チーム拡張、チームルーム拡張"""
wh_medical#0,"""カウンター / メディカルセンター"""
