Title#0,"""Настройки"""
MenuTreeBasic#0,"""Основные настройки"""
MenuTreeDirection#0,"""Настройки направления"""
MenuTreeDraw#0,"""Настройки видео"""
MenuTreeSound#0,"""Настройки звука"""
MenuTreeControl#0,"""Настройки управления"""
MenuTreeCommunication#0,"""Связь"""
MenuTreeSystem#0,"""Система"""
MenuButtonBasic#0,"""Основные настройки"""
MenuButtonNotice#0,"""Настройки уведомлений"""
MenuButtonCamera#0,"""Настройки камеры"""
MenuButtonCamera_v#0,"""Настройки камеры игры"""
MenuButtonShoot#0,"""Настройки скриншота"""
MenuButtonChat#0,"""Макросы"""
MenuButtonDirection#0,"""Настройки направления"""
MenuButtonDrawFunction#0,"""Настройки эффектов"""
MenuButtonDrawShadow#0,"""Настройки тени"""
MenuButtonDrawDisplay#0,"""Настройки дисплея"""
MenuButtonSound#0,"""Настройки звука"""
MenuButtonOperationType#0,"""Используемое оборудование"""
MenuButtonActionType#0,"""Выбор типа управления"""
MenuButtonSndVolume#0,"""Громкость"""
MenuButtonSndPlay#0,"""Настройки воспроизведения"""
MenuButtonCtrl#0,"""Настройки управления"""
MenuButtonCtrlKeybord#0,"""Настройки клавиатуры"""
MenuButtonCtrlMouse#0,"""Настройки мыши"""
MenuButtonCtrlAnnounce#0,"""Настройки дисплея"""
MenuButtonCtrlPadBehavior#0,"""Быстрая настройка геймпада"""
MenuButtonCtrlPadCtrl#0,"""Настройки геймпада"""
MenuButtonCommunication#0,"""Параметры связи"""
MenuButtonWindow#0,"""Настройки окон"""
MenuButtonEsthetic#0,"""Настройки редактора персонажей"""
MenuButtonRideroid#0,"""Настройки райд-роида"""
MenuButtonSystem#0,"""Система"""
MenuButtonReset#0,"""Сбросить все"""
MenuButtonExit#0,"""Отменить и выйти"""
MenuButtonExitWithSave#0,"""Сохранить и выйти"""
ConfirmTitleInit#0,"""Сбросить настройки"""
ConfirmMessageInit#0,"""Это приведёт к сбросу всех настроек.<br>Вы уверены?"""
ConfirmTitle#0,"""Подтвердите выход"""
ConfirmMessageApply#0,"""Вы уверены, что хотите сохранить эти настройки?"""
ConfirmMessageDisapply#0,"""Вы уверены, что хотите отменить изменения?"""
ConfirmButtonApply#0,"""Выйти и сохранить"""
ConfirmButtonDisapply#0,"""Выйти и отменить"""
ConfirmButtonCancel#0,"""Вернуться к настройкам"""
BasicTextRadarMapDirection#0,"""Поворот карты"""
BasicTextMoviePlay#0,"""Воспроизведение видео"""
BasicTextSmutFilter#0,"""Фильтр текста"""
BasicTextLockon#0,"""Настройка авто-прицеливания"""
BasicTextPaletteChange#0,"""Настройка смены палитры"""
BasicTextKeyMoveEscape#0,"""Настройки уклонения с помощью клавиатуры"""
BasicTextFeaturedEvents#0,"""Фокусировка камеры в событиях"""
BasicTextMesetaAuto#0,"""Автоматический сбор месет"""
BasicTextCharacterColor#0,"""Настройки имён игроков другой группы"""
BasicTextAttackProperty#0,"""Окраска шкалы HP по типу урона"""
BasicTextAutoPartyName#0,"""Настройки имени авто-группы"""
BasicTextBeginner#0,"""Стандартный блок для Уровня 20 и ниже"""
BasicTextSubActionPalletName#0,"""Отображать выбранный объект на под-палитре"""
BasicTextRareDrop#0,"""Настройка оповещения о выпадении редкого предмета"""
BasicTextRareautoget#0,"""Настройка авто-сбора редких предметов"""
BasicTextWarehouseCursor#0,"""Настройка положения курсора на складе"""
BasicTextPetStatus#0,"""Настройки дисплея параметров питомцев"""
BasicTextEtrialMap#0,"""Изменить радар-карту для срочных испытаний"""
VitaCtrlTextSwapLR#0,"""Поменять местами L и R (недоступно для своего управления)"""
VitaCtrlTextSwapStartSelect#0,"""Поменять местами START и SELECT (недоступно для своего управления)"""
VitaCtrlTextNormalCtrlType#0,"""Характер действия кнопок"""
VitaCtrlTextShoulderCtrlType#0,"""Характер действия триггеров"""
VitaCtrlTextSavePartySetting#0,"""Сохранить настройки группы"""
VitaCtrlTextLockonChange#0,"""Переключать фиксацию цели правым стиком"""
VitaCtrlTextNavi#0,"""Отображение маркеров карты"""
BasicHintRadarMapDirection#0,"""Радар будет вращаться вслед<br>за направлением камеры."""
BasicHintMoviePlay#0,"""Включить или выключить воспроизведение видео<br>в игре (например, мониторы в Лобби ARKS). <br>※Необходим перезапуск."""
BasicHintSmutFilter#0,"""Отключает отображение матерных слов в игре."""
BasicHintLockon#0,"""Определяет характер работы фиксации цели. <br>Определяет необходимость для фиксации цели<br>нажатия кнопки один раз, или её удерживания."""
BasicHintPaletteChange#0,"""Определяет переключение палитры<br><br>Переключение только при удержании кнопки."""
BasicHintKeyMoveEscape#0,"""Вы можете задать интервал нажатий для уклонения<br>при использовании клавиш передвижения ([W]/[A]/[S]/[D]) на клавиатуре."""
BasicHintSavePartySetting#0,"""Сохранять настройки группы ,<br>что даже после смены аккаунта или блока<br>настройки группы будут сохранены до выхода из игры."""
BasicHintLockonChange#0,"""Определяет, будет ли меняться фиксированная цель при использовании правого стика."""
BasicHintNavi#0,"""Вы можете выбрать показать или нет отметку Пути ARKS,<br>указывающую на следующую цель."""
BasicHintEvent#0,"""Определяет привлекать ваше внимание к событиям, заставляя вас удерживать <%Access> или нет."""
BasicHintMeseta#0,"""Определяет поднимать автоматически или нет месету поблизости."""
BasicHintColor#0,"""Определяет показывать имена персонажей из других групп темно-синим или белым."""
BasicHintAttackProperty#0,"""Определяет разделять или нет полученный урон от ударов, выстрелов и техник на шкале HP."""
BasicHintAutoPartyName#0,"""Устанавливать стандартное название группы <br>(если название группы не установлено)."""
BasicHintBeginner#0,"""При входе персонажем уровня менее 20,<br>определяет начинать ли в начальных блоках."""
BasicHintSubActionPalletName#0,"""Определяет отображение выбранного объекта на под-палитре."""
BasicHintRareDrop#0,"""Определяет уровень редкости, при котором оповещения<br>о редком дропе будут появляться."""
BasicHintautoget#0,"""Когда выпадает предмет 13★ или более<br>высокой редкости, он будет автоматически перемещён<br>в ваш инвентарь чтобы вы о нём не забыли."""
BasicHintWarehouseCursor#0,"""Определяет начальное положение курсора меню выбора склада."""
BasicHintPetStatus#0,"""Настроить внешний вид HP бара и иконки статуса."""
BasicHintEtrialMap#0,"""Когда радар-карта увеличена,<br>вы можете изменить настройки временного увеличения,<br> происходящего во время срочного задания."""
NoticeTextParty#0,"""При приглашении в группу"""
NoticeTextFriend#0,"""При получении запроса в друзья"""
NoticeTextGuild#0,"""При получении приглашения в команду"""
NoticeTextTrade#0,"""При получении запроса на обмен"""
NoticeTextLogItem#0,"""Запись поднимаемых предметов"""
NoticeTextPopUpMessage#0,"""Настройки уведомлений"""
NoticeTextRecommended#0,"""При принятии рекомендованного квеста"""
NoticeTextPremium#0,"""Уведомление об истечении премиума"""
NoticeTextRareItem#0,"""Сбор редких предметов членом группы"""
NoticeTextMltPtMatching#0,"""パーティーのクエスト受注確認の表示"""
NoticeHintParty#0,"""Включить или отключить окно <br>получения приглашения в группу."""
NoticeHintFriend#0,"""Включить или отключить окно <br>получения запроса на добавление в друзья."""
NoticeHintGuild#0,"""Включить или отключить окно <br>получения приглашения в команду."""
NoticeHintTrade#0,"""Включить или отключить окно <br>получения запроса на обмен."""
NoticeHintLogItem#0,"""Определяет получение уведомлений<br>о получении предметов."""
NoticeHintPopUpMessage#0,"""Определяет количество получаемых уведомлений, их<br>одно или несколько."""
NoticeHintRecommended#0,"""Отображать при принятии Рекомендованного квеста<br>окно с рекомендованными для него заказами."""
NoticeHintRareItem#0,"""Настройка влияющая на отображение уведомления,<br>когда член группы подбирает редкий предмет."""
NoticeHintPremium#0,"""Если премиум истечёт в течение 7 дней,<br>то вас уведомит об этом при входе в игру."""
NoticeHintMltPtMatching#0,"""パーティーリーダーがマルチパーティーマッチングの<br>対象クエストを受注した時、受注確認のウィンドウを<br>表示するかを設定します。"""
CameraTextSpeedX#0,"""Горизонтальная скорость вращения"""
CameraTextSpeedY#0,"""Вертикальная скорость вращения"""
CameraTextRotateX#0,"""Горизонтальное вращение камеры"""
CameraTextRotateY#0,"""Вертикальное вращение камеры"""
CameraTextSpeedX_v#0,"""Горизонтальная скорость вращения камеры в игре"""
CameraTextSpeedY_v#0,"""Вертикальная скорость вращения камеры в игре"""
CameraTextRotateX_v#0,"""Горизонтальное вращение камеры"""
CameraTextRotateY_v#0,"""Вертикальное вращение камеры"""
CameraTextMouseOperate#0,"""Приоритет управления камерой"""
CameraHintSpeedX#0,"""Установите горизонтальную скорость вращения камеры."""
CameraHintSpeedY#0,"""Установите вертикальную скорость вращения камеры."""
CameraHintRotateX#0,"""Установите горизонтальное направление вращения камеры."""
CameraHintRotateY#0,"""Установить вертикальное направление вращения камеры."""
CameraHintMouseOperate#0,"""При использовании мыши устанавливает приоритет<br>камере или курсору мыши."""
CommuTextMailQuote#0,"""Цитатировать письмо в ответе"""
CommuTextShowUI#0,"""Показать интерфейс на скриншотах"""
CommuTextEnableAutoword#0,"""Настройки авто-текста"""
CommuTextDirectChat#0,"""Основной чат"""
CommuTextCustomTab#0,"""Каналы, показываемые в \""Показать все"""
CommuTextShowLogAutoword#0,"""Отображать авто-слова в чате"""
CommuTextDisableScrollLock#0,"""Отключить переключение \""Блокировки прокрутки"""
