MyFashion_RenameError01#0,"""Указанное имя нельзя использовать."""
MyFashion_ServerError01#0,"""Не удалось завершить операцию<br>по причине проблем с сервером.<br>Подождите и повторите попытку."""
MyFashion_ServerError02#0,"""Не удалось завершить операцию<br>по причине проблем с базой<br>данных.<br>Подождите и повторите попытку."""
MyFashion_ServerError03#0,"""Не удалось завершить операцию<br>по причине непредвиденной<br>проблемы с сервером.<br>Подождите и повторите попытку."""
MyFashion_ServerError04#0,"""Данный выбор не подлежит<br>исправлению по причине наличия<br>проблем с данными."""
MyFashion_ServerError05#0,"""Ошибка снаряжения.<br>Установка не удалась."""
MyFashion_ServerError06#0,"""Ошибка владения.<br>Действие не удалось."""
MyFashion_ServerError10#0,"""Не удалось завершить операцию<br>по причине непредвиденной<br>проблемы с сервером.<br>Подождите и повторите попытку."""
MyFashion_ServerError11#0,"""Не удалось завершить операцию<br>по причине непредвиденной<br>проблемы с сервером.<br>Подождите и повторите попытку."""
MyFashion_EquipError#0,"""Набор нельзя экипировать<br>по следующей причине(ам):"""
MyFashion_Toast_Set#0,"""Сохранено: \""$(0)\""."""
MyFashion_Toast_Delete#0,"""Удалено: \""$(0)\""."""
MyFashion_Toast_Equip#0,"""Применено: \""$(0)\""."""
MyFashion_EquipError_Toast#0,"""Аналогичный костюм экипирован<br>в вашем инвентаре."""
MyFashion_Toast_Error_IllegalZone_List#0,"""Проблема с командой из-за<br>проблемы."""
MyFashion_Toast_Error_IllegalZone_Regist#0,"""Проблема с командой из-за<br>проблемы."""
MyFashion_Toast_Error_IllegalZone_Remove#0,"""Проблема с командой из-за<br>проблемы."""
MyFashion_Toast_Error_IllegalZone_Rename#0,"""Проблема с командой из-за<br>проблемы."""
MyFashion_Toast_Error_IllegalZone_Change#0,"""Не удалось изменить стиль из-за<br>проблемы."""
MyFashion_Toast_Error_IllegalZone_Convert#0,"""Проблема с командой из-за<br>проблемы."""
MyFashion_ErrorTitle#0,"""Ошибка стиля"""
MyFashion_EquipError01#0,"""・ Произошла неожиданная ошибка."""
MyFashion_EquipError02#0,"""・ Ваш инвентарь заполнен."""
MyFashion_EquipError03#0,"""・ Вы не соответствуете требованиям<br>снаряжения."""
MyFashion_EquipError04#0,"""・ Некоторые предметы отсутствуют<br>в вашем инвентаре."""
OtherFashion_PremiumError#0,"""Нельзя сохраните этот слот так как<br>истёк срок действия премиума."""
