MapName_1#0,"""Первая Война"""
MapName_2#0,"""Вторая Война"""
Grassland#0,"""Прерия Куэнта"""
Camp#0,"""Лагерь ополчения Куэнта"""
RevBase#0,"""Южный город Куэнта"""
Cuent_Castle#0,"""Королевская столица Куэнта"""
Cuent_Castle_Sub#0,"""Окраина королевской столици Куэнта"""
Cuent_NewCastle#0,"""Новая королевская столица Куэнта"""
Verunian_Castle#0,"""Имперский город Веруна"""
Verunian_Castle_Village#0,"""Южный посёлок Веруна"""
Grassland2#0,"""Уентральная равнина королевства Куэнт"""
Verunian_Devils_Castle_Border#0,"""Куэнто-Верунская граница"""
Verunian_Wasteland#0,"""Верунская пустошь"""
Verunian_frontier#0,"""Верунская граница"""
RevBase_qc#0,"""Штаб ополчения Куэнта"""
Cuent_Castle_after#0,"""Руины замка Куэнта"""
Epic_border_fort#0,"""Пограничный форт"""
Epic_border_village#0,"""Пограниченое поселение"""
Epic_Castle#0,"""Столица Эпика"""
Epic_fort_east#0,"""Восточный форт"""
Epic_fort_north#0,"""Северный форт"""
Epic_fort_south#0,"""Южный форт"""
Epic_fort_west#0,"""Западный форт"""
Cuent_Luisa#0,"""Луиза"""
Mine_region1#0,"""﻿Каньон Куэнта"""
Mine_region2#0,"""Исследовательский центр Лютера"""
Mine_region3#0,"""Озеро Кальдера каньона Куэнта"""
secret#0,"""？？？"""
Epic_Desert#0,"""Пустыня Эпика"""
Epic_DesertCave#0,"""Пещера в пустыне"""
Es_ars_Castle#0,"""Столица Es-Ars"""
Es_ars_Castle_Sub#0,"""Пригород столицы Es-Ars"""
Es_ars_Border#0,"""Куэнто-Es-Ars'овая граница"""
Es_ars_canyon#0,"""Каньон Es-Ars"""
Es_ars_Border2#0,"""Перед Куэнто-Es-Ars'овой границей"""
Blackcocoon#0,"""Тёмный кокон"""
Cuent_East_Grassland#0,"""Восточная прерия Куэнта"""
